Icon,Name,Latitude,Longitude,Ell.Height (m),Code,Solution Type,PP Correction Status,Control,Note,Photo Notes,Layer,Source,Std Dev n (m),Std Dev e (m),Std Dev u (m),Std Dev Hz (m),Color,Point Symbol,Antenna Type,Antenna Height (m),Ant Height Method,Start Time,Stop Time,Duration,GPS Satellites,GLONASS Satellites,PDOP,HDOP,VDOP,Geoid Separation (m),Weighted residual n (m),Weighted residual e (m),Weighted residual u (m)
 ,20251013063942 2025-10-13 6:44:13.181886200 AM,32.08522654,54.24458069,1219.92,USER,Partial,Corrected,None,24, ,BYCODE(0), ,0.013,0.011,0.013,0.017,         BYLAYER,  BYCODE, ,0,Vertical,10/13/2025 6:44, , , , ,1.75,0.714,1.597, , , , 
 ,20251013060446 2025-10-13 6:11:04.642073400 AM,32.07996538,54.24709585,1222.271,USER,Fixed,Corrected,None,2, ,BYCODE(0), ,0.014,0.011,0.013,0.018,         BYLAYER,  BYCODE, ,0,Vertical,10/13/2025 6:11, , , , ,1.379,0.631,1.226, , , , 
 ,20251013060446 2025-10-13 6:11:06.278624300 AM,32.08008035,54.24715315,1222.326,USER,Fixed,Corrected,None,3, ,BYCODE(0), ,0.014,0.011,0.013,0.018,         BYLAYER,  BYCODE, ,0,Vertical,10/13/2025 6:11, , , , ,1.379,0.631,1.226, , , , 
 ,20251013060446 2025-10-13 6:11:08.286053900 AM,32.08025021,54.247241,1222.495,USER,Fixed,Corrected,None,4, ,BYCODE(0), ,0.014,0.011,0.013,0.018,         BYLAYER,  BYCODE, ,0,Vertical,10/13/2025 6:11, , , , ,1.379,0.631,1.226, , , , 
 ,20251013060446 2025-10-13 6:11:10.287177600 AM,32.08041521,54.24732572,1223.128,USER,Fixed,Corrected,None,5, ,BYCODE(0), ,0.014,0.011,0.013,0.018,         BYLAYER,  BYCODE, ,0,Vertical,10/13/2025 6:11, , , , ,1.379,0.631,1.226, , , , 
 ,20251013060446 2025-10-13 6:11:12.280139200 AM,32.0805798,54.24740812,1223.461,USER,Fixed,Corrected,None,6, ,BYCODE(0), ,0.014,0.011,0.013,0.018,         BYLAYER,  BYCODE, ,0,Vertical,10/13/2025 6:11, , , , ,1.38,0.631,1.227, , , , 
 ,20251013060446 2025-10-13 6:11:14.266918200 AM,32.08074384,54.24749036,1223.673,USER,Fixed,Corrected,None,7, ,BYCODE(0), ,0.014,0.011,0.013,0.018,         BYLAYER,  BYCODE, ,0,Vertical,10/13/2025 6:11, , , , ,1.38,0.631,1.227, , , , 
 ,20251013060446 2025-10-13 6:11:16.289215300 AM,32.08090982,54.24757516,1223.53,USER,Fixed,Corrected,None,8, ,BYCODE(0), ,0.014,0.011,0.013,0.018,         BYLAYER,  BYCODE, ,0,Vertical,10/13/2025 6:11, , , , ,1.38,0.631,1.227, , , , 
 ,20251013060446 2025-10-13 6:11:18.288690800 AM,32.08107485,54.24765974,1223.497,USER,Fixed,Corrected,None,9, ,BYCODE(0), ,0.014,0.011,0.013,0.018,         BYLAYER,  BYCODE, ,0,Vertical,10/13/2025 6:11, , , , ,1.38,0.631,1.227, , , , 
 ,20251013060446 2025-10-13 6:11:20.277773900 AM,32.08123895,54.24774365,1223.73,USER,Fixed,Corrected,None,10, ,BYCODE(0), ,0.014,0.011,0.013,0.018,         BYLAYER,  BYCODE, ,0,Vertical,10/13/2025 6:11, , , , ,1.38,0.631,1.227, , , , 
 ,20251013060446 2025-10-13 6:11:22.264660600 AM,32.08140242,54.24782637,1223.727,USER,Fixed,Corrected,None,11, ,BYCODE(0), ,0.014,0.011,0.013,0.018,         BYLAYER,  BYCODE, ,0,Vertical,10/13/2025 6:11, , , , ,1.38,0.631,1.227, , , , 
 ,20251013060446 2025-10-13 6:11:24.287185900 AM,32.08156996,54.2479108,1223.814,USER,Fixed,Corrected,None,12, ,BYCODE(0), ,0.014,0.011,0.013,0.018,         BYLAYER,  BYCODE, ,0,Vertical,10/13/2025 6:11, , , , ,1.38,0.631,1.227, , , , 
 ,20251013060446 2025-10-13 6:11:26.265675800 AM,32.08173448,54.24799367,1223.874,USER,Fixed,Corrected,None,13, ,BYCODE(0), ,0.014,0.011,0.013,0.018,         BYLAYER,  BYCODE, ,0,Vertical,10/13/2025 6:11, , , , ,1.38,0.631,1.227, , , , 
 ,20251013060446 2025-10-13 6:11:28.296302600 AM,32.08190207,54.24807769,1223.859,USER,Fixed,Corrected,None,14, ,BYCODE(0), ,0.014,0.011,0.014,0.018,         BYLAYER,  BYCODE, ,0,Vertical,10/13/2025 6:11, , , , ,1.38,0.631,1.227, , , , 
 ,20251013060446 2025-10-13 6:11:30.268512500 AM,32.08206496,54.24815997,1223.67,USER,Fixed,Corrected,None,15, ,BYCODE(0), ,0.014,0.011,0.014,0.018,         BYLAYER,  BYCODE, ,0,Vertical,10/13/2025 6:11, , , , ,1.38,0.632,1.227, , , , 
 ,20251013060446 2025-10-13 6:11:32.286549800 AM,32.08222999,54.24824502,1223.649,USER,Fixed,Corrected,None,16, ,BYCODE(0), ,0.014,0.011,0.014,0.018,         BYLAYER,  BYCODE, ,0,Vertical,10/13/2025 6:11, , , , ,1.38,0.632,1.227, , , , 
 ,20251013060446 2025-10-13 6:11:34.275319300 AM,32.08239182,54.24832743,1223.134,USER,Fixed,Corrected,None,17, ,BYCODE(0), ,0.014,0.011,0.014,0.018,         BYLAYER,  BYCODE, ,0,Vertical,10/13/2025 6:11, , , , ,1.38,0.632,1.228, , , , 
 ,20251013060446 2025-10-13 6:11:36.278915600 AM,32.08255746,54.24841144,1222.503,USER,Fixed,Corrected,None,18, ,BYCODE(0), ,0.014,0.011,0.014,0.018,         BYLAYER,  BYCODE, ,0,Vertical,10/13/2025 6:11, , , , ,1.381,0.632,1.228, , , , 
 ,20251013060446 2025-10-13 6:11:38.267793200 AM,32.0827219,54.24849564,1222.536,USER,Partial,Corrected,None,19, ,BYCODE(0), ,0.013,0.011,0.013,0.017,         BYLAYER,  BYCODE, ,0,Vertical,10/13/2025 6:11, , , , ,1.381,0.632,1.228, , , , 
 ,20251013060446 2025-10-13 6:11:40.296280900 AM,32.08288996,54.24857983,1222.877,USER,Partial,Corrected,None,20, ,BYCODE(0), ,0.013,0.011,0.013,0.017,         BYLAYER,  BYCODE, ,0,Vertical,10/13/2025 6:11, , , , ,1.381,0.632,1.228, , , , 
 ,20251013060446 2025-10-13 6:11:42.270705700 AM,32.08305261,54.24866245,1222.9,USER,Fixed,Corrected,None,21, ,BYCODE(0), ,0.013,0.011,0.013,0.017,         BYLAYER,  BYCODE, ,0,Vertical,10/13/2025 6:11, , , , ,1.381,0.632,1.228, , , , 
 ,20251013060446 2025-10-13 6:11:44.299275400 AM,32.08321968,54.24874728,1222.677,USER,Fixed,Corrected,None,22, ,BYCODE(0), ,0.013,0.01,0.013,0.017,         BYLAYER,  BYCODE, ,0,Vertical,10/13/2025 6:11, , , , ,1.381,0.632,1.228, , , , 
 ,20251013060446 2025-10-13 6:11:46.291991700 AM,32.08338303,54.24883145,1222.487,USER,Partial,Corrected,None,23, ,BYCODE(0), ,0.013,0.01,0.013,0.017,         BYLAYER,  BYCODE, ,0,Vertical,10/13/2025 6:11, , , , ,1.381,0.632,1.228, , , , 
 ,20251013060446 2025-10-13 6:11:48.278622200 AM,32.08354657,54.24891468,1222.436,USER,Partial,Corrected,None,24, ,BYCODE(0), ,0.013,0.01,0.013,0.017,         BYLAYER,  BYCODE, ,0,Vertical,10/13/2025 6:11, , , , ,1.381,0.632,1.228, , , , 
 ,20251013060446 2025-10-13 6:11:50.265219400 AM,32.08371092,54.24899831,1222.763,USER,Fixed,Corrected,None,25, ,BYCODE(0), ,0.013,0.01,0.013,0.017,         BYLAYER,  BYCODE, ,0,Vertical,10/13/2025 6:11, , , , ,1.381,0.632,1.228, , , , 
 ,20251013060446 2025-10-13 6:11:52.289333100 AM,32.08387739,54.24908233,1222.868,USER,Fixed,Corrected,None,26, ,BYCODE(0), ,0.013,0.011,0.013,0.017,         BYLAYER,  BYCODE, ,0,Vertical,10/13/2025 6:11, , , , ,1.381,0.632,1.228, , , , 
 ,20251013060446 2025-10-13 6:11:54.313523800 AM,32.08404483,54.24916691,1222.58,USER,Fixed,Corrected,None,27, ,BYCODE(0), ,0.013,0.011,0.013,0.017,         BYLAYER,  BYCODE, ,0,Vertical,10/13/2025 6:11, , , , ,1.381,0.632,1.228, , , , 
 ,20251013060446 2025-10-13 6:11:56.302297100 AM,32.08420867,54.24925048,1222.565,USER,Fixed,Corrected,None,28, ,BYCODE(0), ,0.013,0.011,0.013,0.017,         BYLAYER,  BYCODE, ,0,Vertical,10/13/2025 6:11, , , , ,1.381,0.632,1.228, , , , 
 ,20251013060446 2025-10-13 6:11:58.293091300 AM,32.08437304,54.24933483,1222.65,USER,Fixed,Corrected,None,29, ,BYCODE(0), ,0.014,0.011,0.013,0.017,         BYLAYER,  BYCODE, ,0,Vertical,10/13/2025 6:11, , , , ,1.381,0.632,1.229, , , , 
 ,20251013060446 2025-10-13 6:12:00.317482700 AM,32.08453991,54.24942057,1222.864,USER,Fixed,Corrected,None,30, ,BYCODE(0), ,0.014,0.011,0.013,0.017,         BYLAYER,  BYCODE, ,0,Vertical,10/13/2025 6:12, , , , ,1.382,0.632,1.229, , , , 
 ,20251013060446 2025-10-13 6:12:01.042742000 AM,32.08459982,54.24945129,1223.127,USER,Fixed,Corrected,None,31, ,BYCODE(0), ,0.014,0.011,0.013,0.017,         BYLAYER,  BYCODE, ,0,Vertical,10/13/2025 6:12, , , , ,1.382,0.632,1.229, , , , 
 ,20251013060446 2025-10-13 6:12:02.977854300 AM,32.08475974,54.2495331,1224.466,USER,Partial,Corrected,None,32, ,BYCODE(0), ,0.014,0.011,0.013,0.017,         BYLAYER,  BYCODE, ,0,Vertical,10/13/2025 6:12, , , , ,1.382,0.632,1.229, , , , 
 ,20251013060446 2025-10-13 6:12:04.966619300 AM,32.08492301,54.24961554,1226.189,USER,Fixed,Corrected,None,33, ,BYCODE(0), ,0.014,0.011,0.013,0.017,         BYLAYER,  BYCODE, ,0,Vertical,10/13/2025 6:12, , , , ,1.382,0.632,1.229, , , , 
 ,20251013060446 2025-10-13 6:12:06.955664400 AM,32.08508784,54.24969897,1227.806,USER,Fixed,Corrected,None,34, ,BYCODE(0), ,0.014,0.011,0.013,0.017,         BYLAYER,  BYCODE, ,0,Vertical,10/13/2025 6:12, , , , ,1.382,0.632,1.229, , , , 
 ,20251013060446 2025-10-13 6:12:08.946717300 AM,32.0852514,54.24978041,1229.292,USER,Fixed,Corrected,None,35, ,BYCODE(0), ,0.014,0.011,0.013,0.017,         BYLAYER,  BYCODE, ,0,Vertical,10/13/2025 6:12, , , , ,1.382,0.632,1.229, , , , 
