NUtime_s,vehicle_id,node,finished,travel_time_s
0.0,1,10,False,0.0
0.0,2,2,False,0.0
0.0,3,3,False,0.0
0.0,4,4,False,0.0
0.0,5,5,False,0.0
0.0,6,6,False,0.0
0.0,7,7,False,0.0
0.0,8,8,False,0.0
0.0,9,9,False,0.0
0.0,10,10,False,0.0
0.0,1,10,False,1.0
0.0,2,2,False,1.0
0.0,3,3,False,1.0
0.0,4,4,False,1.0
0.0,5,5,False,1.0
0.0,6,6,False,1.0
0.0,7,7,False,1.0
0.0,8,8,False,1.0
0.0,9,9,False,1.0
0.0,10,10,False,1.0
1.0,1,10,False,2.0
1.0,2,2,False,2.0
1.0,3,3,False,2.0
1.0,4,4,False,2.0
1.0,5,5,False,2.0
1.0,6,6,False,2.0
1.0,7,7,False,2.0
1.0,8,8,False,2.0
1.0,9,9,False,2.0
1.0,10,10,False,2.0
2.0,1,10,False,3.0
2.0,2,2,False,3.0
2.0,3,3,False,3.0
2.0,4,4,False,3.0
2.0,5,5,False,3.0
2.0,6,6,False,3.0
2.0,7,7,False,3.0
2.0,8,8,False,3.0
2.0,9,9,False,3.0
2.0,10,10,False,3.0
3.0,1,10,False,4.0
3.0,2,2,False,4.0
3.0,3,3,False,4.0
3.0,4,4,False,4.0
3.0,5,5,False,4.0
3.0,6,6,False,4.0
3.0,7,7,False,4.0
3.0,8,8,False,4.0
3.0,9,9,False,4.0
3.0,10,10,False,4.0
4.0,1,10,False,5.0
4.0,2,2,False,5.0
4.0,3,3,False,5.0
4.0,4,4,False,5.0
4.0,5,5,False,5.0
4.0,6,6,False,5.0
4.0,7,7,False,5.0
4.0,8,8,False,5.0
4.0,9,9,False,5.0
4.0,10,10,False,5.0
5.0,1,10,False,6.0
5.0,2,2,False,6.0
5.0,3,3,False,6.0
5.0,4,4,False,6.0
5.0,5,5,False,6.0
5.0,6,6,False,6.0
5.0,7,7,False,6.0
5.0,8,8,False,6.0
5.0,9,9,False,6.0
5.0,10,10,False,6.0
6.0,1,10,False,7.0
6.0,2,2,False,7.0
6.0,3,3,False,7.0
6.0,4,4,False,7.0
6.0,5,5,False,7.0
6.0,6,6,False,7.0
6.0,7,7,False,7.0
6.0,8,8,False,7.0
6.0,9,9,False,7.0
6.0,10,10,False,7.0
7.0,1,10,False,8.0
7.0,2,2,False,8.0
7.0,3,3,False,8.0
7.0,4,4,False,8.0
7.0,5,5,False,8.0
7.0,6,6,False,8.0
7.0,7,7,False,8.0
7.0,8,8,False,8.0
7.0,9,9,False,8.0
7.0,10,10,False,8.0
8.0,1,10,False,9.0
8.0,2,2,False,9.0
8.0,3,3,False,9.0
8.0,4,4,False,9.0
8.0,5,5,False,9.0
8.0,6,6,False,9.0
8.0,7,7,False,9.0
8.0,8,8,False,9.0
8.0,9,9,False,9.0
8.0,10,10,False,9.0
9.0,1,10,False,10.0
9.0,2,2,False,10.0
9.0,3,3,False,10.0
9.0,4,4,False,10.0
9.0,5,5,False,10.0
9.0,6,6,False,10.0
9.0,7,7,False,10.0
9.0,8,8,False,10.0
9.0,9,9,False,10.0
9.0,10,10,False,10.0
10.0,1,10,False,11.0
10.0,2,2,False,11.0
10.0,3,3,False,11.0
10.0,4,4,False,11.0
10.0,5,5,False,11.0
10.0,6,6,False,11.0
10.0,7,7,False,11.0
10.0,8,8,False,11.0
10.0,9,9,False,11.0
10.0,10,10,False,11.0
11.0,1,10,False,12.0
11.0,2,2,False,12.0
11.0,3,3,False,12.0
11.0,4,4,False,12.0
11.0,5,5,False,12.0
11.0,6,6,False,12.0
11.0,7,7,False,12.0
11.0,8,8,False,12.0
11.0,9,9,False,12.0
11.0,10,10,False,12.0
12.0,1,10,False,13.0
12.0,2,2,False,13.0
12.0,3,3,False,13.0
12.0,4,4,False,13.0
12.0,5,5,False,13.0
12.0,6,6,False,13.0
12.0,7,7,False,13.0
12.0,8,8,False,13.0
12.0,9,9,False,13.0
12.0,10,10,False,13.0
13.0,1,10,False,14.0
13.0,2,2,False,14.0
13.0,3,3,False,14.0
13.0,4,4,False,14.0
13.0,5,5,False,14.0
13.0,6,6,False,14.0
13.0,7,7,False,14.0
13.0,8,8,False,14.0
13.0,9,9,False,14.0
13.0,10,10,False,14.0
14.0,1,10,False,15.0
14.0,2,2,False,15.0
14.0,3,3,False,15.0
14.0,4,4,False,15.0
14.0,5,5,False,15.0
14.0,6,6,False,15.0
14.0,7,7,False,15.0
14.0,8,8,False,15.0
14.0,9,9,False,15.0
14.0,10,10,False,15.0
15.0,1,10,False,16.0
15.0,2,2,False,16.0
15.0,3,3,False,16.0
15.0,4,4,False,16.0
15.0,5,5,False,16.0
15.0,6,6,False,16.0
15.0,7,7,False,16.0
15.0,8,8,False,16.0
15.0,9,9,False,16.0
15.0,10,10,False,16.0
16.0,1,10,False,17.0
16.0,2,2,False,17.0
16.0,3,3,False,17.0
16.0,4,4,False,17.0
16.0,5,5,False,17.0
16.0,6,6,False,17.0
16.0,7,7,False,17.0
16.0,8,8,False,17.0
16.0,9,9,False,17.0
16.0,10,10,False,17.0
17.0,1,10,False,18.0
17.0,2,2,False,18.0
17.0,3,3,False,18.0
17.0,4,4,False,18.0
17.0,5,5,False,18.0
17.0,6,6,False,18.0
17.0,7,7,False,18.0
17.0,8,8,False,18.0
17.0,9,9,False,18.0
17.0,10,10,False,18.0
18.0,1,10,False,19.0
18.0,2,2,False,19.0
18.0,3,3,False,19.0
18.0,4,4,False,19.0
18.0,5,5,False,19.0
18.0,6,6,False,19.0
18.0,7,7,False,19.0
18.0,8,8,False,19.0
18.0,9,9,False,19.0
18.0,10,10,False,19.0
19.0,1,10,False,20.0
19.0,2,2,False,20.0
19.0,3,3,False,20.0
19.0,4,4,False,20.0
19.0,5,5,False,20.0
19.0,6,6,False,20.0
19.0,7,7,False,20.0
19.0,8,8,False,20.0
19.0,9,9,False,20.0
19.0,10,10,False,20.0
20.0,1,10,False,21.0
20.0,2,2,False,21.0
20.0,3,3,False,21.0
20.0,4,4,False,21.0
20.0,5,5,False,21.0
20.0,6,6,False,21.0
20.0,7,7,False,21.0
20.0,8,8,False,21.0
20.0,9,9,False,21.0
20.0,10,10,False,21.0
21.0,1,10,False,22.0
21.0,2,2,False,22.0
21.0,3,3,False,22.0
21.0,4,4,False,22.0
21.0,5,5,False,22.0
21.0,6,6,False,22.0
21.0,7,7,False,22.0
21.0,8,8,False,22.0
21.0,9,9,False,22.0
21.0,10,10,False,22.0
22.0,1,10,False,23.0
22.0,2,2,False,23.0
22.0,3,3,False,23.0
22.0,4,4,False,23.0
22.0,5,5,False,23.0
22.0,6,6,False,23.0
22.0,7,7,False,23.0
22.0,8,8,False,23.0
22.0,9,9,False,23.0
22.0,10,10,False,23.0
23.0,1,10,False,24.0
23.0,2,2,False,24.0
23.0,3,3,False,24.0
23.0,4,4,False,24.0
23.0,5,5,False,24.0
23.0,6,6,False,24.0
23.0,7,7,False,24.0
23.0,8,8,False,24.0
23.0,9,9,False,24.0
23.0,10,10,False,24.0
24.0,1,10,False,25.0
24.0,2,2,False,25.0
24.0,3,3,False,25.0
24.0,4,4,False,25.0
24.0,5,5,False,25.0
24.0,6,6,False,25.0
24.0,7,7,False,25.0
24.0,8,8,False,25.0
24.0,9,9,False,25.0
24.0,10,10,False,25.0
25.0,1,10,False,26.0
25.0,2,2,False,26.0
25.0,3,3,False,26.0
25.0,4,4,False,26.0
25.0,5,5,False,26.0
25.0,6,6,False,26.0
25.0,7,7,False,26.0
25.0,8,8,False,26.0
25.0,9,9,False,26.0
25.0,10,10,False,26.0
26.0,1,10,False,27.0
26.0,2,2,False,27.0
26.0,3,3,False,27.0
26.0,4,4,False,27.0
26.0,5,5,False,27.0
26.0,6,6,False,27.0
26.0,7,7,False,27.0
26.0,8,8,False,27.0
26.0,9,9,False,27.0
26.0,10,10,False,27.0
27.0,1,10,False,28.0
27.0,2,2,False,28.0
27.0,3,3,False,28.0
27.0,4,4,False,28.0
27.0,5,5,False,28.0
27.0,6,6,False,28.0
27.0,7,7,False,28.0
27.0,8,8,False,28.0
27.0,9,9,False,28.0
27.0,10,10,False,28.0
28.0,1,10,False,29.0
28.0,2,2,False,29.0
28.0,3,3,False,29.0
28.0,4,4,False,29.0
28.0,5,5,False,29.0
28.0,6,6,False,29.0
28.0,7,7,False,29.0
28.0,8,8,False,29.0
28.0,9,9,False,29.0
28.0,10,10,False,29.0
29.0,1,10,False,30.0
29.0,2,2,False,30.0
29.0,3,3,False,30.0
29.0,4,4,False,30.0
29.0,5,5,False,30.0
29.0,6,6,False,30.0
29.0,7,7,False,30.0
29.0,8,8,False,30.0
29.0,9,9,False,30.0
29.0,10,10,False,30.0
30.0,1,10,False,31.0
30.0,2,2,False,31.0
30.0,3,3,False,31.0
30.0,4,4,False,31.0
30.0,5,5,False,31.0
30.0,6,6,False,31.0
30.0,7,7,False,31.0
30.0,8,8,False,31.0
30.0,9,9,False,31.0
30.0,10,10,False,31.0
31.0,1,10,False,32.0
31.0,2,2,False,32.0
31.0,3,3,False,32.0
31.0,4,4,False,32.0
31.0,5,5,False,32.0
31.0,6,6,False,32.0
31.0,7,7,False,32.0
31.0,8,8,False,32.0
31.0,9,9,False,32.0
31.0,10,10,False,32.0
32.0,1,10,False,33.0
32.0,2,2,False,33.0
32.0,3,3,False,33.0
32.0,4,4,False,33.0
32.0,5,5,False,33.0
32.0,6,6,False,33.0
32.0,7,7,False,33.0
32.0,8,8,False,33.0
32.0,9,9,False,33.0
32.0,10,10,False,33.0
33.0,1,10,False,34.0
33.0,2,2,False,34.0
33.0,3,3,False,34.0
33.0,4,4,False,34.0
33.0,5,5,False,34.0
33.0,6,6,False,34.0
33.0,7,7,False,34.0
33.0,8,8,False,34.0
33.0,9,9,False,34.0
33.0,10,10,False,34.0
34.0,1,10,False,35.0
34.0,2,2,False,35.0
34.0,3,3,False,35.0
34.0,4,4,False,35.0
34.0,5,5,False,35.0
34.0,6,6,False,35.0
34.0,7,7,False,35.0
