Period [sec],Acceleration
0,0.15889
0.02,0.15906
0.04,0.16494
0.06,0.18846
0.08,0.20384
0.1,0.25827
0.12,0.27163
0.14,0.32771
0.16,0.36473
0.18,0.4255
0.2,0.36102
0.22,0.37374
0.24,0.36201
0.26,0.3714
0.28,0.35792
0.3,0.37284
0.32,0.41773
0.34,0.53254
0.36,0.5956
0.38,0.39303
0.4,0.3738
0.42,0.34989
0.44,0.30308
0.46,0.32844
0.48,0.37781
0.5,0.38437
0.52,0.3343
0.54,0.26367
0.56,0.22181
0.58,0.27227
0.6,0.3444
0.62,0.36069
0.64,0.36311
0.66,0.36922
0.68,0.37601
0.7,0.38455
0.72,0.36666
0.74,0.3121
0.76,0.27779
0.78,0.29605
0.8,0.30901
0.82,0.3087
0.84,0.29739
0.86,0.29568
0.88,0.28147
0.9,0.25669
0.92,0.2245
0.94,0.21369
0.96,0.19878
0.98,0.17847
1,0.17808
1.02,0.17748
1.04,0.17618
1.06,0.17426
1.08,0.17184
1.1,0.16875
1.12,0.16502
1.14,0.1607
1.16,0.1559
1.18,0.15074
1.2,0.14652
1.22,0.14104
1.24,0.13951
1.26,0.14368
1.28,0.14528
1.3,0.14384
1.32,0.13978
1.34,0.1332
1.36,0.12799
1.38,0.12583
1.4,0.12362
1.42,0.12143
1.44,0.11927
1.46,0.11717
1.48,0.1152
1.5,0.11332
1.52,0.11149
1.54,0.10964
1.56,0.10783
1.58,0.10595
1.6,0.10409
1.62,0.10216
1.64,0.10026
1.66,0.09832
1.68,0.09635
1.7,0.09441
1.72,0.09243
1.74,0.09044
1.76,0.08849
1.78,0.08653
1.8,0.08455
1.82,0.08261
1.84,0.0807
1.86,0.07879
1.88,0.07688
1.9,0.07501
1.92,0.07319
1.94,0.07139
1.96,0.0696
1.98,0.06784
2,0.06613
2.02,0.06446
2.04,0.06282
2.06,0.06121
2.08,0.05963
2.1,0.05811
2.12,0.05662
2.14,0.05516
2.16,0.05375
2.18,0.05238
2.2,0.05107
2.22,0.0504
2.24,0.04969
2.26,0.04878
2.28,0.04775
2.3,0.04656
2.32,0.04527
2.34,0.04386
2.36,0.04243
2.38,0.04148
2.4,0.04054
2.42,0.03962
2.44,0.03902
2.46,0.03981
2.48,0.04119
2.5,0.04211
2.52,0.04369
2.54,0.04534
2.56,0.04673
2.58,0.04795
2.6,0.04898
2.62,0.04959
2.64,0.04976
2.66,0.04952
2.68,0.0489
2.7,0.04906
2.72,0.0493
2.74,0.04918
2.76,0.04873
2.78,0.04796
2.8,0.04691
2.82,0.04563
2.84,0.04415
2.86,0.04251
2.88,0.04287
2.9,0.04375
2.92,0.04424
2.94,0.04442
2.96,0.0444
2.98,0.04428
3,0.04409
3.02,0.04387
3.04,0.04362
3.06,0.04336
3.08,0.04309
3.1,0.04283
3.12,0.04257
3.14,0.04227
3.16,0.04193
3.18,0.04154
3.2,0.04109
3.22,0.04053
3.24,0.03984
3.26,0.03919
3.28,0.03888
3.3,0.03842
3.32,0.03781
3.34,0.03707
3.36,0.03626
3.38,0.03544
3.4,0.03465
3.42,0.03394
3.44,0.03332
3.46,0.03278
3.48,0.03231
3.5,0.03187
3.52,0.03145
3.54,0.031
3.56,0.03048
3.58,0.02989
3.6,0.02922
3.62,0.02848
3.64,0.02772
3.66,0.02708
3.68,0.02769
3.7,0.0282
3.72,0.02857
3.74,0.02877
3.76,0.0288
3.78,0.02865
3.8,0.0283
3.82,0.02775
3.84,0.02704
3.86,0.02663
3.88,0.02701
3.9,0.02732
3.92,0.02751
3.94,0.02781
3.96,0.02852
3.98,0.02908
4,0.02949
