Period [sec],Acceleration
0,0.2808
0.02,0.281
0.04,0.28327
0.06,0.31478
0.08,0.43775
0.1,0.59445
0.12,0.68586
0.14,0.75094
0.16,0.55992
0.18,0.73541
0.2,0.62734
0.22,0.69826
0.24,0.79628
0.26,0.80223
0.28,0.72309
0.3,0.65321
0.32,0.66912
0.34,0.5962
0.36,0.66533
0.38,0.67738
0.4,0.61436
0.42,0.57224
0.44,0.7413
0.46,0.84273
0.48,0.78979
0.5,0.74063
0.52,0.77105
0.54,0.76982
0.56,0.67818
0.58,0.55677
0.6,0.5422
0.62,0.52505
0.64,0.50444
0.66,0.49981
0.68,0.55695
0.7,0.5579
0.72,0.47511
0.74,0.43883
0.76,0.43817
0.78,0.45885
0.8,0.50865
0.82,0.54942
0.84,0.56782
0.86,0.55737
0.88,0.51966
0.9,0.49638
0.92,0.5064
0.94,0.50641
0.96,0.49521
0.98,0.47442
1,0.4727
1.02,0.46307
1.04,0.44749
1.06,0.42785
1.08,0.40456
1.1,0.37745
1.12,0.34731
1.14,0.31528
1.16,0.32645
1.18,0.33181
1.2,0.33055
1.22,0.32415
1.24,0.31382
1.26,0.30135
1.28,0.28755
1.3,0.27256
1.32,0.25665
1.34,0.24045
1.36,0.22471
1.38,0.20999
1.4,0.19678
1.42,0.18537
1.44,0.17598
1.46,0.16865
1.48,0.16344
1.5,0.16019
1.52,0.15871
1.54,0.15876
1.56,0.16002
1.58,0.1622
1.6,0.16502
1.62,0.16827
1.64,0.17172
1.66,0.1752
1.68,0.17857
1.7,0.18176
1.72,0.1864
1.74,0.19016
1.76,0.1927
1.78,0.19385
1.8,0.1945
1.82,0.19642
1.84,0.19802
1.86,0.19916
1.88,0.1999
1.9,0.2003
1.92,0.20047
1.94,0.20043
1.96,0.20011
1.98,0.19946
2,0.19852
2.02,0.19738
2.04,0.19675
2.06,0.19733
2.08,0.19768
2.1,0.19778
2.12,0.1976
2.14,0.19718
2.16,0.19652
2.18,0.1956
2.2,0.19442
2.22,0.19305
2.24,0.19146
2.26,0.18963
2.28,0.18765
2.3,0.18547
2.32,0.18309
2.34,0.1806
2.36,0.17792
2.38,0.17512
2.4,0.17218
2.42,0.16912
2.44,0.16598
2.46,0.16272
2.48,0.15943
2.5,0.15607
2.52,0.1527
2.54,0.14938
2.56,0.14618
2.58,0.14304
2.6,0.13991
2.62,0.13677
2.64,0.13361
2.66,0.13045
2.68,0.1273
2.7,0.12417
2.72,0.12109
2.74,0.12319
2.76,0.12513
2.78,0.12635
2.8,0.12686
2.82,0.12672
2.84,0.12592
2.86,0.12453
2.88,0.12257
2.9,0.1201
2.92,0.11717
2.94,0.1138
2.96,0.11004
2.98,0.10724
3,0.10536
3.02,0.10292
3.04,0.10036
3.06,0.0978
3.08,0.0949
3.1,0.09245
3.12,0.09021
3.14,0.08783
3.16,0.08532
3.18,0.08267
3.2,0.07991
3.22,0.07705
3.24,0.07544
3.26,0.07455
3.28,0.07364
3.3,0.07273
3.32,0.07181
3.34,0.07088
3.36,0.06994
3.38,0.06901
3.4,0.06809
3.42,0.06717
3.44,0.06624
3.46,0.06531
3.48,0.06439
3.5,0.06346
3.52,0.06254
3.54,0.06162
3.56,0.06071
3.58,0.05981
3.6,0.05892
3.62,0.05804
3.64,0.05716
3.66,0.05629
3.68,0.05542
3.7,0.05457
3.72,0.05372
3.74,0.05288
3.76,0.05205
3.78,0.05123
3.8,0.05042
3.82,0.04962
3.84,0.04882
3.86,0.04804
3.88,0.04728
3.9,0.04652
3.92,0.04578
3.94,0.04504
3.96,0.04431
3.98,0.0436
4,0.0429
