Period [sec],Acceleration
0,0.11476
0.02,0.11508
0.04,0.11633
0.06,0.12608
0.08,0.15921
0.1,0.15586
0.12,0.20614
0.14,0.30049
0.16,0.33478
0.18,0.3168
0.2,0.30971
0.22,0.26256
0.24,0.27156
0.26,0.35407
0.28,0.38242
0.3,0.3152
0.32,0.3001
0.34,0.29543
0.36,0.24521
0.38,0.30644
0.4,0.30681
0.42,0.24934
0.44,0.19094
0.46,0.14895
0.48,0.13283
0.5,0.1189
0.52,0.1289
0.54,0.13316
0.56,0.14212
0.58,0.16974
0.6,0.20321
0.62,0.21686
0.64,0.2143
0.66,0.20025
0.68,0.17619
0.7,0.15227
0.72,0.12367
0.74,0.09688
0.76,0.08088
0.78,0.07741
0.8,0.07842
0.82,0.07739
0.84,0.07289
0.86,0.06972
0.88,0.0665
0.9,0.06028
0.92,0.05179
0.94,0.04796
0.96,0.04337
0.98,0.04201
1,0.04247
1.02,0.04061
1.04,0.04023
1.06,0.03914
1.08,0.03674
1.1,0.03573
1.12,0.03435
1.14,0.03264
1.16,0.03085
1.18,0.03001
1.2,0.0296
1.22,0.02948
1.24,0.02868
1.26,0.02656
1.28,0.02361
1.3,0.02331
1.32,0.02308
1.34,0.02263
1.36,0.02189
1.38,0.02068
1.4,0.02018
1.42,0.02002
1.44,0.01981
1.46,0.01952
1.48,0.01912
1.5,0.0186
1.52,0.01796
1.54,0.01721
1.56,0.01638
1.58,0.01551
1.6,0.01462
1.62,0.01373
1.64,0.01287
1.66,0.01204
1.68,0.01132
1.7,0.01107
1.72,0.01099
1.74,0.01108
1.76,0.01127
1.78,0.01148
1.8,0.01163
1.82,0.01174
1.84,0.01192
1.86,0.01208
1.88,0.01222
1.9,0.01231
1.92,0.01236
1.94,0.01235
1.96,0.01229
1.98,0.01228
2,0.01261
2.02,0.01283
2.04,0.01297
2.06,0.01334
2.08,0.01357
2.1,0.01365
2.12,0.01359
2.14,0.01339
2.16,0.01307
2.18,0.01342
2.2,0.01386
2.22,0.01403
2.24,0.01396
2.26,0.01366
2.28,0.01317
2.3,0.01251
2.32,0.01174
2.34,0.01095
2.36,0.01053
2.38,0.00999
2.4,0.00936
2.42,0.00868
2.44,0.00856
2.46,0.00849
2.48,0.0084
2.5,0.00831
2.52,0.00823
2.54,0.00814
2.56,0.00806
2.58,0.00799
2.6,0.00792
2.62,0.00786
2.64,0.00781
2.66,0.00776
2.68,0.00772
2.7,0.00768
2.72,0.00763
2.74,0.00759
2.76,0.00754
2.78,0.00749
2.8,0.00744
2.82,0.00738
2.84,0.00731
2.86,0.00723
2.88,0.00715
2.9,0.00706
2.92,0.00696
2.94,0.00686
2.96,0.00675
2.98,0.00663
3,0.00651
3.02,0.00638
3.04,0.00625
3.06,0.00612
3.08,0.00598
3.1,0.00584
3.12,0.0057
3.14,0.00556
3.16,0.00542
3.18,0.00527
3.2,0.00514
3.22,0.005
3.24,0.00495
3.26,0.0049
3.28,0.00483
3.3,0.00476
3.32,0.00468
3.34,0.00457
3.36,0.00444
3.38,0.00429
3.4,0.00414
3.42,0.00411
3.44,0.00406
3.46,0.00399
3.48,0.00389
3.5,0.00377
3.52,0.00375
3.54,0.00372
3.56,0.00368
3.58,0.00364
3.6,0.00358
3.62,0.00352
3.64,0.00346
3.66,0.00338
3.68,0.0033
3.7,0.00322
3.72,0.00313
3.74,0.00304
3.76,0.00295
3.78,0.00286
3.8,0.00285
3.82,0.00283
3.84,0.00281
3.86,0.00279
3.88,0.00277
3.9,0.00276
3.92,0.00274
3.94,0.00273
3.96,0.00271
3.98,0.00269
4,0.00268
