Station Offset to Points Report,,,,
,,,,
Client:,Prepared by:,,,
Client,Preparer,,,
Client Company,Your Company Name,,,
Address 1,123 Main Street,,,
Date: 7/7/2024 10:32:13 AM,,,,
,,,,
,,,,
Alignment Name: en-d19,,,,
Description:,,,,
"Station Range: Start: 17+125.67, End: 23+797.40",,,,
,,,,
Point,Station,Offset,Elevation,Description
1,17+360.04,-14.052m,"1,116.696m",
2,17+360.00,-15.016m,"1,116.413m",
3,17+360.07,-16.740m,"1,115.920m",
4,17+360.22,-18.988m,"1,115.681m",
5,17+360.31,-21.498m,"1,115.520m",
6,17+379.98,15.061m,"1,113.126m",
7,17+379.97,9.511m,"1,113.628m",
8,17+379.97,8.601m,"1,113.727m",
9,17+380.04,5.313m,"1,114.046m",
10,17+380.04,2.138m,"1,114.898m",
11,17+380.02,-0.047m,"1,115.526m",
12,17+380.01,-1.688m,"1,116.000m",
13,17+380.04,-4.101m,"1,116.760m",
14,17+380.00,-6.949m,"1,117.075m",
15,17+379.99,-10.680m,"1,117.096m",
16,17+380.01,-14.114m,"1,117.085m",
17,17+380.03,-14.956m,"1,117.024m",
18,17+380.03,-16.393m,"1,116.969m",
19,17+380.09,-19.936m,"1,115.914m",
20,17+380.26,-24.280m,"1,115.320m",
21,17+400.09,15.121m,"1,113.534m",
22,17+400.07,11.820m,"1,113.638m",
23,17+400.02,7.518m,"1,113.785m",
24,17+400.09,6.441m,"1,113.844m",
25,17+400.06,3.042m,"1,113.984m",
26,17+400.00,-0.051m,"1,114.757m",
27,17+400.04,-2.626m,"1,115.606m",
28,17+400.02,-4.933m,"1,116.386m",
29,17+400.02,-7.005m,"1,116.969m",
30,17+400.03,-8.313m,"1,117.143m",
31,17+400.00,-9.986m,"1,117.269m",
32,17+400.02,-13.430m,"1,117.283m",
33,17+400.04,-16.915m,"1,117.258m",
34,17+400.05,-18.851m,"1,117.179m",
35,17+399.91,-22.198m,"1,116.277m",
36,17+399.65,-25.020m,"1,115.373m",
37,17+399.65,-26.497m,"1,115.027m",
38,17+420.02,15.154m,"1,112.903m",
39,17+419.99,10.328m,"1,113.131m",
40,17+420.01,8.375m,"1,113.275m",
41,17+420.05,7.641m,"1,113.351m",
42,17+420.02,3.944m,"1,113.464m",
43,17+420.04,2.687m,"1,113.483m",
44,17+420.00,0.076m,"1,113.764m",
45,17+420.02,-10.474m,"1,117.204m",
46,17+420.06,-13.067m,"1,117.385m",
47,17+420.12,-16.358m,"1,117.462m",
48,17+420.04,-19.846m,"1,117.524m",
49,17+440.06,15.046m,"1,112.042m",
50,17+439.98,13.644m,"1,112.591m",
51,17+440.11,9.659m,"1,113.068m",
52,17+440.02,5.035m,"1,113.335m",
53,17+440.02,4.297m,"1,113.443m",
54,17+439.98,-0.016m,"1,113.451m",
55,17+439.99,1.552m,"1,113.433m",
56,17+440.02,-5.800m,"1,114.643m",
57,17+440.03,-13.736m,"1,117.274m",
58,17+439.97,-14.928m,"1,117.451m",
59,17+439.95,-15.982m,"1,117.530m",
60,17+439.89,-19.312m,"1,117.603m",
61,17+439.68,-22.744m,"1,117.747m",
62,17+439.74,-24.520m,"1,117.769m",
63,17+439.65,-28.185m,"1,116.874m",
64,17+460.03,15.115m,"1,113.656m",
65,17+460.04,12.626m,"1,113.742m",
66,17+460.11,11.362m,"1,113.730m",
67,17+459.99,7.858m,"1,113.914m",
68,17+460.11,4.222m,"1,114.101m",
69,17+460.05,3.278m,"1,114.147m",
70,17+460.00,-0.045m,"1,114.241m",
71,17+460.01,-1.095m,"1,114.271m",
72,17+460.06,-1.817m,"1,114.434m",
73,17+460.00,-4.749m,"1,114.608m",
74,17+459.99,-6.449m,"1,114.755m",
75,17+460.02,-10.095m,"1,115.382m",
76,17+460.09,-14.127m,"1,116.676m",
77,17+479.72,15.051m,"1,112.742m",
78,17+480.00,11.712m,"1,112.899m",
79,17+479.99,8.052m,"1,113.203m",
80,17+480.08,5.238m,"1,113.522m",
81,17+480.01,3.121m,"1,113.655m",
82,17+480.03,0.074m,"1,113.887m",
83,17+479.96,-2.431m,"1,114.211m",
84,17+480.04,-5.524m,"1,114.438m",
85,17+480.00,-7.471m,"1,114.422m",
86,17+480.02,-9.075m,"1,114.521m",
87,17+480.07,-12.781m,"1,115.411m",
88,17+480.11,-14.882m,"1,116.194m",
89,17+500.02,15.234m,"1,113.272m",
90,17+500.07,12.133m,"1,113.340m",
91,17+500.00,8.122m,"1,113.637m",
92,17+499.94,4.671m,"1,113.597m",
93,17+499.98,-0.043m,"1,113.755m",
94,17+500.04,-4.586m,"1,114.064m",
95,17+500.06,-6.470m,"1,114.246m",
96,17+500.04,-9.985m,"1,114.428m",
97,17+500.01,-14.952m,"1,115.375m",
98,17+520.03,15.211m,"1,113.503m",
99,17+519.97,11.029m,"1,113.544m",
100,17+519.99,8.532m,"1,113.612m",
101,17+520.04,5.283m,"1,113.979m",
102,17+520.01,3.073m,"1,113.971m",
103,17+519.98,0.037m,"1,114.195m",
104,17+519.99,-3.997m,"1,114.361m",
105,17+520.00,-6.450m,"1,114.547m",
106,17+520.03,-9.159m,"1,114.654m",
107,17+520.00,-11.872m,"1,114.737m",
108,17+519.97,-14.857m,"1,114.923m",
109,17+521.57,15.176m,"1,113.587m",
110,17+521.67,13.609m,"1,113.683m",
111,17+521.80,10.602m,"1,113.807m",
112,17+521.85,8.097m,"1,113.732m",
113,17+521.84,7.405m,"1,113.646m",
114,17+521.89,6.105m,"1,113.711m",
115,17+521.90,5.245m,"1,113.766m",
116,17+521.94,3.979m,"1,113.838m",
117,17+521.97,2.227m,"1,114.029m",
118,17+521.92,0.084m,"1,114.152m",
119,17+521.92,-1.913m,"1,114.160m",
120,17+521.90,-3.764m,"1,114.240m",
121,17+300.02,-11.879m,"1,115.006m",
122,17+300.00,-7.651m,"1,116.333m",
123,17+300.01,-8.882m,"1,115.980m",
124,17+300.00,-5.896m,"1,116.375m",
125,17+300.04,-2.320m,"1,116.434m",
126,17+300.02,0.001m,"1,116.413m",
127,17+300.00,1.176m,"1,116.366m",
128,17+300.03,2.737m,"1,116.295m",
129,17+300.06,7.848m,"1,114.958m",
130,17+299.99,13.323m,"1,113.398m",
131,17+300.04,16.488m,"1,113.270m",
132,17+300.08,17.643m,"1,113.196m",
133,17+300.07,20.629m,"1,112.903m",
134,17+299.99,22.284m,"1,112.800m",
135,17+300.05,25.315m,"1,112.745m",
136,17+320.01,-14.964m,"1,114.969m",
137,17+320.07,-13.293m,"1,115.209m",
138,17+320.00,-9.618m,"1,116.429m",
139,17+320.02,-7.412m,"1,116.534m",
140,17+319.99,-3.681m,"1,116.601m",
141,17+320.02,-0.265m,"1,116.506m",
142,17+320.01,0.031m,"1,116.481m",
143,17+320.01,2.479m,"1,116.277m",
144,17+320.02,10.818m,"1,113.610m",
145,17+320.02,15.069m,"1,113.312m",
146,17+320.01,20.344m,"1,112.934m",
147,17+319.99,18.061m,"1,113.169m",
148,17+319.92,23.809m,"1,112.684m",
149,17+320.05,27.394m,"1,112.624m",
150,17+336.78,-29.667m,"1,115.093m",
151,17+336.78,-18.163m,"1,114.763m",
152,17+336.78,-16.074m,"1,114.839m",
153,17+336.74,-13.907m,"1,115.766m",
154,17+336.75,-12.246m,"1,116.323m",
155,17+336.78,-10.984m,"1,116.638m",
156,17+336.75,-8.817m,"1,116.720m",
157,17+336.77,-5.289m,"1,116.726m",
158,17+336.77,-2.102m,"1,116.658m",
159,17+336.76,0.067m,"1,116.639m",
160,17+336.78,1.864m,"1,116.073m",
161,17+336.99,5.913m,"1,113.858m",
162,17+336.60,9.178m,"1,113.770m",
163,17+336.86,12.011m,"1,113.698m",
164,17+336.68,14.622m,"1,113.582m",
165,17+336.25,18.755m,"1,113.273m",
166,17+340.05,20.094m,"1,112.930m",
167,17+340.03,17.626m,"1,113.111m",
168,17+340.01,15.114m,"1,113.360m",
169,17+340.03,10.053m,"1,113.745m",
170,17+340.08,6.638m,"1,113.815m",
171,17+340.02,4.081m,"1,113.957m",
172,17+340.00,2.525m,"1,114.627m",
173,17+340.00,2.090m,"1,115.420m",
174,17+340.01,0.007m,"1,116.648m",
175,17+340.02,-0.844m,"1,116.703m",
176,17+340.01,-1.433m,"1,116.652m",
177,17+340.01,-2.255m,"1,116.699m",
178,17+340.01,-5.785m,"1,116.752m",
179,17+340.00,-9.203m,"1,116.743m",
180,17+340.03,-11.709m,"1,116.606m",
181,17+340.01,-12.806m,"1,116.064m",
182,17+340.01,-13.354m,"1,115.458m",
183,17+340.01,-14.914m,"1,114.143m",
184,17+340.03,-16.445m,"1,114.213m",
185,17+340.12,-18.103m,"1,114.288m",
186,17+342.71,21.322m,"1,112.821m",
187,17+342.71,20.705m,"1,112.719m",
188,17+342.63,18.716m,"1,112.778m",
189,17+342.66,16.709m,"1,112.936m",
190,17+342.58,15.980m,"1,113.152m",
191,17+342.55,12.414m,"1,113.609m",
192,17+342.45,4.179m,"1,113.933m",
193,17+342.35,0.451m,"1,116.394m",
194,17+342.34,0.304m,"1,116.681m",
195,17+342.33,0.036m,"1,116.742m",
196,17+342.33,-0.120m,"1,116.735m",
197,17+342.29,-2.329m,"1,116.684m",
198,17+342.23,-6.035m,"1,116.768m",
199,17+342.18,-9.506m,"1,116.755m",
200,17+342.13,-11.865m,"1,116.757m",
201,17+342.12,-12.349m,"1,116.437m",
202,17+345.04,21.695m,"1,112.549m",
203,17+345.09,18.945m,"1,112.834m",
204,17+344.96,16.180m,"1,113.213m",
205,17+344.77,14.121m,"1,113.163m",
206,17+344.69,10.846m,"1,113.555m",
207,17+344.75,7.994m,"1,113.673m",
208,17+344.77,5.615m,"1,113.614m",
209,17+344.76,4.143m,"1,113.872m",
210,17+344.65,1.754m,"1,114.280m",
211,17+344.63,0.973m,"1,115.927m",
212,17+344.66,0.023m,"1,116.493m",
213,17+344.58,-2.710m,"1,116.711m",
214,17+344.60,-6.170m,"1,116.770m",
215,17+344.52,-9.810m,"1,116.743m",
216,17+344.49,-11.768m,"1,116.647m",
217,17+344.44,-13.086m,"1,115.938m",
218,17+344.47,-14.075m,"1,115.040m",
219,17+344.46,-15.308m,"1,114.226m",
220,17+344.43,-16.650m,"1,114.261m",
221,17+344.40,-18.555m,"1,114.357m",
222,17+360.05,14.977m,"1,112.965m",
223,17+360.09,12.063m,"1,113.274m",
224,17+360.07,9.199m,"1,113.479m",
225,17+360.02,7.928m,"1,113.738m",
226,17+359.97,5.337m,"1,114.297m",
227,17+360.03,0.174m,"1,116.003m",
228,17+360.00,-0.092m,"1,116.068m",
229,17+360.05,-1.929m,"1,116.654m",
230,17+360.00,-4.362m,"1,116.848m",
231,17+360.00,-8.021m,"1,116.894m",
232,17+359.98,-11.546m,"1,116.882m",
233,18+079.82,25.274m,"1,113.212m",
234,18+100.02,-15.910m,"1,116.369m",
235,18+100.04,-12.718m,"1,116.329m",
236,18+100.04,-9.144m,"1,116.326m",
237,18+100.09,-5.799m,"1,115.476m",
238,18+100.11,-1.644m,"1,114.425m",
239,18+100.01,0.209m,"1,114.329m",
240,18+100.08,4.282m,"1,114.123m",
241,18+100.05,9.577m,"1,114.054m",
242,18+099.97,11.691m,"1,113.756m",
243,18+100.26,18.378m,"1,113.373m",
244,18+100.27,21.061m,"1,113.650m",
245,18+100.19,28.756m,"1,113.094m",
246,18+120.11,-15.851m,"1,116.129m",
247,18+119.94,-12.344m,"1,116.124m",
248,18+119.97,-9.153m,"1,116.119m",
249,18+120.10,-6.007m,"1,115.365m",
250,18+120.09,-0.949m,"1,114.128m",
251,18+120.02,-0.074m,"1,114.054m",
252,18+120.01,4.269m,"1,114.028m",
253,18+120.05,8.387m,"1,113.711m",
254,18+120.01,11.739m,"1,113.269m",
255,18+120.04,17.571m,"1,113.145m",
256,18+120.15,21.814m,"1,113.100m",
257,18+120.08,26.868m,"1,112.658m",
258,18+140.10,-16.035m,"1,115.880m",
259,18+140.00,-12.570m,"1,115.891m",
260,18+140.00,-9.098m,"1,115.893m",
261,18+140.09,-5.857m,"1,115.119m",
262,18+140.07,-2.147m,"1,114.204m",
263,18+139.99,0.094m,"1,113.999m",
264,18+140.02,11.935m,"1,113.062m",
265,18+140.04,17.349m,"1,112.916m",
266,18+139.80,25.384m,"1,112.850m",
267,18+139.63,30.390m,"1,112.619m",
268,18+160.13,-16.038m,"1,115.598m",
269,18+160.18,-12.514m,"1,115.631m",
270,18+159.98,-9.231m,"1,115.623m",
271,18+160.05,-3.066m,"1,113.808m",
272,18+160.12,0.184m,"1,113.723m",
273,18+160.03,4.906m,"1,113.694m",
274,18+160.04,11.774m,"1,112.901m",
275,18+160.16,17.408m,"1,112.931m",
276,18+160.23,20.961m,"1,112.839m",
277,18+160.28,24.730m,"1,112.568m",
278,18+160.38,31.663m,"1,112.194m",
279,18+180.06,-15.977m,"1,115.391m",
280,18+180.02,-12.473m,"1,115.384m",
281,18+180.02,-9.068m,"1,115.384m",
282,18+180.02,-4.643m,"1,113.953m",
283,18+179.99,-1.309m,"1,113.390m",
284,18+180.01,0.084m,"1,113.325m",
285,18+180.02,5.389m,"1,113.136m",
286,18+180.03,11.373m,"1,112.653m",
287,18+180.13,17.208m,"1,112.575m",
288,18+180.34,21.698m,"1,112.492m",
289,18+180.13,29.211m,"1,112.263m",
290,18+180.09,34.519m,"1,111.978m",
291,18+200.12,-15.991m,"1,115.149m",
292,18+200.11,-12.616m,"1,115.154m",
293,18+200.09,-9.027m,"1,115.161m",
294,18+199.97,-1.983m,"1,113.053m",
295,18+200.18,-5.169m,"1,113.874m",
296,18+200.08,-0.028m,"1,113.034m",
297,18+199.83,5.418m,"1,112.945m",
298,18+199.98,11.762m,"1,112.237m",
299,18+200.07,16.791m,"1,112.250m",
300,18+199.85,20.927m,"1,112.242m",
301,18+199.43,27.077m,"1,111.969m",
302,18+220.02,-16.041m,"1,114.929m",
303,18+220.08,-12.572m,"1,114.932m",
304,18+220.03,-9.221m,"1,114.943m",
305,18+219.99,-4.519m,"1,113.239m",
306,18+219.98,-1.319m,"1,112.554m",
307,18+220.01,-0.023m,"1,112.575m",
308,18+220.00,5.320m,"1,112.473m",
309,18+220.09,8.527m,"1,112.441m",
310,18+219.98,11.685m,"1,111.888m",
311,18+220.02,15.092m,"1,111.767m",
312,18+220.15,20.139m,"1,111.934m",
313,18+220.24,23.623m,"1,111.710m",
314,18+240.11,-16.003m,"1,114.701m",
315,18+240.01,-12.572m,"1,114.706m",
316,18+239.98,-9.136m,"1,114.682m",
317,18+240.03,-6.272m,"1,113.946m",
318,18+240.04,-2.016m,"1,112.421m",
319,18+240.04,0.095m,"1,112.324m",
320,18+240.04,8.134m,"1,111.959m",
321,18+240.08,11.474m,"1,111.522m",
322,18+239.99,16.131m,"1,111.486m",
323,18+240.27,20.783m,"1,111.306m",
324,18+240.28,25.465m,"1,111.119m",
325,18+240.11,31.579m,"1,110.811m",
326,18+260.03,-15.920m,"1,114.449m",
327,18+260.08,-12.614m,"1,114.481m",
328,18+260.09,-9.243m,"1,114.464m",
329,18+260.01,-7.002m,"1,114.002m",
330,18+260.00,-2.441m,"1,112.159m",
331,18+259.97,0.008m,"1,112.203m",
332,18+260.00,8.291m,"1,112.115m",
333,18+260.12,11.199m,"1,111.350m",
334,18+260.04,16.082m,"1,111.256m",
335,18+260.11,20.675m,"1,111.334m",
336,18+259.86,23.900m,"1,111.173m",
337,18+259.87,27.102m,"1,111.080m",
338,18+280.03,-15.873m,"1,114.241m",
339,18+280.10,-12.513m,"1,114.204m",
340,18+280.12,-9.322m,"1,114.243m",
341,18+280.01,-6.828m,"1,113.785m",
342,18+280.01,-1.811m,"1,112.041m",
343,18+280.04,0.046m,"1,111.969m",
344,18+280.00,10.916m,"1,111.225m",
345,18+279.93,16.838m,"1,111.119m",
346,18+280.05,22.429m,"1,111.018m",
347,18+300.06,-15.946m,"1,113.979m",
348,18+299.97,-12.766m,"1,113.981m",
349,18+300.04,-9.304m,"1,113.976m",
350,18+300.04,-6.867m,"1,113.528m",
351,18+300.00,-1.545m,"1,111.773m",
352,18+299.99,0.046m,"1,111.799m",
353,19+420.03,13.170m,"1,105.267m",
354,19+419.96,16.135m,"1,104.996m",
355,19+420.11,21.660m,"1,104.857m",
356,19+419.98,27.145m,"1,104.600m",
357,19+419.99,31.992m,"1,104.397m",
358,19+439.99,-12.138m,"1,108.106m",
359,19+440.01,-9.305m,"1,108.060m",
360,19+440.05,-6.982m,"1,107.693m",
361,19+440.02,-1.851m,"1,105.869m",
362,19+439.98,0.054m,"1,105.649m",
363,19+440.08,6.101m,"1,105.044m",
364,19+440.07,12.395m,"1,104.899m",
365,19+440.00,16.294m,"1,104.789m",
366,19+439.87,20.233m,"1,104.588m",
367,19+439.83,24.554m,"1,104.332m",
368,19+460.14,-15.924m,"1,108.043m",
369,19+459.96,-12.968m,"1,108.036m",
370,19+460.11,-9.272m,"1,107.975m",
371,19+459.91,-5.383m,"1,106.971m",
372,19+460.09,0.130m,"1,105.714m",
373,19+460.07,3.868m,"1,105.217m",
374,19+460.09,6.399m,"1,105.117m",
375,19+460.05,12.831m,"1,104.856m",
376,19+459.89,15.934m,"1,105.045m",
377,19+459.84,18.828m,"1,104.714m",
378,19+460.04,23.118m,"1,104.511m",
379,19+459.98,28.306m,"1,104.302m",
380,19+460.24,37.587m,"1,103.913m",
381,19+480.07,-16.168m,"1,107.964m",
382,19+480.01,-12.836m,"1,107.922m",
383,19+480.00,-9.296m,"1,107.912m",
384,19+480.00,-6.165m,"1,107.303m",
385,19+479.98,-0.012m,"1,105.422m",
386,19+479.96,-1.112m,"1,105.546m",
387,19+480.01,2.642m,"1,104.991m",
388,19+480.03,5.457m,"1,104.742m",
389,19+480.01,6.688m,"1,104.818m",
390,19+480.09,12.880m,"1,104.722m",
391,19+479.96,17.160m,"1,104.352m",
392,19+479.91,21.275m,"1,104.303m",
393,19+479.75,30.370m,"1,103.965m",
394,19+500.15,-16.009m,"1,107.862m",
395,19+500.08,-12.899m,"1,107.862m",
396,19+500.00,-9.184m,"1,107.858m",
397,19+499.95,-5.770m,"1,107.039m",
398,19+500.08,-0.870m,"1,105.659m",
399,19+500.02,-0.052m,"1,105.514m",
400,19+500.05,6.662m,"1,104.763m",
401,19+500.05,12.676m,"1,104.624m",
402,19+499.94,17.427m,"1,104.584m",
403,19+499.83,21.616m,"1,104.266m",
404,19+499.83,26.591m,"1,104.001m",
405,19+520.05,-16.065m,"1,107.757m",
406,19+520.07,-12.796m,"1,107.766m",
407,19+520.07,-9.323m,"1,107.736m",
408,19+520.01,-6.434m,"1,107.203m",
409,19+520.08,-0.003m,"1,105.396m",
410,19+520.10,6.359m,"1,104.713m",
411,19+520.03,12.800m,"1,104.539m",
412,19+520.04,17.042m,"1,104.530m",
413,19+520.10,19.627m,"1,104.369m",
414,19+519.86,30.164m,"1,103.869m",
415,19+519.79,33.256m,"1,103.698m",
416,19+540.03,-16.019m,"1,107.654m",
417,19+540.02,-12.854m,"1,107.623m",
418,19+540.05,-9.277m,"1,107.600m",
419,19+540.03,-7.304m,"1,107.334m",
