Icon,Name,Latitude,Longitude,Ell.Height (m),Code,Solution Type,PP Correction Status,Control,Note,Photo Notes,Layer,Source,Std Dev n (m),Std Dev e (m),Std Dev u (m),Std Dev Hz (m),Color,Point Symbol,Antenna Type,Antenna Height (m),Ant Height Method,Start Time,Stop Time,Duration,GPS Satellites,GLONASS Satellites,PDOP,HDOP,VDOP,Geoid Separation (m),Weighted residual n (m),Weighted residual e (m),Weighted residual u (m)
 ,20250903050955 2025-09-03 5:24:06.130356300 AM,32.4213176,55.32295991,1138.339,USER,Fixed,Corrected,None,231, ,BYCODE(0), ,0.014,0.012,0.014,0.019,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:24, , , , ,1.4,0.83,1.128, , , , 
 ,20250903050955 2025-09-03 5:15:01.875455900 AM,32.41763067,55.32860658,1137.753,USER,Partial,Corrected,None,2, ,BYCODE(0), ,0.016,0.012,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:15, , , , ,1.407,0.854,1.118, , , , 
 ,20250903050955 2025-09-03 5:15:39.001496100 AM,32.41753751,55.32856582,1137.544,USER,Partial,Corrected,None,3, ,BYCODE(0), ,0.016,0.013,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:15, , , , ,1.406,0.853,1.118, , , , 
 ,20250903050955 2025-09-03 5:15:41.593350400 AM,32.41735858,55.32849047,1137.597,USER,Partial,Corrected,None,4, ,BYCODE(0), ,0.016,0.013,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:15, , , , ,1.406,0.853,1.118, , , , 
 ,20250903050955 2025-09-03 5:15:43.592614900 AM,32.41718513,55.32841862,1137.489,USER,Partial,Corrected,None,5, ,BYCODE(0), ,0.016,0.013,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:15, , , , ,1.406,0.853,1.118, , , , 
 ,20250903050955 2025-09-03 5:15:45.621179100 AM,32.41701311,55.32834684,1137.726,USER,Partial,Corrected,None,6, ,BYCODE(0), ,0.016,0.013,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:15, , , , ,1.406,0.852,1.118, , , , 
 ,20250903050955 2025-09-03 5:15:47.612343800 AM,32.4168451,55.32827618,1137.885,USER,Partial,Corrected,None,7, ,BYCODE(0), ,0.016,0.013,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:15, , , , ,1.406,0.852,1.118, , , , 
 ,20250903050955 2025-09-03 5:15:49.615908100 AM,32.41667609,55.32820507,1137.931,USER,Partial,Corrected,None,8, ,BYCODE(0), ,0.016,0.013,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:15, , , , ,1.406,0.852,1.118, , , , 
 ,20250903050955 2025-09-03 5:15:51.605072700 AM,32.41650733,55.32813388,1137.977,USER,Partial,Corrected,None,9, ,BYCODE(0), ,0.016,0.013,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:15, , , , ,1.406,0.852,1.118, , , , 
 ,20250903050955 2025-09-03 5:15:53.595937000 AM,32.41633852,55.3280626,1138.191,USER,Partial,Corrected,None,10, ,BYCODE(0), ,0.016,0.013,0.014,0.02,         BYLAYER,  BYCODE, ,0,Vertical,9/3/2025 5:15, , , , ,1.406,0.852,1.118, , , , 
