,Date,IP Address,logged-in,Connect to Me,Share Files,Generic Processing,PPK Processing,CSDP Processing,Image ProcessingDelete Empty Processing,Bridge Processing,Downloads
0,30,30,30,5,0,4,4,1,2,0,10
1,2024/08/29 | 10:49:57,127.0.0.1,292-1.dwg,0,0,0,0,0,0,0,1
2,2024/08/29 | 10:51:20,127.0.0.1,Code292-1.pdf,0,0,0,0,0,0,0,1
3,2024/08/29 | 10:52:54,127.0.0.1,Logged-in Properly,1,0,0,0,0,0,0,0
4,2024/08/29 | 10:52:56,127.0.0.1,1_bridge.dwg,0,0,0,0,0,0,0,1
5,2024/08/29 | 10:53:51,127.0.0.1,app.py,0,0,0,0,0,0,0,1
6,2024/08/29 | 10:57:19,127.0.0.1,Logged-in Properly,1,0,0,0,0,0,0,0
7,2024/08/29 | 10:58:26,127.0.0.1,Logged-in Properly,1,0,0,0,0,0,0,0
8,2024/08/29 | 11:03:21,127.0.0.1,Logged-in Properly,1,0,0,0,0,0,0,0
9,2024/08/29 | 11:04:10,127.0.0.1,Logged-in Properly,1,0,0,0,0,0,0,0
10,2024/08/29 | 11:04:12,127.0.0.1,BridgeProcessingApp.rar,0,0,0,0,0,0,0,1
11,2024/08/29 | 11:06:31,127.0.0.1,292-1.dwg,0,0,0,0,0,0,0,1
12,2024/08/29 | 11:07:41,127.0.0.1,Logged-in Properly,0,0,1,0,0,0,0,0
13,2024/08/29 | 11:13:50,127.0.0.1,Logged-in Properly,0,0,1,0,0,0,0,0
14,2024/08/29 | 11:16:07,127.0.0.1,Logged-in Properly,0,0,1,0,0,0,0,0
15,2024/08/29 | 11:23:08,127.0.0.1,Bad inputs,0,0,1,0,0,0,0,0
16,2024/08/29 | 11:23:48,127.0.0.1,Logged-in Properly,0,0,0,1,0,0,0,0
17,2024/08/29 | 11:23:48,127.0.0.1,Bad inputs,0,0,0,1,0,0,0,0
18,2024/08/29 | 11:27:09,127.0.0.1,Logged-in Properly,0,0,0,0,1,0,0,0
19,2024/08/29 | 11:29:05,127.0.0.1,RESULT_DIR,0,0,0,0,0,0,0,1
20,2024/08/29 | 11:31:11,127.0.0.1,CSDP_02-CSDP-main.csv,0,0,0,0,0,0,0,1
21,2024/08/29 | 11:32:03,127.0.0.1,Logged-in Properly,0,0,0,1,0,0,0,0
22,2024/08/29 | 11:32:03,127.0.0.1,Bad inputs,0,0,0,1,0,0,0,0
23,2024/08/29 | 11:37:34,127.0.0.1,Logged-in Properly,0,0,0,0,0,1,0,0
24,2024/08/29 | 11:38:40,127.0.0.1,Logged-in Properly,0,0,0,0,0,1,0,0
25,2024/08/29 | 11:38:49,127.0.0.1,Logged-in Properly,0,0,0,0,0,0,0,0
26,2024/08/29 | 11:39:01,127.0.0.1,Logged-in Properly,0,0,0,0,0,0,0,1
27,2024/08/29 | 11:39:11,127.0.0.1,delete_distance_from_centerline_04-DeletefromDistance.csv,0,0,0,0,0,0,0,1
28,2024/08/29 | 11:57:01,127.0.0.1,Logged-in Properly,0,0,0,0,0,0,0,0
29,2024/08/29 | 11:57:07,127.0.0.1,Logged-in Properly,0,0,0,0,0,0,0,0
30,2024/08/29 | 11:59:18,127.0.0.1,Logged-in Properly,0,0,0,0,0,0,0,0
