Station Offset to Points Report,,,,
,,,,
Client:,Prepared by:,,,
Client,Preparer,,,
Client Company,Your Company Name,,,
Address 1,123 Main Street,,,
Date: 7/20/2024 9:09:04 AM,,,,
,,,,
,,,,
Alignment Name: mojtame kashi,,,,
Description:,,,,
"Station Range: Start: -0+194.22, End: 0+376.89",,,,
,,,,
Point,Station,Offset,Elevation,Description
10,194.22,-20.000m,"1,584.312m",
11,194.22,-19.514m,"1,584.314m",
12,194.2,-18.977m,"1,584.584m",
13,194.19,-18.031m,"1,584.308m",
14,194.2,-16.776m,"1,584.265m",
15,194.19,-14.529m,"1,584.241m",
16,194.19,-13.334m,"1,584.259m",
17,194.2,-11.654m,"1,584.129m",
18,194.19,-9.161m,"1,584.261m",
19,194.21,-7.133m,"1,584.274m",
20,194.17,-6.220m,"1,584.283m",
21,194.16,-4.277m,"1,584.542m",
22,194.22,0.000m,"1,584.303m",
23,194.2,2.513m,"1,584.407m",
24,194.19,3.259m,"1,584.535m",
25,194.15,4.897m,"1,584.374m",
26,194.14,6.431m,"1,584.058m",
27,194.12,7.667m,"1,584.085m",
28,194.18,9.271m,"1,583.997m",
29,194.18,15.226m,"1,583.994m",
30,194.15,19.989m,"1,583.962m",
31,179.99,-19.996m,"1,584.171m",
32,179.98,-18.765m,"1,584.155m",
33,179.98,-17.086m,"1,584.162m",
34,179.94,-14.055m,"1,584.213m",
35,179.95,-12.949m,"1,584.101m",
36,179.94,-11.943m,"1,584.096m",
37,179.94,-10.766m,"1,584.186m",
38,179.96,-9.858m,"1,584.244m",
39,179.98,-9.277m,"1,584.362m",
40,180.01,-7.771m,"1,584.183m",
41,179.99,-6.351m,"1,584.264m",
42,179.93,-4.749m,"1,584.404m",
43,179.95,-0.008m,"1,584.220m",
44,179.99,2.155m,"1,584.338m",
45,179.99,4.788m,"1,584.280m",
46,180.02,5.728m,"1,584.094m",
47,180.01,6.964m,"1,584.115m",
48,180.05,9.896m,"1,584.042m",
49,180,14.453m,"1,583.979m",
50,180.06,19.950m,"1,583.881m",
51,160.01,-19.847m,"1,583.986m",
52,159.98,-17.110m,"1,584.028m",
53,159.96,-15.149m,"1,583.962m",
54,159.95,-14.483m,"1,584.000m",
55,159.95,-11.043m,"1,583.911m",
56,160.04,-8.896m,"1,584.057m",
57,159.93,-12.856m,"1,584.034m",
58,160.06,-7.083m,"1,584.192m",
59,160.05,-6.085m,"1,584.267m",
60,160.02,-3.199m,"1,584.047m",
61,159.98,0.019m,"1,584.132m",
62,159.97,0.906m,"1,584.174m",
63,159.96,1.831m,"1,584.351m",
64,159.95,3.052m,"1,584.224m",
65,159.94,4.235m,"1,584.111m",
66,159.92,6.085m,"1,583.890m",
67,159.94,3.829m,"1,584.024m",
68,160.03,8.524m,"1,583.703m",
69,159.99,12.288m,"1,583.699m",
70,160.01,16.650m,"1,583.727m",
71,159.91,19.936m,"1,583.822m",
72,139.99,-19.997m,"1,584.039m",
73,139.99,-17.843m,"1,584.035m",
74,139.97,-16.194m,"1,583.981m",
75,139.99,-14.635m,"1,584.110m",
76,139.95,-13.010m,"1,583.908m",
77,139.99,-11.955m,"1,584.199m",
78,139.98,-10.787m,"1,584.153m",
79,140.01,-9.503m,"1,584.021m",
80,140.02,-8.380m,"1,584.268m",
81,140,-7.602m,"1,584.191m",
82,139.96,-6.205m,"1,584.086m",
83,139.98,-2.883m,"1,584.085m",
84,140.02,-0.022m,"1,584.210m",
85,140.03,1.216m,"1,584.180m",
86,140.03,2.224m,"1,583.953m",
87,140.04,5.684m,"1,583.845m",
88,140.03,6.852m,"1,583.842m",
89,140.01,7.562m,"1,584.067m",
90,139.87,9.093m,"1,584.575m",
91,139.93,10.217m,"1,584.803m",
92,139.93,11.683m,"1,584.749m",
93,139.91,13.264m,"1,584.049m",
94,139.93,14.112m,"1,583.911m",
95,140.03,13.820m,"1,583.929m",
96,140.03,14.687m,"1,583.894m",
97,139.94,15.316m,"1,583.904m",
98,139.96,17.155m,"1,583.944m",
99,139.96,19.913m,"1,584.329m",
100,119.9,-19.555m,"1,584.037m",
101,119.91,-17.007m,"1,584.116m",
102,119.95,-13.957m,"1,584.187m",
103,120,-11.742m,"1,584.062m",
104,119.98,-10.341m,"1,584.074m",
105,119.99,-9.695m,"1,584.058m",
106,119.97,-7.990m,"1,584.065m",
107,119.91,-6.904m,"1,583.991m",
108,119.96,-5.675m,"1,583.886m",
109,119.9,-3.449m,"1,584.138m",
110,119.93,-1.430m,"1,584.044m",
111,120.01,-0.005m,"1,584.062m",
112,120.07,2.058m,"1,584.029m",
113,119.92,4.151m,"1,584.002m",
114,119.94,6.816m,"1,583.954m",
115,119.98,9.292m,"1,583.880m",
116,120.13,10.501m,"1,583.854m",
117,119.95,12.020m,"1,583.839m",
118,119.9,13.187m,"1,583.851m",
119,120.01,14.577m,"1,583.723m",
120,120,15.905m,"1,583.575m",
121,120.09,18.048m,"1,583.557m",
122,120.08,20.001m,"1,583.523m",
123,99.99,-20.045m,"1,584.206m",
124,100.02,-17.754m,"1,584.054m",
125,100.03,-14.598m,"1,583.959m",
126,99.99,-11.104m,"1,584.178m",
127,100.03,-7.676m,"1,583.627m",
128,99.99,-3.972m,"1,583.617m",
129,99.9,-1.739m,"1,583.613m",
130,100.03,0.024m,"1,583.635m",
131,100.01,3.686m,"1,583.621m",
132,99.94,5.308m,"1,583.582m",
133,100.05,8.818m,"1,583.596m",
134,100.01,12.522m,"1,583.568m",
135,99.98,15.868m,"1,583.551m",
136,99.97,19.845m,"1,583.460m",
137,80.02,-20.052m,"1,584.133m",
138,80.07,-16.056m,"1,583.810m",
139,80.05,-12.181m,"1,583.669m",
140,79.95,-9.067m,"1,583.643m",
141,80.02,-5.006m,"1,583.680m",
142,80.08,-2.693m,"1,583.650m",
143,80,-0.021m,"1,583.633m",
144,79.89,2.689m,"1,583.610m",
145,80.21,5.063m,"1,583.559m",
146,79.91,7.767m,"1,583.547m",
147,79.95,9.243m,"1,583.550m",
148,79.75,11.963m,"1,583.576m",
149,79.97,15.938m,"1,583.792m",
150,80.07,20.065m,"1,583.393m",
151,60.19,-20.050m,"1,583.472m",
152,60.04,-17.858m,"1,583.452m",
153,59.92,-16.511m,"1,583.459m",
154,59.98,-15.197m,"1,583.497m",
155,59.94,-11.181m,"1,583.526m",
156,59.86,-7.379m,"1,583.450m",
157,60.02,-3.565m,"1,583.414m",
158,59.91,0.025m,"1,583.425m",
159,59.98,2.396m,"1,583.451m",
160,60.03,4.217m,"1,583.506m",
161,59.95,5.101m,"1,583.523m",
162,60.09,6.037m,"1,583.311m",
163,59.81,6.999m,"1,583.491m",
164,60.24,7.692m,"1,583.532m",
165,60.33,8.753m,"1,583.378m",
166,60.13,11.114m,"1,583.322m",
167,60.09,14.072m,"1,583.370m",
168,59.96,17.578m,"1,583.453m",
169,60.1,19.908m,"1,583.438m",
170,39.98,-20.036m,"1,583.563m",
171,39.98,-19.148m,"1,583.363m",
172,39.98,-17.725m,"1,583.313m",
173,40.13,-16.368m,"1,583.231m",
174,39.97,-14.995m,"1,583.073m",
175,40,-13.797m,"1,583.160m",
176,39.98,-12.554m,"1,583.322m",
177,40.01,-11.175m,"1,583.349m",
178,40.06,-8.765m,"1,583.370m",
179,40.03,-5.380m,"1,583.313m",
180,39.98,-2.151m,"1,583.319m",
181,40.01,0.041m,"1,583.336m",
182,40.02,3.195m,"1,583.246m",
183,40.18,5.269m,"1,583.264m",
184,39.97,8.655m,"1,583.270m",
185,40.03,10.653m,"1,583.287m",
186,39.92,14.644m,"1,583.171m",
187,40.04,17.390m,"1,583.201m",
188,39.91,20.004m,"1,583.243m",
189,20.22,-19.674m,"1,583.186m",
190,20.07,-17.589m,"1,583.166m",
191,19.95,-15.450m,"1,583.171m",
192,19.86,-13.259m,"1,583.152m",
193,20.22,-10.829m,"1,583.140m",
194,20.21,-7.809m,"1,583.190m",
195,20.09,-5.805m,"1,583.252m",
196,19.84,-4.467m,"1,583.182m",
197,20.04,-2.090m,"1,583.109m",
198,19.95,-0.031m,"1,583.047m",
199,19.88,2.214m,"1,583.149m",
200,19.73,3.364m,"1,583.210m",
201,19.95,5.126m,"1,583.204m",
202,20,8.119m,"1,583.183m",
203,19.86,11.674m,"1,583.137m",
204,20.21,15.520m,"1,583.024m",
205,20.02,19.903m,"1,583.107m",
206,0.09,-20.034m,"1,583.103m",
207,0+000.16,-17.360m,"1,583.099m",
208,0.1,-13.807m,"1,583.160m",
209,0+000.02,-12.471m,"1,583.141m",
210,0+000.09,-10.092m,"1,583.103m",
211,0.17,-7.608m,"1,583.126m",
212,0+000.01,-5.843m,"1,583.114m",
213,0.09,-3.011m,"1,583.105m",
214,0.01,-1.476m,"1,583.074m",
215,0,-0.012m,"1,583.041m",
216,0+000.07,1.125m,"1,583.007m",
217,0+000.04,1.746m,"1,582.995m",
218,0.04,2.963m,"1,583.003m",
219,0.01,4.409m,"1,582.990m",
220,0.01,6.108m,"1,582.931m",
221,0.02,7.117m,"1,582.910m",
222,0+000.03,7.786m,"1,582.886m",
223,0+000.03,8.616m,"1,582.939m",
224,0+000.00,11.412m,"1,582.933m",
225,0.03,13.005m,"1,582.903m",
226,0.06,15.439m,"1,583.073m",
227,0.08,17.977m,"1,582.946m",
228,0.01,19.969m,"1,582.970m",
229,0+020.07,-19.943m,"1,582.953m",
230,0+020.16,-17.429m,"1,582.938m",
231,0+019.86,-14.001m,"1,582.936m",
232,0+019.89,-8.023m,"1,582.944m",
233,0+020.01,-3.202m,"1,582.957m",
234,0+020.01,-1.565m,"1,582.957m",
235,0+020.01,-0.024m,"1,582.930m",
236,0+019.99,0.956m,"1,582.920m",
237,0+020.03,2.441m,"1,582.948m",
238,0+020.02,4.930m,"1,582.920m",
239,0+020.01,8.238m,"1,582.897m",
240,0+019.87,10.661m,"1,582.881m",
241,0+019.85,13.980m,"1,582.851m",
242,0+019.92,15.972m,"1,582.812m",
243,0+019.99,16.988m,"1,582.671m",
244,0+019.92,18.914m,"1,582.689m",
245,0+020.03,20.047m,"1,582.774m",
246,0+039.95,-19.937m,"1,582.768m",
247,0+039.97,-18.254m,"1,582.774m",
248,0+040.03,-15.207m,"1,582.795m",
249,0+040.20,-9.621m,"1,582.787m",
250,0+039.85,-12.082m,"1,582.822m",
251,0+039.94,-6.469m,"1,582.798m",
252,0+040.02,-1.739m,"1,582.825m",
253,0+039.95,-0.029m,"1,582.811m",
254,0+039.95,-4.251m,"1,582.810m",
255,0+039.94,1.842m,"1,582.812m",
256,0+040.07,5.931m,"1,582.790m",
257,0+040.19,8.604m,"1,582.814m",
258,0+040.06,11.623m,"1,582.704m",
259,0+039.89,13.279m,"1,582.673m",
260,0+039.91,14.294m,"1,582.681m",
261,0+039.98,15.871m,"1,582.667m",
262,0+039.86,17.955m,"1,582.668m",
263,0+039.93,19.933m,"1,582.659m",
264,0+059.89,-20.050m,"1,582.652m",
265,0+059.87,-18.352m,"1,582.651m",
266,0+059.96,-15.838m,"1,582.658m",
267,0+060.14,-12.678m,"1,582.614m",
268,0+060.12,-9.282m,"1,582.613m",
269,0+059.94,-7.245m,"1,582.630m",
270,0+059.91,-3.170m,"1,582.621m",
271,0+059.98,-0.013m,"1,582.635m",
272,0+059.99,1.839m,"1,582.621m",
273,0+059.98,2.555m,"1,582.622m",
274,0+060.01,2.829m,"1,582.631m",
275,0+059.95,4.729m,"1,582.631m",
276,0+060.08,6.031m,"1,582.609m",
277,0+059.92,7.293m,"1,582.566m",
278,0+059.90,8.165m,"1,582.571m",
279,0+059.95,8.842m,"1,582.579m",
280,0+059.97,9.636m,"1,582.585m",
281,0+059.96,10.378m,"1,582.607m",
282,0+059.92,11.016m,"1,582.612m",
283,0+059.96,12.175m,"1,582.617m",
284,0+059.96,13.425m,"1,582.619m",
285,0+060.04,14.220m,"1,582.637m",
286,0+059.98,15.950m,"1,582.571m",
287,0+059.96,17.213m,"1,582.413m",
288,0+060.02,18.814m,"1,582.428m",
289,0+060.07,20.012m,"1,582.439m",
290,0+079.96,-20.015m,"1,582.491m",
291,0+079.80,-18.037m,"1,582.459m",
292,0+079.98,-14.977m,"1,582.461m",
293,0+079.88,-12.544m,"1,582.482m",
294,0+079.92,-9.784m,"1,582.456m",
295,0+079.98,-7.076m,"1,582.457m",
296,0+079.97,-4.173m,"1,582.437m",
297,0+080.02,-1.634m,"1,582.431m",
298,0+080.00,0.010m,"1,582.435m",
299,0+079.95,1.975m,"1,582.461m",
300,0+080.03,3.356m,"1,582.450m",
301,0+080.09,6.780m,"1,582.460m",
302,0+079.88,4.878m,"1,582.441m",
303,0+079.92,8.458m,"1,582.445m",
304,0+079.97,10.541m,"1,582.463m",
305,0+080.05,12.377m,"1,582.391m",
306,0+079.98,13.287m,"1,582.454m",
307,0+080.03,14.550m,"1,582.485m",
308,0+079.94,16.333m,"1,582.470m",
309,0+080.07,18.325m,"1,582.459m",
310,0+079.96,19.939m,"1,582.481m",
311,0+100.03,-20.004m,"1,582.302m",
312,0+100.01,-17.026m,"1,582.294m",
313,0+100.06,-13.932m,"1,582.316m",
314,0+099.87,-11.038m,"1,582.308m",
315,0+099.90,-7.581m,"1,582.321m",
316,0+099.88,-4.934m,"1,582.299m",
317,0+099.94,-2.204m,"1,582.291m",
318,0+100.03,-0.003m,"1,582.290m",
319,0+100.08,1.652m,"1,582.285m",
320,0+099.76,4.561m,"1,582.292m",
321,0+099.98,6.002m,"1,582.277m",
322,0+100.02,8.219m,"1,582.268m",
323,0+099.85,10.872m,"1,582.261m",
324,0+099.74,14.773m,"1,582.278m",
325,0+100.11,19.986m,"1,582.298m",
326,0+119.79,-19.619m,"1,582.124m",
327,0+120.15,-16.293m,"1,582.101m",
328,0+120.48,-13.097m,"1,582.102m",
329,0+119.90,-10.467m,"1,582.120m",
330,0+119.80,-7.921m,"1,582.171m",
331,0+120.08,-5.502m,"1,582.107m",
332,0+119.85,-3.345m,"1,582.126m",
333,0+120.04,-1.434m,"1,582.083m",
334,0+120.03,0.000m,"1,582.094m",
335,0+120.00,2.247m,"1,582.114m",
336,0+120.18,3.641m,"1,582.113m",
337,0+119.99,6.126m,"1,582.163m",
338,0+119.94,8.976m,"1,582.147m",
339,0+119.91,10.135m,"1,582.123m",
340,0+119.95,10.838m,"1,582.115m",
341,0+119.91,11.931m,"1,582.154m",
342,0+119.97,12.452m,"1,582.203m",
343,0+120.01,13.220m,"1,582.193m",
344,0+119.99,13.897m,"1,582.158m",
345,0+119.97,14.964m,"1,582.152m",
346,0+119.97,16.175m,"1,582.102m",
347,0+120.04,16.696m,"1,582.082m",
348,0+120.02,18.453m,"1,582.033m",
349,0+120.05,20.002m,"1,582.048m",
350,0+140.00,-19.951m,"1,581.982m",
351,0+139.89,-18.049m,"1,581.982m",
352,0+140.11,-16.316m,"1,581.985m",
353,0+140.27,-14.277m,"1,581.960m",
354,0+140.33,-12.375m,"1,581.973m",
355,0+140.35,-10.235m,"1,581.953m",
356,0+139.89,-7.996m,"1,581.951m",
357,0+140.18,-5.040m,"1,581.951m",
358,0+139.88,-1.951m,"1,581.946m",
359,0+139.99,-0.004m,"1,581.947m",
360,0+140.01,1.766m,"1,581.960m",
361,0+140.03,2.178m,"1,581.954m",
362,0+139.96,3.418m,"1,581.951m",
363,0+140.07,4.628m,"1,581.931m",
364,0+140.03,4.708m,"1,581.931m",
365,0+139.97,5.038m,"1,581.963m",
366,0+139.97,4.168m,"1,581.955m",
367,0+140.05,6.072m,"1,581.958m",
368,0+140.01,8.263m,"1,581.945m",
369,0+139.89,9.945m,"1,581.937m",
370,0+139.90,12.297m,"1,581.952m",
371,0+140.13,14.757m,"1,581.991m",
372,0+139.87,16.305m,"1,581.990m",
373,0+139.89,18.123m,"1,581.930m",
374,0+140.09,19.834m,"1,581.961m",
375,0+159.99,-20.068m,"1,581.829m",
376,0+159.76,-17.504m,"1,581.823m",
377,0+160.60,-14.800m,"1,581.827m",
378,0+160.21,-13.386m,"1,581.806m",
379,0+159.81,-9.701m,"1,581.792m",
380,0+159.91,-7.242m,"1,581.787m",
381,0+159.91,-3.997m,"1,581.794m",
382,0+159.97,-1.175m,"1,581.793m",
383,0+159.99,0.018m,"1,581.699m",
384,0+159.99,-0.561m,"1,581.854m",
385,0+159.99,0.599m,"1,581.668m",
386,0+160.03,1.100m,"1,581.716m",
387,0+160.05,1.475m,"1,581.830m",
388,0+159.99,1.969m,"1,581.870m",
389,0+160.06,2.451m,"1,581.811m",
390,0+159.79,4.655m,"1,581.783m",
391,0+159.85,6.001m,"1,581.795m",
392,0+159.91,7.709m,"1,581.808m",
393,0+159.88,9.543m,"1,581.797m",
394,0+159.89,11.615m,"1,581.799m",
395,0+159.91,14.029m,"1,581.778m",
396,0+160.00,17.104m,"1,581.805m",
397,0+160.05,20.027m,"1,581.788m",
398,0+180.06,-19.948m,"1,581.557m",
399,0+180.05,-17.951m,"1,581.634m",
400,0+179.96,-14.671m,"1,581.648m",
401,0+179.93,-13.157m,"1,581.645m",
402,0+179.94,-11.097m,"1,581.664m",
403,0+179.88,-9.121m,"1,581.633m",
404,0+179.76,-6.809m,"1,581.637m",
405,0+179.90,-5.210m,"1,581.627m",
406,0+179.90,-2.308m,"1,581.637m",
407,0+180.00,0.011m,"1,581.629m",
408,0+179.95,1.571m,"1,581.627m",
409,0+179.97,3.016m,"1,581.640m",
410,0+180.06,4.006m,"1,581.633m",
411,0+179.97,6.283m,"1,581.609m",
412,0+179.98,7.819m,"1,581.608m",
413,0+179.95,9.603m,"1,581.624m",
414,0+179.88,10.318m,"1,581.618m",
415,0+180.10,11.439m,"1,581.626m",
416,0+180.08,12.701m,"1,581.622m",
417,0+179.98,13.534m,"1,581.611m",
418,0+180.03,14.846m,"1,581.627m",
419,0+180.06,15.772m,"1,581.619m",
420,0+179.96,16.384m,"1,581.639m",
421,0+179.90,17.723m,"1,581.636m",
422,0+180.02,19.941m,"1,581.641m",
423,0+199.89,-19.926m,"1,581.456m",
424,0+199.99,-17.841m,"1,581.466m",
425,0+200.00,-16.054m,"1,581.462m",
426,0+199.93,-13.888m,"1,581.465m",
427,0+200.23,-11.371m,"1,581.475m",
428,0+199.78,-8.942m,"1,581.506m",
429,0+199.96,-6.194m,"1,581.489m",
430,0+199.86,-2.886m,"1,581.502m",
431,0+199.99,-1.435m,"1,581.486m",
432,0+199.99,0.005m,"1,581.476m",
433,0+200.03,0.978m,"1,581.478m",
434,0+199.97,2.002m,"1,581.486m",
435,0+200.01,3.795m,"1,581.488m",
436,0+200.05,6.028m,"1,581.508m",
437,0+199.93,7.462m,"1,581.476m",
438,0+199.97,9.441m,"1,581.480m",
439,0+200.01,11.484m,"1,581.490m",
440,0+200.06,13.372m,"1,581.483m",
441,0+200.04,15.481m,"1,581.504m",
442,0+200.02,17.173m,"1,581.531m",
443,0+200.03,18.774m,"1,581.833m",
444,0+200.08,19.946m,"1,581.541m",
445,0+220.03,-19.958m,"1,581.327m",
446,0+220.12,-17.855m,"1,581.316m",
447,0+219.87,-15.292m,"1,581.322m",
