No,Distance,L,L,L,L,L,L,L,L,CL,R,R,R,R,R,R,R,R,R,e
1.0,0.0,,,,,,0.03,0.02,0.0,0.0,0.0,4.62,6.38,9.95,10.24,10.73,12.21,,,0
,,,,,,,1063.589,1064.85,1064.85,1064.85,1064.85,1064.84,1065.28,1064.36,1064.352,1064.23,1063.861,,,0
2.0,20.0,,,,,,3.06,3.04,0.0,0.0,0.0,2.27,6.25,9.35,11.3,11.87,,,,0
,,,,,,,1062.35,1064.28,1064.36,1064.36,1064.36,1064.36,1064.27,1064.23,1063.995,1063.853,,,,0
3.0,31.73,,,,,,4.83,4.81,0.0,0.0,0.0,10.26,10.93,12.44,,,,,,0
,,,,,,,1062.891,1064.48,1064.31,1064.31,1064.31,1064.26,1064.094,1063.716,,,,,,0
4.0,40.0,,,,,11.55,9.18,6.56,0.0,0.0,0.0,5.79,10.06,12.04,,,,,,0
,,,,,,1063.553,1064.343,1064.37,1064.26,1064.26,1064.26,1064.21,1064.183,1063.525,,,,,,0
5.0,60.0,,,,,12.44,11.26,10.81,0.0,0.0,0.0,11.0,11.0,12.54,,,,,,0
,,,,,,1063.286,1063.682,1063.83,1064.07,1064.07,1064.07,1064.08,1064.08,1063.382,,,,,,0
6.0,80.0,,,,,12.88,12.19,10.09,0.0,0.0,0.0,12.17,12.19,,,,,,,0
,,,,,,1063.288,1063.52,1063.31,1063.71,1063.71,1063.71,1063.93,1063.927,,,,,,,0
7.0,100.0,,,,10.66,10.67,10.51,8.76,0.0,0.0,0.0,10.64,13.07,,,,,,,0
,,,,,1064.291,1064.29,1064.05,1064.12,1064.43,1064.43,1064.43,1064.42,1063.613,,,,,,,0
8.0,120.0,8.13,7.85,7.25,7.25,7.03,5.55,3.1,0.0,0.0,0.0,9.5,14.32,,,,,,,0
,,1066.095,1065.819,1065.819,1065.819,1065.87,1065.71,1064.96,1065.03,1065.03,1065.03,1065.177,1063.573,,,,,,,0
9.0,120.19,,,,,4.86,4.86,2.93,0.0,0.0,0.0,9.5,16.09,16.1,16.09,,,,,0
,,,,,,1065.891,1065.888,1064.96,1065.03,1065.03,1065.03,1065.2,1063.59,1063.59,1063.591,,,,,0
10.0,140.0,,,,2.77,2.79,2.77,1.97,0.0,0.0,0.0,2.68,10.03,10.59,,,,,,0
,,,,,1066.634,1066.63,1066.63,1066.52,1066.43,1066.43,1066.43,1065.41,1065.52,1065.381,,,,,,0
11.0,157.75,,,,0.08,0.01,0.01,0.01,0.0,0.0,0.0,2.59,4.13,10.61,11.23,12.12,,,,0
,,,,,1067.099,1067.03,1067.03,1067.03,1066.93,1066.93,1066.93,1066.58,1065.64,1065.47,1065.412,1065.115,,,,0
12.0,200.0,,,,,,0.01,0.01,0.0,0.0,0.0,1.66,4.19,10.41,11.03,11.02,11.88,,,0
,,,,,,,1067.79,1067.79,1067.67,1067.67,1067.67,1067.44,1066.27,1066.24,1066.17,1066.171,1065.885,,,0
13.0,240.0,,,,,,0.01,0.01,0.0,0.0,0.0,1.57,3.08,4.21,10.76,11.65,12.55,12.55,12.55,0
,,,,,,,1068.75,1068.75,1068.6,1068.6,1068.6,1068.31,1067.34,1067.0,1067.01,1066.92,1066.62,1066.62,1066.621,0
14.0,280.0,,,,,,0.01,0.01,0.0,0.0,0.0,1.51,4.06,11.04,11.64,12.87,,,,0
,,,,,,,1069.49,1069.49,1069.38,1069.38,1069.38,1069.19,1067.8,1067.77,1067.666,1067.254,,,,0
15.0,320.0,,,,,,0.01,0.01,0.0,0.0,0.0,1.48,3.57,10.74,11.92,12.02,12.39,,,0
,,,,,,,1070.4,1070.4,1070.28,1070.28,1070.28,1070.05,1068.83,1068.69,1068.48,1068.447,1068.326,,,0
16.0,360.0,,,,,,0.01,0.01,0.0,0.0,0.0,1.26,3.11,10.11,11.98,12.02,12.08,,,0
,,,,,,,1071.18,1071.18,1071.04,1071.04,1071.04,1070.95,1070.01,1069.64,1069.24,1069.227,1069.209,,,0
17.0,367.75,,,,,,0.01,0.01,0.0,0.0,0.0,2.38,3.33,4.68,9.94,11.53,11.52,11.97,,0
,,,,,,,1071.327,1071.328,1071.2,1071.2,1071.2,1070.61,1070.54,1069.83,1069.83,1069.54,1069.542,1069.393,,0
18.0,400.0,,,,,,0.01,0.01,0.0,0.0,0.0,3.04,3.9,8.37,10.16,10.37,10.37,10.37,,0
,,,,,,,1071.94,1071.94,1071.82,1071.82,1071.82,1070.92,1070.59,1070.59,1070.1,1070.15,1070.15,1070.15,,0
19.0,440.0,,,,,,0.01,0.01,0.0,0.0,0.0,1.99,3.64,7.79,8.84,8.85,9.18,,,0
,,,,,,,1072.84,1072.84,1072.74,1072.74,1072.74,1072.28,1071.44,1071.39,1071.08,1071.078,1070.966,,,0
20.0,457.74,,,,,,0.01,0.01,0.0,0.0,0.0,1.76,3.41,7.32,9.0,9.26,,,,0
,,,,,,,1073.16,1073.16,1073.12,1073.12,1073.12,1072.82,1071.86,1071.75,1071.195,1071.109,,,,0
