Station Offset to Points Report,,,,
,,,,
Client:,Prepared by:,,,
Client,Preparer,,,
Client Company,Your Company Name,,,
Address 1,123 Main Street,,,
Date: 7/10/2024 8:21:38 AM,,,,
,,,,
,,,,
Alignment Name: meydan-chadormalu,,,,
Description:,,,,
"Station Range: Start: -0+000.00, End: 0+170.44",,,,
,,,,
Point,Station,Offset,Elevation,Description
669,0+000.01,-15.000m,"1,318.834m",
670,0+000.01,-10.492m,"1,320.385m",
671,0+000.01,-9.632m,"1,320.732m",
672,0+000.00,-9.262m,"1,320.839m",
673,0+000.01,-8.382m,"1,320.964m",
674,0+000.01,-7.685m,"1,320.901m",
675,0+000.00,-6.211m,"1,320.848m",
676,0+000.01,-3.030m,"1,320.785m",
677,0+000.01,-0.001m,"1,320.774m",
678,0+000.02,3.675m,"1,320.766m",
679,0+000.04,5.735m,"1,320.726m",
680,0+000.07,9.940m,"1,320.732m",
681,0+000.03,13.362m,"1,320.673m",
682,0+000.03,14.024m,"1,320.687m",
683,0+000.03,14.993m,"1,320.664m",
684,0+009.96,-14.995m,"1,318.969m",
685,0+009.87,-12.153m,"1,318.776m",
686,0+009.96,-8.176m,"1,318.762m",
687,0+010.00,-6.902m,"1,318.991m",
688,0+010.02,-3.932m,"1,320.403m",
689,0+010.12,-1.849m,"1,320.873m",
690,0+010.00,0.002m,"1,320.819m",
691,0+010.00,-0.163m,"1,320.814m",
692,0+010.02,0.485m,"1,320.836m",
693,0+009.99,1.945m,"1,320.820m",
694,0+010.04,4.098m,"1,320.833m",
695,0+010.01,6.461m,"1,320.848m",
696,0+010.08,9.777m,"1,320.781m",
697,0+010.04,10.142m,"1,320.780m",
698,0+009.92,11.750m,"1,320.777m",
699,0+010.11,13.517m,"1,320.832m",
700,0+009.87,15.036m,"1,320.822m",
701,0+019.97,-14.823m,"1,319.445m",
702,0+020.08,-10.550m,"1,319.180m",
703,0+020.08,-7.258m,"1,318.998m",
704,0+020.03,-4.855m,"1,319.009m",
705,0+020.05,-3.537m,"1,319.204m",
706,0+020.04,-1.614m,"1,320.166m",
707,0+019.99,0.015m,"1,320.817m",
708,0+020.03,0.543m,"1,320.906m",
709,0+020.00,0.786m,"1,320.957m",
710,0+019.99,1.252m,"1,320.929m",
711,0+020.04,1.443m,"1,320.924m",
712,0+019.97,2.599m,"1,320.853m",
713,0+020.00,4.356m,"1,320.835m",
714,0+020.06,5.138m,"1,320.858m",
715,0+020.10,6.917m,"1,320.875m",
716,0+019.95,11.914m,"1,320.816m",
717,0+020.04,14.968m,"1,320.845m",
718,0+020.01,10.609m,"1,320.870m",
719,0+029.95,-14.854m,"1,319.745m",
720,0+030.04,-11.492m,"1,319.593m",
721,0+030.08,-8.140m,"1,319.366m",
722,0+030.07,-6.127m,"1,319.250m",
723,0+030.00,-3.622m,"1,319.342m",
724,0+030.01,-1.663m,"1,320.209m",
725,0+029.98,0.014m,"1,320.717m",
726,0+030.02,1.200m,"1,320.928m",
727,0+030.02,1.823m,"1,320.933m",
728,0+030.04,2.883m,"1,320.853m",
729,0+030.00,4.013m,"1,320.879m",
730,0+030.01,6.532m,"1,320.943m",
731,0+030.01,9.442m,"1,320.896m",
732,0+030.07,12.129m,"1,320.861m",
733,0+030.06,15.036m,"1,320.860m",
734,0+040.33,-14.195m,"1,319.979m",
735,0+040.18,-9.042m,"1,319.439m",
736,0+040.41,-6.185m,"1,319.341m",
737,0+040.11,-3.705m,"1,320.015m",
738,0+040.17,-1.306m,"1,320.895m",
739,0+040.00,0.002m,"1,321.162m",
740,0+039.97,1.174m,"1,320.996m",
741,0+039.95,3.288m,"1,320.973m",
742,0+040.00,5.964m,"1,320.995m",
743,0+040.03,8.721m,"1,320.975m",
744,0+040.19,12.478m,"1,320.946m",
745,0+040.04,15.178m,"1,320.830m",
746,0+040.06,10.872m,"1,320.964m",
747,0+049.95,-15.046m,"1,320.116m",
748,0+049.85,-11.972m,"1,319.450m",
749,0+049.91,-7.899m,"1,319.333m",
750,0+049.94,-4.414m,"1,320.665m",
751,0+050.24,-2.414m,"1,321.199m",
752,0+050.13,-1.513m,"1,321.103m",
753,0+050.08,-0.066m,"1,321.031m",
754,0+049.98,1.966m,"1,321.072m",
755,0+050.06,5.136m,"1,321.090m",
756,0+049.83,8.431m,"1,321.045m",
757,0+050.13,11.924m,"1,320.997m",
758,0+050.05,13.143m,"1,320.965m",
759,0+050.03,15.088m,"1,320.893m",
760,0+060.01,-15.009m,"1,319.980m",
761,0+059.91,-11.987m,"1,319.627m",
762,0+060.03,-8.454m,"1,320.199m",
763,0+059.89,-5.602m,"1,321.020m",
764,0+059.97,-4.591m,"1,321.350m",
765,0+060.04,-3.945m,"1,321.370m",
766,0+059.95,-3.051m,"1,321.387m",
767,0+060.00,0.059m,"1,321.340m",
768,0+059.99,2.076m,"1,321.384m",
769,0+059.89,3.697m,"1,321.359m",
770,0+060.04,6.111m,"1,321.361m",
771,0+059.95,10.057m,"1,321.380m",
772,0+060.05,13.337m,"1,321.336m",
773,0+060.02,15.157m,"1,320.963m",
774,0+069.96,-14.957m,"1,320.061m",
775,0+069.97,-11.575m,"1,320.019m",
776,0+069.82,-8.056m,"1,321.108m",
777,0+070.05,-6.269m,"1,321.451m",
778,0+069.97,-4.812m,"1,321.414m",
779,0+070.08,-3.456m,"1,321.375m",
780,0+070.01,0.066m,"1,321.349m",
781,0+069.97,2.450m,"1,321.343m",
782,0+069.97,4.871m,"1,321.319m",
783,0+069.94,5.867m,"1,321.285m",
784,0+070.01,8.005m,"1,321.283m",
785,0+069.95,11.456m,"1,321.180m",
786,0+070.02,14.840m,"1,321.014m",
787,0+079.89,-14.941m,"1,320.067m",
788,0+080.13,-10.862m,"1,321.060m",
789,0+080.03,-8.829m,"1,321.532m",
790,0+080.04,-7.878m,"1,321.551m",
791,0+080.04,-6.476m,"1,321.517m",
792,0+080.02,-4.169m,"1,321.504m",
793,0+080.08,-1.769m,"1,321.531m",
794,0+080.08,-0.095m,"1,321.474m",
795,0+079.98,3.069m,"1,321.426m",
796,0+080.31,4.164m,"1,321.428m",
797,0+080.18,8.504m,"1,321.373m",
798,0+080.01,11.213m,"1,321.186m",
799,0+080.13,14.791m,"1,321.066m",
800,0+089.90,-15.317m,"1,320.221m",
801,0+090.08,-10.742m,"1,321.630m",
802,0+090.15,-9.926m,"1,321.725m",
803,0+089.84,-8.668m,"1,321.703m",
804,0+089.95,-7.805m,"1,321.670m",
805,0+090.39,-6.118m,"1,321.661m",
806,0+090.05,-2.192m,"1,321.675m",
807,0+090.01,0.738m,"1,321.618m",
808,0+090.01,0.013m,"1,321.608m",
809,0+089.99,2.311m,"1,321.597m",
810,0+090.05,3.569m,"1,321.507m",
811,0+090.01,6.080m,"1,321.501m",
812,0+089.99,7.972m,"1,321.408m",
813,0+089.89,12.031m,"1,321.158m",
814,0+090.03,14.892m,"1,321.160m",
815,0+099.99,-15.029m,"1,320.978m",
816,0+099.96,-12.517m,"1,321.714m",
817,0+099.88,-12.057m,"1,321.825m",
818,0+099.95,-11.394m,"1,321.899m",
819,0+099.98,-10.996m,"1,321.854m",
820,0+099.98,-9.365m,"1,321.826m",
821,0+100.02,-7.998m,"1,321.856m",
822,0+099.99,-6.808m,"1,321.881m",
823,0+100.04,-5.705m,"1,321.879m",
824,0+099.91,-3.571m,"1,321.837m",
825,0+100.03,-1.540m,"1,321.821m",
826,0+100.00,-0.020m,"1,321.831m",
827,0+100.01,0.663m,"1,321.775m",
828,0+100.02,4.410m,"1,321.630m",
829,0+100.05,8.796m,"1,321.335m",
830,0+100.02,12.674m,"1,321.191m",
831,0+100.05,13.204m,"1,321.193m",
832,0+099.99,15.053m,"1,321.349m",
833,0+110.21,-14.877m,"1,321.778m",
834,0+109.94,-13.177m,"1,322.098m",
835,0+109.90,-11.754m,"1,322.010m",
836,0+110.02,-11.039m,"1,321.980m",
837,0+110.01,-9.579m,"1,322.020m",
838,0+109.79,-7.023m,"1,322.062m",
839,0+109.87,-3.781m,"1,322.029m",
840,0+109.97,-1.251m,"1,321.961m",
841,0+110.04,0.069m,"1,321.926m",
842,0+110.09,2.099m,"1,321.792m",
843,0+110.10,4.093m,"1,321.677m",
844,0+110.22,7.300m,"1,321.553m",
845,0+109.93,10.958m,"1,321.336m",
846,0+109.96,13.273m,"1,321.562m",
847,0+110.15,15.308m,"1,321.420m",
848,0+110.01,-1.390m,"1,321.964m",
849,0+110.01,1.327m,"1,321.836m",
850,0+120.11,-14.929m,"1,322.263m",
851,0+120.05,-12.850m,"1,322.248m",
852,0+119.97,-11.631m,"1,322.256m",
853,0+120.14,-9.951m,"1,322.255m",
854,0+120.05,-6.878m,"1,322.201m",
855,0+120.18,-5.064m,"1,322.244m",
856,0+120.02,-3.282m,"1,322.151m",
857,0+120.01,0.014m,"1,322.008m",
858,0+119.98,2.393m,"1,321.925m",
859,0+120.04,3.585m,"1,321.895m",
860,0+120.05,6.053m,"1,321.772m",
861,0+120.02,7.794m,"1,321.683m",
862,0+120.03,9.579m,"1,321.596m",
863,0+120.04,12.312m,"1,321.732m",
864,0+119.97,15.153m,"1,321.621m",
865,0+130.08,-14.930m,"1,322.380m",
866,0+129.95,-14.081m,"1,322.394m",
867,0+129.86,-12.447m,"1,322.374m",
868,0+129.95,-10.029m,"1,322.422m",
869,0+130.00,-8.199m,"1,322.414m",
870,0+130.16,-5.340m,"1,322.364m",
871,0+130.04,-1.996m,"1,322.225m",
872,0+130.04,0.035m,"1,322.126m",
873,0+129.97,2.525m,"1,322.059m",
874,0+129.98,4.414m,"1,321.977m",
875,0+130.12,6.917m,"1,321.813m",
876,0+129.86,7.829m,"1,321.688m",
877,0+130.03,10.653m,"1,321.946m",
878,0+129.94,14.995m,"1,321.408m",
879,0+139.95,-14.986m,"1,322.541m",
880,0+140.08,-12.978m,"1,322.557m",
881,0+139.94,-10.403m,"1,322.585m",
882,0+139.96,-7.899m,"1,322.536m",
883,0+139.99,-6.687m,"1,322.502m",
884,0+139.91,-2.815m,"1,322.357m",
885,0+139.95,0.029m,"1,322.252m",
886,0+139.96,3.461m,"1,322.141m",
887,0+139.98,5.966m,"1,322.031m",
888,0+140.04,6.534m,"1,321.866m",
889,0+140.12,8.060m,"1,322.048m",
890,0+140.01,9.230m,"1,322.199m",
891,0+139.84,9.580m,"1,322.132m",
892,0+140.21,11.472m,"1,321.258m",
893,0+140.03,14.969m,"1,318.889m",
894,0+150.05,-14.854m,"1,322.708m",
895,0+150.11,-11.795m,"1,322.728m",
896,0+149.96,-8.835m,"1,322.730m",
897,0+149.97,-7.577m,"1,322.762m",
898,0+150.17,-5.757m,"1,322.638m",
899,0+150.13,-3.392m,"1,322.520m",
900,0+150.05,-1.177m,"1,322.442m",
901,0+150.01,0.005m,"1,322.409m",
902,0+150.02,2.366m,"1,322.348m",
903,0+149.97,4.832m,"1,322.288m",
904,0+150.08,5.983m,"1,322.314m",
905,0+150.08,7.522m,"1,322.508m",
906,0+150.05,8.724m,"1,322.458m",
907,0+150.01,10.940m,"1,321.717m",
908,0+150.09,14.396m,"1,319.749m",
909,0+149.98,15.044m,"1,319.389m",
910,0+160.12,-15.067m,"1,322.905m",
911,0+160.09,-11.851m,"1,322.921m",
912,0+159.94,-9.462m,"1,322.926m",
913,0+160.09,-8.230m,"1,322.937m",
914,0+160.29,-6.921m,"1,322.842m",
915,0+160.08,-4.185m,"1,322.721m",
916,0+160.00,-1.694m,"1,322.655m",
917,0+160.09,-0.002m,"1,322.654m",
918,0+160.11,2.233m,"1,322.631m",
919,0+160.00,4.044m,"1,322.564m",
920,0+160.13,5.544m,"1,322.760m",
921,0+160.00,6.683m,"1,322.942m",
922,0+159.99,7.350m,"1,322.998m",
923,0+160.02,8.287m,"1,322.795m",
924,0+160.10,10.807m,"1,322.087m",
925,0+160.00,14.993m,"1,319.601m",
926,0+169.99,-14.989m,"1,323.033m",
927,0+170.00,-11.602m,"1,323.071m",
928,0+169.98,-9.812m,"1,323.061m",
929,0+170.02,-8.552m,"1,323.039m",
930,0+169.99,-5.810m,"1,322.929m",
931,0+170.00,-3.586m,"1,322.856m",
932,0+169.99,-6.784m,"1,322.973m",
933,0+170.00,-0.002m,"1,322.899m",
934,0+170.00,3.597m,"1,322.880m",
935,0+170.00,6.094m,"1,323.241m",
936,0+170.00,6.718m,"1,323.262m",
937,0+169.99,7.205m,"1,323.148m",
938,0+169.97,10.436m,"1,321.009m",
939,0+169.98,13.073m,"1,319.377m",
940,0+170.02,14.978m,"1,319.050m",
941,0+170.43,-15.006m,"1,322.993m",
942,0+170.43,-11.601m,"1,323.034m",
943,0+170.43,-9.845m,"1,323.068m",
944,0+170.43,-8.579m,"1,323.045m",
945,0+170.43,-6.800m,"1,323.004m",
946,0+170.43,-5.800m,"1,322.949m",
947,0+170.44,-3.600m,"1,322.874m",
948,0+170.44,0.000m,"1,322.908m",
949,0+170.43,3.599m,"1,322.887m",
950,0+170.44,6.100m,"1,323.205m",
952,0+170.43,6.727m,"1,323.266m",
953,0+170.43,7.215m,"1,323.111m",
954,0+170.43,10.433m,"1,320.948m",
955,0+170.42,12.992m,"1,319.388m",
956,0+170.42,14.994m,"1,319.064m",
,,,,
Out of Range: The Point is not adjacent to alignment.,,,,
