Icon,Name,Start Time,Grid Northing (m),Grid Easting (m),Elevation (m),Code,Solution Type,PP Correction Status,Control,Note,Photo Notes,Layer,Source,Std Dev n (m),Std Dev e (m),Std Dev u (m),Std Dev Hz (m),Color,Point Symbol,Antenna Type,Antenna Height (m),Ant Height Method,Stop Time,Duration,GPS Satellites,GLONASS Satellites,PDOP,HDOP,VDOP,Geoid Separation (m),Weighted residual n (m),Weighted residual e (m),Weighted residual u (m)
 ,20240720105450 2024-07-20 10:59:44.370623800 AM,7/20/2024 10:59,3490767.582,219899.317,2558.993,USER,Fixed,Corrected,None,1, ,BYCODE(0), ,0.012,0.012,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.616,0.705,1.454, , , , 
 ,20240720105450 2024-07-20 11:01:47.569546200 AM,7/20/2024 11:01,3490654.013,219862.046,2669.828,USER,Fixed,Corrected,None,10, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.512,0.677,1.352, , , , 
 ,20240720105450 2024-07-20 11:01:43.559980600 AM,7/20/2024 11:01,3490689.44,219843.175,2669.271,USER,Fixed,Corrected,None,8, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.513,0.677,1.353, , , , 
 ,20240720105450 2024-07-20 11:01:49.560988700 AM,7/20/2024 11:01,3490636.606,219871.415,2669.61,USER,Fixed,Corrected,None,11, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.512,0.677,1.352, , , , 
 ,20240720105450 2024-07-20 11:01:45.546857400 AM,7/20/2024 11:01,3490671.808,219852.508,2669.577,USER,Fixed,Corrected,None,9, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.513,0.677,1.353, , , , 
 ,20240720105450 2024-07-20 11:01:51.546331900 AM,7/20/2024 11:01,3490619.078,219880.67,2669.587,USER,Fixed,Corrected,None,12, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.512,0.677,1.352, , , , 
 ,20240720105450 2024-07-20 11:01:53.573261500 AM,7/20/2024 11:01,3490601.21,219890.24,2669.521,USER,Fixed,Corrected,None,13, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.512,0.677,1.352, , , , 
 ,20240720105450 2024-07-20 11:01:26.732125300 AM,7/20/2024 11:01,3490785.868,219793.322,2670.38,USER,Fixed,Corrected,None,2, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.514,0.677,1.355, , , , 
 ,20240720105450 2024-07-20 11:01:30.462867000 AM,7/20/2024 11:01,3490765.921,219802.957,2670.093,USER,Fixed,Corrected,None,3, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.514,0.677,1.354, , , , 
 ,20240720105450 2024-07-20 11:01:35.877461200 AM,7/20/2024 11:01,3490744.375,219814.049,2669.813,USER,Fixed,Corrected,None,5, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.513,0.677,1.354, , , , 
 ,20240720105450 2024-07-20 11:01:39.570827200 AM,7/20/2024 11:01,3490724.652,219824.399,2669.855,USER,Fixed,Corrected,None,6, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.513,0.677,1.353, , , , 
 ,20240720105450 2024-07-20 11:01:32.785406400 AM,7/20/2024 11:01,3490748.876,219811.845,2669.561,USER,Fixed,Corrected,None,4, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.514,0.677,1.354, , , , 
 ,20240720105450 2024-07-20 11:01:41.556132300 AM,7/20/2024 11:01,3490707.051,219833.737,2669.479,USER,Fixed,Corrected,None,7, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.513,0.677,1.353, , , , 
 ,20240720105450 2024-07-20 11:01:59.549350000 AM,7/20/2024 11:01:60 AM,3490548.375,219918.286,2669.676,USER,Fixed,Corrected,None,16, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.511,0.677,1.351, , , , 
