Station Offset to Points Report,,,,
,,,,
Client:,Prepared by:,,,
Client,Preparer,,,
Client Company,Your Company Name,,,
Address 1,123 Main Street,,,
Date: 7/9/2024 1:03:22 PM,,,,
,,,,
,,,,
Alignment Name: massir baskol,,,,
Description:,,,,
"Station Range: Start: -0+000.00, End: 1+416.34",,,,
,,,,
Point,Station,Offset,Elevation,Description
2,0,-15.015m,0.000m,
3,0,-13.421m,0.000m,
4,0+000.00,0.000m,0.000m,
5,0+000.00,15.039m,0.000m,
6,0+020.11,18.982m,"1,325.261m",
7,0+019.90,15.031m,"1,324.316m",
8,0+020.07,12.194m,"1,323.945m",
9,0+019.93,9.126m,"1,323.883m",
10,0+019.95,0.060m,"1,323.771m",
11,0+019.99,-15.065m,"1,323.771m",
12,0+039.96,15.105m,"1,326.026m",
13,0+039.98,10.529m,"1,325.879m",
14,0+039.99,8.001m,"1,325.803m",
15,0+039.97,4.728m,"1,325.706m",
16,0+039.97,0.055m,"1,325.277m",
17,0+039.97,-14.998m,"1,324.701m",
18,0+059.95,15.110m,"1,326.454m",
19,0+060.02,9.581m,"1,326.445m",
20,0+059.92,7.884m,"1,326.433m",
21,0+059.99,0.062m,"1,326.166m",
22,0+060.02,-6.288m,"1,325.971m",
23,0+059.97,-14.953m,"1,325.097m",
24,0+060.03,-11.401m,"1,325.661m",
25,0+071.51,19.636m,"1,327.120m",
26,0+070.05,8.953m,"1,326.658m",
27,0+069.78,3.168m,"1,326.490m",
28,0+069.73,1.462m,"1,326.460m",
29,0+069.63,0.082m,"1,326.402m",
30,0+069.36,-1.980m,"1,326.183m",
31,0+069.28,-4.332m,"1,325.584m",
32,0+069.63,-8.982m,"1,324.709m",
33,0+069.90,-9.742m,"1,324.543m",
34,0+069.89,-11.360m,"1,324.233m",
35,0+070.05,-11.810m,"1,324.264m",
36,0+069.42,-14.678m,"1,324.806m",
37,0+069.14,-16.854m,"1,324.576m",
38,0+068.77,-18.792m,"1,324.596m",
39,0+079.88,15.106m,"1,327.017m",
40,0+079.95,8.233m,"1,326.289m",
41,0+079.93,6.850m,"1,325.425m",
42,0+079.91,4.429m,"1,325.214m",
43,0+079.96,0.116m,"1,325.274m",
44,0+079.90,-4.426m,"1,325.313m",
45,0+079.96,-7.702m,"1,325.277m",
46,0+079.88,-10.791m,"1,325.193m",
47,0+079.89,-14.850m,"1,325.020m",
48,0+079.92,-16.372m,"1,325.176m",
49,0+079.87,-18.262m,"1,325.716m",
50,0+079.66,-20.659m,"1,326.757m",
51,0+079.81,-21.767m,"1,329.331m",
52,0+080.06,-23.498m,"1,329.642m",
53,0+094.87,0.025m,"1,325.977m",
54,0+094.68,-2.560m,"1,326.232m",
55,0+094.32,-6.962m,"1,328.128m",
56,0+093.67,-10.692m,"1,328.692m",
57,0+094.29,-12.446m,"1,330.649m",
58,0+094.28,-13.795m,"1,331.505m",
59,0+094.35,-13.297m,"1,331.385m",
60,0+094.07,-16.560m,"1,330.268m",
61,0+093.64,-20.252m,"1,330.283m",
62,0+094.53,1.726m,"1,325.741m",
63,0+094.36,3.149m,"1,325.603m",
64,0+094.04,5.634m,"1,325.944m",
65,0+093.44,10.697m,"1,325.976m",
66,0+093.28,12.649m,"1,326.175m",
67,0+092.88,16.109m,"1,326.009m",
68,0+092.48,18.877m,"1,326.200m",
69,0+091.92,21.687m,"1,326.148m",
70,0+091.59,24.043m,"1,325.821m",
71,0+100.00,18.261m,"1,326.286m",
72,0+099.95,16.686m,"1,326.209m",
73,0+100.06,16.068m,"1,326.162m",
74,0+099.94,15.405m,"1,326.230m",
75,0+100.00,14.808m,"1,326.264m",
76,0+099.89,12.952m,"1,326.165m",
77,0+100.01,10.638m,"1,326.286m",
78,0+099.99,8.548m,"1,326.016m",
79,0+099.93,0.039m,"1,327.492m",
80,0+099.90,-4.050m,"1,328.373m",
81,0+099.97,-7.221m,"1,328.694m",
82,0+099.95,-10.159m,"1,331.105m",
83,0+099.99,-11.088m,"1,331.212m",
84,0+099.95,-11.885m,"1,330.998m",
85,0+100.03,-12.724m,"1,330.769m",
86,0+099.99,-14.945m,"1,330.743m",
87,0+120.07,15.124m,"1,329.274m",
88,0+119.96,10.729m,"1,329.291m",
89,0+119.92,8.596m,"1,329.198m",
90,0+120.09,6.281m,"1,329.709m",
91,0+119.92,4.779m,"1,329.359m",
92,0+119.96,0.152m,"1,330.272m",
93,0+119.92,-2.251m,"1,331.292m",
94,0+119.97,-4.604m,"1,330.816m",
95,0+120.03,-7.496m,"1,330.763m",
96,0+120.01,-8.897m,"1,331.048m",
97,0+119.97,-11.634m,"1,331.173m",
98,0+119.97,-12.572m,"1,331.037m",
99,0+119.88,-14.898m,"1,330.893m",
100,0+119.79,-18.161m,"1,330.672m",
101,0+139.74,18.072m,"1,331.846m",
102,0+140.01,15.169m,"1,332.619m",
103,0+140.00,14.209m,"1,332.497m",
104,0+139.99,-0.000m,"1,331.989m",
105,0+139.97,-7.176m,"1,331.788m",
106,0+139.95,-8.424m,"1,331.857m",
107,0+139.96,-10.208m,"1,331.690m",
108,0+139.99,-11.458m,"1,331.475m",
109,0+139.99,-12.884m,"1,331.285m",
110,0+139.96,-14.864m,"1,331.321m",
111,0+139.86,-17.156m,"1,331.230m",
112,0+158.96,22.278m,"1,333.509m",
113,0+159.14,20.704m,"1,333.453m",
114,0+159.24,18.532m,"1,333.978m",
115,0+159.55,16.271m,"1,333.152m",
116,0+159.99,14.786m,"1,332.799m",
117,0+159.96,9.049m,"1,332.433m",
118,0+160.01,0.012m,"1,332.063m",
119,0+159.97,5.842m,"1,332.263m",
120,0+159.99,-5.193m,"1,331.870m",
121,0+159.97,-14.897m,"1,331.502m",
122,0+159.93,-17.891m,"1,331.438m",
123,0+169.54,23.771m,"1,333.300m",
124,0+169.44,19.962m,"1,332.999m",
125,0+169.81,19.125m,"1,333.006m",
126,0+169.78,16.828m,"1,333.132m",
127,0+169.60,14.767m,"1,333.436m",
128,0+169.74,10.424m,"1,334.440m",
129,0+169.91,6.836m,"1,334.528m",
130,0+170.07,6.089m,"1,334.073m",
131,0+170.29,5.193m,"1,333.174m",
132,0+170.61,0.028m,"1,332.162m",
133,0+170.10,-6.997m,"1,332.005m",
134,0+170.21,-11.947m,"1,331.925m",
135,0+170.33,-16.019m,"1,331.790m",
136,0+170.45,-17.665m,"1,331.848m",
137,0+170.94,-20.483m,"1,336.118m",
138,0+170.94,-19.451m,"1,333.051m",
139,0+170.68,-22.971m,"1,335.783m",
142,0+174.19,23.501m,"1,333.360m",
143,0+174.17,21.590m,"1,333.288m",
144,0+174.24,21.115m,"1,333.237m",
145,0+174.22,19.857m,"1,333.471m",
146,0+174.18,17.920m,"1,333.638m",
147,0+174.21,14.879m,"1,335.501m",
148,0+174.18,13.596m,"1,336.263m",
149,0+174.26,12.393m,"1,336.935m",
150,0+174.21,11.159m,"1,337.287m",
151,0+174.24,10.582m,"1,337.521m",
152,0+174.26,10.055m,"1,337.523m",
153,0+174.23,9.023m,"1,338.203m",
154,0+174.28,7.919m,"1,333.651m",
155,0+174.28,6.662m,"1,332.676m",
156,0+174.34,4.050m,"1,332.238m",
157,0+174.23,0.099m,"1,332.247m",
158,0+174.27,-4.373m,"1,332.234m",
159,0+174.35,-6.934m,"1,332.229m",
160,0+174.28,-9.400m,"1,332.624m",
161,0+174.35,-11.660m,"1,332.765m",
162,0+174.20,-13.476m,"1,332.672m",
163,0+174.34,-14.325m,"1,332.742m",
164,0+174.28,-17.646m,"1,336.300m",
165,0+174.45,-23.873m,"1,335.799m",
166,0+174.35,-20.408m,"1,336.106m",
167,0+179.02,-23.441m,"1,336.073m",
168,0+179.06,-18.648m,"1,336.540m",
169,0+178.96,-15.403m,"1,336.489m",
170,0+178.96,-13.454m,"1,336.788m",
171,0+178.98,-11.017m,"1,336.903m",
172,0+179.06,-8.983m,"1,337.087m",
173,0+178.99,-6.388m,"1,337.347m",
174,0+178.98,-4.357m,"1,336.164m",
175,0+178.92,-2.126m,"1,333.540m",
176,0+178.99,0.069m,"1,333.438m",
177,0+179.04,0.965m,"1,333.399m",
178,0+178.91,3.030m,"1,333.300m",
179,0+178.89,4.369m,"1,333.407m",
180,0+178.97,5.307m,"1,338.372m",
181,0+179.03,7.827m,"1,338.368m",
182,0+178.89,11.029m,"1,338.390m",
183,0+178.92,14.238m,"1,338.582m",
184,0+178.90,16.430m,"1,339.115m",
185,0+178.92,18.837m,"1,334.499m",
186,0+179.07,20.833m,"1,333.661m",
187,0+179.04,21.603m,"1,333.559m",
188,0+179.08,22.661m,"1,333.676m",
189,0+180.17,20.069m,"1,334.191m",
190,0+180.12,17.528m,"1,338.023m",
191,0+180.07,16.520m,"1,339.188m",
192,0+179.98,14.957m,"1,338.691m",
193,0+179.95,9.224m,"1,338.372m",
194,0+180.02,6.487m,"1,338.396m",
195,0+180.01,3.721m,"1,338.637m",
196,0+179.99,0.176m,"1,338.362m",
197,0+179.92,-2.568m,"1,338.251m",
198,0+179.98,-5.230m,"1,338.129m",
199,0+179.99,-8.372m,"1,337.157m",
200,0+179.96,-11.289m,"1,336.950m",
201,0+180.02,-13.901m,"1,336.852m",
202,0+179.99,-14.933m,"1,336.653m",
203,0+180.07,-17.293m,"1,336.756m",
204,0+199.93,14.920m,"1,339.584m",
205,0+199.91,11.469m,"1,340.471m",
206,0+200.04,9.269m,"1,340.223m",
207,0+199.92,8.115m,"1,339.787m",
208,0+199.99,5.657m,"1,339.215m",
209,0+200.05,0.069m,"1,339.038m",
210,0+200.03,-4.276m,"1,338.863m",
211,0+200.03,-9.931m,"1,338.670m",
212,0+199.94,-14.758m,"1,337.189m",
213,0+219.91,14.966m,"1,340.226m",
214,0+219.96,14.000m,"1,339.691m",
215,0+219.90,7.625m,"1,339.407m",
216,0+219.97,0.117m,"1,339.003m",
217,0+219.91,-4.623m,"1,338.691m",
218,0+219.98,-7.991m,"1,338.187m",
219,0+219.89,-14.875m,"1,337.874m",
220,0+219.96,-10.681m,"1,338.013m",
221,0+240.23,17.294m,"1,340.014m",
222,0+239.96,15.126m,"1,340.524m",
223,0+239.98,13.113m,"1,340.894m",
224,0+239.94,10.210m,"1,339.805m",
225,0+240.05,0.131m,"1,339.352m",
226,0+239.90,-7.138m,"1,339.107m",
227,0+239.96,-12.178m,"1,339.070m",
228,0+239.90,-14.968m,"1,339.077m",
229,0+259.90,14.931m,"1,340.922m",
230,0+259.94,0.097m,"1,340.693m",
231,0+260.03,-9.143m,"1,340.643m",
232,0+259.98,-10.168m,"1,340.775m",
233,0+259.90,-11.128m,"1,340.549m",
234,0+259.95,-14.785m,"1,340.416m",
235,0+279.97,15.261m,"1,342.127m",
236,0+279.97,12.359m,"1,342.136m",
237,0+279.86,7.876m,"1,342.095m",
238,0+280.01,-0.015m,"1,342.133m",
239,0+279.95,-7.725m,"1,342.235m",
240,0+280.06,-8.901m,"1,342.237m",
241,0+279.97,-13.766m,"1,341.803m",
242,0+279.91,-14.995m,"1,340.933m",
243,0+280.24,-25.621m,"1,333.867m",
244,0+299.90,14.982m,"1,343.698m",
245,0+299.98,11.540m,"1,343.393m",
246,0+299.99,6.683m,"1,343.320m",
247,0+300.01,-0.116m,"1,343.356m",
248,0+300.02,-8.372m,"1,343.376m",
249,0+300.07,-9.757m,"1,343.466m",
250,0+300.02,-14.871m,"1,343.253m",
251,0+299.70,-25.641m,"1,336.375m",
252,0+299.71,-29.527m,"1,334.278m",
253,0+319.77,14.929m,"1,343.886m",
254,0+319.87,0.140m,"1,344.462m",
255,0+319.95,-10.733m,"1,344.583m",
256,0+319.95,-14.935m,"1,343.902m",
257,0+320.04,-29.588m,"1,335.850m",
258,0+340.02,15.081m,"1,343.807m",
259,0+340.03,13.989m,"1,344.603m",
260,0+340.00,11.408m,"1,344.589m",
261,0+339.95,8.228m,"1,345.124m",
262,0+339.94,0.059m,"1,345.566m",
263,0+340.03,-9.445m,"1,345.659m",
264,0+339.92,-12.145m,"1,345.602m",
265,0+339.92,-14.602m,"1,345.438m",
266,0+339.71,-16.460m,"1,345.264m",
267,0+339.62,-18.345m,"1,344.498m",
268,0+359.94,14.504m,"1,346.688m",
269,0+359.96,8.772m,"1,346.461m",
270,0+360.04,7.121m,"1,346.402m",
271,0+359.98,6.833m,"1,346.380m",
272,0+360.01,6.144m,"1,346.444m",
273,0+359.95,-0.020m,"1,346.897m",
274,0+359.97,-2.162m,"1,346.821m",
275,0+359.83,-8.326m,"1,346.701m",
276,0+359.85,-9.299m,"1,346.871m",
277,0+360.04,-12.712m,"1,346.809m",
278,0+359.91,-15.038m,"1,346.756m",
279,0+360.06,-16.691m,"1,346.615m",
280,0+360.06,-18.309m,"1,346.894m",
281,0+359.44,-21.662m,"1,344.447m",
282,0+379.90,15.007m,"1,348.018m",
283,0+380.04,6.679m,"1,347.843m",
284,0+379.96,0.015m,"1,347.880m",
285,0+380.06,-1.727m,"1,348.098m",
286,0+380.09,-1.289m,"1,348.018m",
287,0+379.96,-3.042m,"1,347.893m",
288,0+380.00,-9.246m,"1,347.694m",
289,0+380.06,-10.426m,"1,347.869m",
290,0+379.96,-12.123m,"1,347.663m",
291,0+379.99,-14.888m,"1,347.607m",
292,0+380.00,-13.595m,"1,347.759m",
293,0+379.73,-18.610m,"1,347.427m",
294,0+379.56,-20.353m,"1,347.513m",
295,0+378.82,-34.267m,"1,338.053m",
296,0+400.33,22.486m,"1,349.158m",
297,0+399.87,15.115m,"1,348.918m",
298,0+399.87,6.237m,"1,348.724m",
299,0+400.01,-0.134m,"1,348.910m",
300,0+399.97,-1.267m,"1,348.966m",
301,0+399.95,-2.099m,"1,349.056m",
302,0+399.98,-3.558m,"1,348.899m",
303,0+400.00,-10.473m,"1,348.786m",
304,0+399.97,-13.338m,"1,348.637m",
305,0+399.95,-12.064m,"1,348.560m",
306,0+399.95,-15.071m,"1,348.548m",
307,0+399.74,-21.668m,"1,348.576m",
308,0+399.83,-20.403m,"1,348.398m",
309,0+399.72,-17.574m,"1,348.517m",
310,0+419.84,17.657m,"1,349.692m",
311,0+420.00,10.386m,"1,349.651m",
312,0+420.05,4.711m,"1,349.720m",
313,0+419.97,0.103m,"1,349.804m",
314,0+419.91,-3.067m,"1,349.688m",
315,0+420.00,-1.898m,"1,349.890m",
316,0+419.88,-1.066m,"1,349.805m",
317,0+419.90,-9.855m,"1,349.623m",
318,0+419.82,-12.170m,"1,349.512m",
319,0+419.88,-13.732m,"1,349.487m",
320,0+419.90,-18.554m,"1,349.517m",
321,0+419.69,-22.094m,"1,349.448m",
322,0+439.96,14.834m,"1,350.415m",
323,0+440.06,9.360m,"1,350.433m",
324,0+440.10,0.188m,"1,350.675m",
325,0+439.96,-3.167m,"1,350.585m",
326,0+439.83,-6.036m,"1,350.416m",
327,0+440.06,-10.212m,"1,350.709m",
328,0+439.82,-12.622m,"1,350.540m",
329,0+439.95,-14.767m,"1,350.473m",
330,0+439.96,-19.296m,"1,350.210m",
331,0+459.89,14.957m,"1,351.146m",
332,0+459.85,11.207m,"1,351.246m",
333,0+459.95,7.305m,"1,351.359m",
334,0+460.03,4.031m,"1,351.454m",
335,0+459.95,0.424m,"1,351.562m",
336,0+459.95,-2.681m,"1,351.579m",
337,0+459.82,-9.665m,"1,351.581m",
338,0+459.95,-14.497m,"1,351.562m",
339,0+460.05,-19.373m,"1,351.437m",
340,0+479.75,14.700m,"1,353.961m",
341,0+479.98,7.080m,"1,353.174m",
342,0+479.80,-0.088m,"1,352.471m",
343,0+479.76,-9.702m,"1,352.643m",
344,0+479.86,-9.076m,"1,352.515m",
345,0+479.92,-14.920m,"1,352.587m",
346,0+480.03,-19.608m,"1,352.375m",
347,0+499.97,14.870m,"1,353.304m",
348,0+499.93,0.033m,"1,353.246m",
349,0+499.93,-8.713m,"1,353.341m",
350,0+500.04,-14.583m,"1,353.414m",
351,0+499.95,-17.931m,"1,353.427m",
352,0+519.89,14.911m,"1,353.919m",
353,0+520.02,11.194m,"1,353.776m",
354,0+519.90,8.510m,"1,353.842m",
355,0+519.89,4.882m,"1,354.011m",
356,0+520.00,-0.107m,"1,354.277m",
357,0+519.92,-1.634m,"1,354.237m",
358,0+519.97,-9.235m,"1,354.208m",
359,0+519.86,-14.876m,"1,354.036m",
360,0+519.40,-20.782m,"1,353.773m",
361,0+538.87,14.535m,"1,354.837m",
362,0+538.97,7.672m,"1,354.812m",
363,0+538.81,3.075m,"1,354.975m",
364,0+538.75,0.000m,"1,355.170m",
365,0+538.73,-3.389m,"1,354.953m",
366,0+538.45,-8.101m,"1,354.965m",
367,0+539.08,-11.900m,"1,354.946m",
368,0+538.80,-15.082m,"1,354.863m",
369,0+560.05,15.051m,"1,356.036m",
370,0+559.99,9.044m,"1,355.995m",
371,0+559.92,3.967m,"1,356.107m",
372,0+559.96,-0.008m,"1,356.148m",
373,0+560.05,1.351m,"1,356.315m",
374,0+559.83,2.422m,"1,356.120m",
375,0+538.56,1.068m,"1,355.035m",
376,0+559.97,-7.416m,"1,356.000m",
377,0+559.93,-9.733m,"1,355.973m",
378,0+559.92,-14.724m,"1,355.847m",
379,0+560.03,-16.897m,"1,355.898m",
380,0+560.13,-24.805m,"1,350.563m",
381,0+579.95,15.046m,"1,356.844m",
382,0+579.84,9.437m,"1,356.862m",
383,0+580.02,1.805m,"1,356.882m",
384,0+579.89,0.939m,"1,357.051m",
385,0+580.02,0.000m,"1,356.951m",
386,0+579.98,-4.238m,"1,356.977m",
387,0+579.94,-5.496m,"1,356.950m",
388,0+580.02,-8.209m,"1,357.072m",
389,0+579.85,-14.932m,"1,356.747m",
390,0+579.87,-19.016m,"1,356.521m",
391,0+599.90,15.105m,"1,357.691m",
392,0+599.94,9.782m,"1,357.757m",
393,0+599.96,8.191m,"1,357.661m",
394,0+599.86,6.642m,"1,357.572m",
395,0+599.99,6.138m,"1,357.567m",
396,0+599.97,0.661m,"1,357.774m",
397,0+599.97,-0.004m,"1,357.889m",
398,0+600.02,-0.954m,"1,357.811m",
399,0+600.03,-8.078m,"1,357.994m",
400,0+599.74,-14.779m,"1,357.630m",
401,0+599.17,-21.925m,"1,357.187m",
402,0+620.00,14.648m,"1,358.616m",
403,0+620.06,10.820m,"1,358.652m",
404,0+619.93,7.387m,"1,358.523m",
405,0+619.97,6.128m,"1,358.518m",
406,0+619.97,4.398m,"1,358.394m",
407,0+620.00,3.887m,"1,358.330m",
408,0+620.01,3.468m,"1,358.412m",
409,0+619.86,0.142m,"1,359.038m",
410,0+619.92,-1.530m,"1,359.024m",
411,0+619.97,-2.276m,"1,359.063m",
412,0+619.93,-2.804m,"1,358.890m",
413,0+619.94,-7.494m,"1,359.143m",
414,0+619.94,-8.102m,"1,359.253m",
415,0+620.03,-10.813m,"1,359.029m",
416,0+619.97,-14.731m,"1,358.826m",
417,0+619.61,-18.836m,"1,358.028m",
418,0+639.98,15.156m,"1,359.524m",
419,0+639.88,10.791m,"1,359.505m",
420,0+639.85,8.026m,"1,359.483m",
421,0+639.86,5.221m,"1,359.369m",
422,0+639.94,4.343m,"1,359.438m",
