Station Offset to Points Report,,,,
,,,,
Client:,Prepared by:,,,
Client,Preparer,,,
Client Company,Your Company Name,,,
Address 1,123 Main Street,,,
Date: 7/10/2024 8:05:28 AM,,,,
,,,,
,,,,
Alignment Name: chadormalu-meydan,,,,
Description:,,,,
"Station Range: Start: -0+000.00, End: 0+164.26",,,,
,,,,
Point,Station,Offset,Elevation,Description
351,0+000.05,14.988m,"1,320.447m",
352,0+000.05,14.449m,"1,320.431m",
353,0+000.02,13.994m,"1,320.442m",
354,0+000.04,13.372m,"1,320.620m",
355,0+000.01,12.825m,"1,320.970m",
356,0+000.03,11.932m,"1,321.448m",
357,0+000.01,11.237m,"1,321.871m",
358,0+000.00,10.576m,"1,322.164m",
359,0+000.05,9.588m,"1,322.420m",
360,0+000.05,8.973m,"1,322.622m",
361,0+000.11,8.250m,"1,322.923m",
362,0+000.04,7.719m,"1,322.999m",
363,0+000.02,7.154m,"1,323.013m",
364,0+000.02,6.123m,"1,323.013m",
365,0+000.02,5.782m,"1,322.994m",
366,0+000.03,5.214m,"1,322.970m",
367,0+000.04,4.284m,"1,322.977m",
368,0+000.03,3.589m,"1,322.991m",
369,0+000.04,1.594m,"1,323.035m",
370,0+000.01,-0.002m,"1,323.035m",
371,0+000.03,-1.757m,"1,323.068m",
372,0+000.04,-3.028m,"1,323.045m",
373,0+000.02,-3.605m,"1,323.054m",
374,0+000.02,-4.801m,"1,323.002m",
375,0+000.02,-5.802m,"1,322.947m",
376,0+000.02,-6.800m,"1,322.910m",
377,0+000.01,-8.009m,"1,322.874m",
378,0+000.03,-9.785m,"1,322.871m",
379,0+000.03,-11.668m,"1,322.908m",
380,0+000.04,-13.995m,"1,322.910m",
381,0+000.02,-15.040m,"1,322.895m",
382,0+009.93,14.950m,"1,320.289m",
383,0+009.95,14.214m,"1,320.364m",
384,0+009.84,13.514m,"1,320.542m",
385,0+009.94,12.479m,"1,320.880m",
386,0+009.89,11.447m,"1,321.408m",
387,0+009.98,10.610m,"1,321.752m",
388,0+010.01,9.961m,"1,322.031m",
389,0+009.90,8.580m,"1,322.522m",
390,0+009.78,7.451m,"1,322.806m",
391,0+009.89,6.987m,"1,322.876m",
392,0+009.91,6.394m,"1,322.885m",
393,0+009.99,5.326m,"1,322.856m",
394,0+009.92,5.032m,"1,322.865m",
395,0+010.01,3.854m,"1,322.893m",
396,0+010.02,3.030m,"1,322.915m",
397,0+010.00,-0.012m,"1,322.907m",
398,0+010.05,-2.562m,"1,322.934m",
399,0+010.01,-3.165m,"1,322.945m",
400,0+010.01,-3.506m,"1,322.911m",
401,0+010.03,-4.781m,"1,322.825m",
402,0+009.96,-6.613m,"1,322.745m",
403,0+009.83,-7.829m,"1,322.718m",
404,0+010.02,-9.954m,"1,322.652m",
405,0+010.03,-12.964m,"1,322.604m",
406,0+019.95,14.820m,"1,320.245m",
407,0+020.05,12.716m,"1,320.410m",
408,0+020.12,10.823m,"1,321.362m",
409,0+020.04,8.157m,"1,322.418m",
410,0+020.08,7.552m,"1,322.554m",
411,0+019.87,6.629m,"1,322.671m",
412,0+019.98,5.601m,"1,322.638m",
413,0+019.97,4.595m,"1,322.659m",
414,0+020.07,4.070m,"1,322.671m",
415,0+020.13,3.395m,"1,322.690m",
416,0+020.04,1.303m,"1,322.679m",
417,0+019.89,-0.044m,"1,322.763m",
418,0+019.95,-2.370m,"1,322.717m",
419,0+020.01,-3.619m,"1,322.740m",
420,0+020.00,-4.122m,"1,322.736m",
421,0+020.00,-4.947m,"1,322.694m",
422,0+019.94,-6.355m,"1,322.572m",
423,0+019.90,-8.479m,"1,322.501m",
424,0+019.96,-10.623m,"1,322.433m",
425,0+020.05,-12.154m,"1,322.359m",
426,0+019.86,-14.980m,"1,322.304m",
427,0+029.99,14.919m,"1,320.219m",
428,0+029.86,12.800m,"1,320.206m",
429,0+029.93,11.822m,"1,320.343m",
430,0+029.93,9.911m,"1,321.221m",
431,0+029.93,7.437m,"1,322.092m",
432,0+029.89,6.590m,"1,322.381m",
433,0+029.95,6.033m,"1,322.464m",
434,0+029.91,5.440m,"1,322.526m",
435,0+029.89,3.863m,"1,322.515m",
436,0+029.94,2.940m,"1,322.532m",
437,0+029.91,1.420m,"1,322.567m",
438,0+029.95,0.046m,"1,322.551m",
439,0+029.80,-2.288m,"1,322.544m",
440,0+030.07,-4.479m,"1,322.523m",
441,0+029.91,-5.065m,"1,322.483m",
442,0+029.97,-6.560m,"1,322.515m",
443,0+029.99,-8.274m,"1,322.385m",
444,0+029.92,-11.888m,"1,322.231m",
445,0+029.96,-15.064m,"1,322.123m",
446,0+040.02,15.062m,"1,320.398m",
447,0+039.93,13.099m,"1,320.225m",
448,0+039.92,11.745m,"1,320.301m",
449,0+039.81,9.602m,"1,321.112m",
450,0+039.98,7.758m,"1,321.622m",
451,0+040.02,5.409m,"1,322.239m",
452,0+039.99,4.552m,"1,322.377m",
453,0+039.99,2.521m,"1,322.358m",
454,0+039.97,0.027m,"1,322.360m",
455,0+039.96,-3.049m,"1,322.389m",
456,0+039.92,-4.676m,"1,322.348m",
457,0+039.93,-6.683m,"1,322.335m",
458,0+040.01,-7.566m,"1,322.293m",
459,0+039.88,-11.586m,"1,322.091m",
460,0+039.98,-15.045m,"1,321.983m",
461,0+049.90,15.045m,"1,320.754m",
462,0+049.87,11.379m,"1,320.289m",
463,0+050.03,7.448m,"1,320.802m",
464,0+049.66,4.994m,"1,321.826m",
465,0+049.97,3.646m,"1,322.274m",
466,0+049.82,2.555m,"1,322.235m",
467,0+049.92,0.704m,"1,322.220m",
468,0+049.90,-0.066m,"1,322.234m",
469,0+049.90,-2.962m,"1,322.241m",
470,0+049.87,-5.225m,"1,322.181m",
471,0+049.85,-8.890m,"1,322.135m",
472,0+049.82,-12.465m,"1,321.972m",
473,0+049.94,-14.769m,"1,321.847m",
474,0+059.93,14.853m,"1,321.158m",
475,0+060.03,11.508m,"1,320.472m",
476,0+060.03,7.210m,"1,320.326m",
477,0+060.06,6.216m,"1,320.639m",
478,0+059.86,5.350m,"1,321.041m",
479,0+059.95,3.860m,"1,321.421m",
480,0+060.13,2.191m,"1,321.871m",
481,0+059.93,0.013m,"1,321.966m",
482,0+059.91,-0.937m,"1,321.949m",
483,0+060.02,-2.970m,"1,322.047m",
484,0+059.72,-5.151m,"1,322.045m",
485,0+060.04,-8.082m,"1,321.983m",
486,0+060.02,-10.616m,"1,321.919m",
487,0+060.01,-13.059m,"1,321.857m",
488,0+059.93,-15.098m,"1,321.697m",
489,0+069.92,15.074m,"1,321.880m",
490,0+069.97,14.263m,"1,321.522m",
491,0+069.91,12.637m,"1,321.036m",
492,0+070.03,9.419m,"1,320.458m",
493,0+069.82,6.080m,"1,320.151m",
494,0+070.01,3.621m,"1,320.825m",
495,0+069.99,1.352m,"1,321.474m",
496,0+069.95,0.034m,"1,321.799m",
497,0+070.00,-0.597m,"1,321.811m",
498,0+069.96,-0.858m,"1,321.816m",
499,0+069.98,-2.592m,"1,321.793m",
500,0+069.96,-3.650m,"1,321.816m",
501,0+069.93,-4.639m,"1,321.844m",
502,0+069.90,-7.971m,"1,321.851m",
503,0+069.87,-11.542m,"1,321.766m",
504,0+069.94,-12.466m,"1,321.760m",
505,0+069.97,-13.986m,"1,321.687m",
506,0+069.95,-14.956m,"1,321.650m",
507,0+079.88,14.790m,"1,322.922m",
508,0+079.99,13.583m,"1,322.102m",
509,0+079.96,12.229m,"1,321.422m",
510,0+079.85,9.912m,"1,320.787m",
511,0+079.98,6.605m,"1,320.262m",
512,0+079.90,3.364m,"1,320.223m",
513,0+079.97,-0.016m,"1,321.313m",
514,0+079.95,-1.726m,"1,321.880m",
515,0+080.04,-2.506m,"1,321.836m",
516,0+079.92,-3.221m,"1,321.726m",
517,0+080.02,-4.144m,"1,321.638m",
518,0+079.77,-5.362m,"1,321.669m",
519,0+080.02,-7.526m,"1,321.653m",
520,0+079.93,-11.800m,"1,321.577m",
521,0+080.01,-14.361m,"1,321.560m",
522,0+080.03,-12.509m,"1,321.584m",
523,0+080.01,-15.024m,"1,321.520m",
524,0+089.95,15.109m,"1,324.326m",
525,0+090.07,13.100m,"1,322.821m",
526,0+089.71,11.421m,"1,321.828m",
527,0+090.18,7.525m,"1,320.546m",
528,0+089.96,5.046m,"1,320.185m",
529,0+089.98,2.460m,"1,319.986m",
530,0+090.01,-0.002m,"1,320.798m",
531,0+090.00,-2.495m,"1,321.375m",
532,0+090.01,-3.618m,"1,321.624m",
533,0+089.97,-4.842m,"1,321.538m",
534,0+089.98,-5.314m,"1,321.529m",
535,0+089.94,-6.495m,"1,321.499m",
536,0+089.96,-7.932m,"1,321.422m",
537,0+089.97,-8.834m,"1,321.435m",
538,0+090.00,-10.914m,"1,321.475m",
539,0+090.02,-13.424m,"1,321.474m",
540,0+089.97,-14.994m,"1,321.452m",
541,0+099.89,14.801m,"1,325.174m",
542,0+100.00,12.588m,"1,323.639m",
543,0+099.91,9.509m,"1,321.579m",
544,0+100.00,8.018m,"1,320.933m",
545,0+100.02,4.400m,"1,320.165m",
546,0+099.98,-0.012m,"1,319.882m",
547,0+099.93,-2.731m,"1,320.811m",
548,0+099.96,-4.881m,"1,321.354m",
549,0+099.97,-5.765m,"1,321.392m",
550,0+099.87,-6.756m,"1,321.378m",
551,0+100.00,-7.376m,"1,321.347m",
552,0+099.99,-9.856m,"1,321.329m",
553,0+100.02,-12.612m,"1,321.329m",
554,0+100.06,-14.709m,"1,321.316m",
555,0+099.99,-15.103m,"1,321.311m",
556,0+110.06,14.926m,"1,326.450m",
557,0+109.99,13.299m,"1,325.270m",
558,0+110.05,10.696m,"1,323.562m",
559,0+109.90,7.190m,"1,321.138m",
560,0+110.05,5.851m,"1,320.505m",
561,0+109.86,2.932m,"1,319.859m",
562,0+109.89,-0.036m,"1,319.545m",
563,0+109.96,-3.143m,"1,319.899m",
564,0+109.91,-5.161m,"1,320.658m",
565,0+110.03,-7.510m,"1,321.325m",
566,0+109.94,-8.241m,"1,321.393m",
567,0+110.00,-11.119m,"1,321.346m",
568,0+109.99,-14.954m,"1,321.370m",
569,0+119.84,14.981m,"1,328.111m",
570,0+119.94,11.496m,"1,325.450m",
571,0+120.08,8.260m,"1,323.245m",
572,0+120.09,4.452m,"1,320.636m",
573,0+119.86,2.451m,"1,319.811m",
574,0+119.86,3.555m,"1,320.124m",
575,0+119.99,0.017m,"1,319.477m",
576,0+119.87,-2.673m,"1,319.293m",
577,0+119.84,-5.307m,"1,319.722m",
578,0+119.88,-6.706m,"1,320.339m",
579,0+119.96,-8.245m,"1,320.913m",
580,0+119.99,-9.252m,"1,321.165m",
581,0+119.91,-10.375m,"1,321.080m",
582,0+119.87,-10.936m,"1,321.038m",
583,0+119.86,-12.561m,"1,321.034m",
584,0+119.99,-14.966m,"1,321.067m",
585,0+129.99,14.988m,"1,327.946m",
586,0+130.02,12.267m,"1,326.036m",
587,0+129.93,10.027m,"1,324.457m",
588,0+130.08,7.396m,"1,322.617m",
589,0+129.97,4.705m,"1,320.859m",
590,0+129.98,3.682m,"1,320.279m",
591,0+129.90,1.599m,"1,319.796m",
592,0+130.00,0.024m,"1,319.648m",
593,0+129.99,-2.959m,"1,319.406m",
594,0+130.03,-5.350m,"1,319.345m",
595,0+129.98,-7.797m,"1,319.816m",
596,0+129.96,-10.745m,"1,320.857m",
597,0+130.03,-11.645m,"1,320.979m",
598,0+130.04,-13.170m,"1,320.953m",
599,0+130.04,-15.026m,"1,320.993m",
600,0+139.84,15.024m,"1,324.423m",
601,0+140.00,13.046m,"1,323.397m",
602,0+140.09,11.915m,"1,322.746m",
603,0+140.05,11.439m,"1,322.460m",
604,0+140.32,10.660m,"1,322.093m",
605,0+140.37,9.473m,"1,321.367m",
606,0+140.04,8.118m,"1,320.642m",
607,0+140.09,6.003m,"1,320.080m",
608,0+140.08,4.062m,"1,319.859m",
609,0+140.06,2.064m,"1,319.735m",
610,0+140.02,0.042m,"1,319.628m",
611,0+139.95,-1.808m,"1,319.505m",
612,0+139.99,-4.175m,"1,319.318m",
613,0+139.99,-6.315m,"1,319.222m",
614,0+139.96,-8.956m,"1,319.258m",
615,0+140.00,-11.268m,"1,320.298m",
616,0+140.04,-13.976m,"1,320.957m",
617,0+140.02,-14.508m,"1,320.917m",
618,0+140.05,-14.934m,"1,320.866m",
619,0+140.02,7.047m,"1,320.258m",
620,0+149.95,14.936m,"1,323.717m",
621,0+149.77,12.703m,"1,323.175m",
622,0+149.72,11.424m,"1,323.185m",
623,0+149.81,9.922m,"1,322.591m",
624,0+150.04,8.675m,"1,322.065m",
625,0+149.81,7.304m,"1,321.379m",
626,0+150.15,6.009m,"1,320.930m",
627,0+149.76,3.569m,"1,319.929m",
628,0+150.06,1.686m,"1,319.734m",
629,0+149.99,0.019m,"1,319.645m",
630,0+150.03,-2.623m,"1,319.559m",
631,0+149.94,-4.305m,"1,319.469m",
632,0+149.99,-6.557m,"1,319.294m",
633,0+150.02,-10.339m,"1,318.971m",
634,0+150.04,-12.605m,"1,318.944m",
635,0+150.00,-14.987m,"1,318.864m",
636,0+159.92,15.053m,"1,323.989m",
637,0+159.92,13.191m,"1,323.935m",
638,0+159.98,11.212m,"1,323.754m",
639,0+159.87,8.914m,"1,323.684m",
640,0+159.97,7.015m,"1,323.593m",
641,0+159.93,4.757m,"1,323.209m",
642,0+160.06,2.462m,"1,322.696m",
643,0+159.94,0.044m,"1,321.493m",
644,0+159.97,-3.915m,"1,319.985m",
645,0+160.00,-7.795m,"1,319.580m",
646,0+160.00,-10.408m,"1,319.385m",
647,0+159.98,-13.418m,"1,319.148m",
648,0+160.03,-15.001m,"1,319.201m",
649,0+159.97,-1.895m,"1,320.573m",
650,0+164.21,14.992m,"1,323.745m",
651,0+164.22,13.561m,"1,323.691m",
652,0+164.20,11.599m,"1,323.727m",
653,0+164.20,9.830m,"1,323.767m",
654,0+164.21,8.186m,"1,323.889m",
655,0+164.20,5.272m,"1,323.684m",
656,0+164.21,4.428m,"1,323.698m",
657,0+164.21,1.339m,"1,323.712m",
658,0+164.21,-0.022m,"1,323.601m",
659,0+164.16,-3.868m,"1,322.858m",
660,0+164.17,-7.647m,"1,322.054m",
661,0+164.20,-9.875m,"1,321.391m",
662,0+164.17,-10.240m,"1,321.150m",
663,0+164.17,-10.660m,"1,320.862m",
664,0+164.19,-10.985m,"1,320.775m",
665,0+164.09,-11.906m,"1,320.208m",
666,0+164.19,-13.417m,"1,319.880m",
667,0+164.15,-14.843m,"1,319.716m",
,,,,
Out of Range: The Point is not adjacent to alignment.,,,,
