Station Offset to Points Report,,,,
,,,,
Client:,Prepared by:,,,
Client,Preparer,,,
Client Company,Your Company Name,,,
Address 1,123 Main Street,,,
Date: 7/8/2024 10:01:18 AM,,,,
,,,,
,,,,
Alignment Name: massir asli d10,,,,
Description:,,,,
"Station Range: Start: 0+000.00, End: 21+556.62",,,,
,,,,
Point,Station,Offset,Elevation,Description
1,21+540.00,10.367m,"1,340.759m",
2,21+539.99,8.518m,"1,340.364m",
3,21+539.88,6.516m,"1,340.616m",
4,21+540.00,0.210m,"1,340.943m",
5,21+539.69,-2.098m,"1,340.714m",
6,21+539.86,-7.340m,"1,340.869m",
7,21+540.16,-10.377m,"1,340.901m",
8,21+539.86,-14.331m,"1,340.678m",
9,21+539.93,-17.218m,"1,340.719m",
10,21+539.58,-20.919m,"1,340.531m",
11,21+555.69,26.910m,"1,341.219m",
12,21+555.78,24.776m,"1,341.204m",
13,21+556.11,22.854m,"1,341.501m",
14,21+556.28,20.511m,"1,341.100m",
15,21+555.98,17.621m,"1,340.998m",
16,21+556.11,19.029m,"1,341.162m",
17,21+556.60,15.084m,"1,341.546m",
18,21+556.47,11.234m,"1,341.636m",
19,21+556.46,7.890m,"1,341.528m",
20,21+556.41,5.051m,"1,341.581m",
21,21+556.35,2.534m,"1,341.394m",
22,21+556.19,0.090m,"1,341.775m",
23,21+556.40,-0.476m,"1,341.706m",
24,21+556.31,-6.215m,"1,341.515m",
25,21+556.08,-8.832m,"1,341.847m",
26,21+556.21,-12.372m,"1,341.657m",
27,21+556.08,-14.681m,"1,341.567m",
28,21+556.01,-17.618m,"1,341.187m",
29,21+555.91,-17.125m,"1,341.101m",
30,21+555.90,-18.926m,"1,341.230m",
31,21+556.10,-20.813m,"1,341.090m",
32,21+555.87,-22.949m,"1,341.403m",
33,21+555.66,-25.690m,"1,341.423m",
34,21+555.62,-27.627m,"1,341.265m",
35,21+555.48,-29.615m,"1,341.034m",
36,0+504.73,-19.004m,"1,409.266m",
37,0+504.75,-17.357m,"1,408.373m",
38,0+504.83,-14.897m,"1,409.180m",
39,0+505.06,-12.141m,"1,409.539m",
40,0+505.17,-9.249m,"1,410.075m",
41,0+505.35,-6.499m,"1,411.122m",
42,0+505.44,-4.947m,"1,412.222m",
43,0+505.54,-3.495m,"1,412.835m",
44,0+505.68,-2.291m,"1,413.683m",
45,0+505.73,-0.036m,"1,414.534m",
46,0+505.80,0.856m,"1,414.514m",
47,0+505.77,1.560m,"1,414.917m",
48,0+505.87,3.644m,"1,414.752m",
49,0+506.04,6.315m,"1,413.396m",
50,0+506.21,9.696m,"1,413.172m",
51,0+506.37,14.540m,"1,412.267m",
52,0+514.14,15.680m,"1,413.484m",
53,0+513.55,7.606m,"1,411.881m",
54,0+513.05,2.637m,"1,411.418m",
55,0+512.79,0.041m,"1,411.211m",
56,0+512.67,-1.960m,"1,410.617m",
57,0+512.41,-3.920m,"1,409.732m",
58,0+512.25,-6.066m,"1,409.743m",
59,0+512.09,-8.112m,"1,410.544m",
60,0+511.67,-12.194m,"1,410.439m",
61,0+511.11,-16.709m,"1,410.443m",
62,0+510.91,-18.733m,"1,410.545m",
63,0+519.77,14.880m,"1,413.279m",
64,0+519.64,7.765m,"1,412.107m",
65,0+519.93,5.514m,"1,411.466m",
66,0+519.98,4.168m,"1,411.309m",
67,0+520.04,-0.038m,"1,411.342m",
68,0+519.94,-2.527m,"1,410.616m",
69,0+519.91,-6.067m,"1,410.461m",
70,0+520.00,-8.077m,"1,411.497m",
71,0+519.95,-11.873m,"1,411.482m",
72,0+519.89,-15.012m,"1,411.241m",
73,0+539.90,14.933m,"1,413.866m",
74,0+540.02,11.783m,"1,413.047m",
75,0+539.93,8.143m,"1,413.052m",
76,0+539.99,1.149m,"1,412.615m",
77,0+539.99,0.499m,"1,411.897m",
78,0+539.91,-0.117m,"1,411.807m",
79,0+539.78,-4.528m,"1,412.244m",
80,0+539.98,-6.853m,"1,412.775m",
81,0+539.89,-14.998m,"1,412.589m",
82,0+560.01,14.919m,"1,414.398m",
83,0+559.99,13.899m,"1,414.057m",
84,0+560.01,11.295m,"1,414.371m",
85,0+559.90,5.380m,"1,414.477m",
86,0+559.92,2.857m,"1,413.706m",
87,0+560.00,0.055m,"1,413.566m",
88,0+560.03,-2.344m,"1,413.515m",
89,0+560.03,-7.230m,"1,413.709m",
90,0+560.02,-14.846m,"1,415.914m",
91,0+579.84,15.121m,"1,415.718m",
92,0+579.77,12.164m,"1,415.445m",
93,0+579.65,4.851m,"1,415.710m",
94,0+579.89,2.709m,"1,415.579m",
95,0+579.89,0.070m,"1,415.588m",
96,0+579.88,-1.328m,"1,415.410m",
97,0+579.96,-5.507m,"1,415.662m",
98,0+579.94,-10.244m,"1,415.856m",
99,0+580.05,-15.089m,"1,415.987m",
100,0+599.96,14.960m,"1,416.788m",
101,0+599.86,11.995m,"1,416.747m",
102,0+599.86,8.674m,"1,416.959m",
103,0+599.85,2.172m,"1,417.103m",
104,0+599.82,0.077m,"1,417.006m",
105,0+599.95,-5.440m,"1,417.086m",
106,0+599.93,-8.176m,"1,416.894m",
107,0+599.92,-12.527m,"1,417.084m",
108,0+599.94,-14.954m,"1,417.665m",
109,0+619.81,15.857m,"1,417.525m",
110,0+619.87,13.303m,"1,417.551m",
111,0+619.93,5.427m,"1,417.941m",
112,0+619.91,0.138m,"1,418.393m",
113,0+619.97,-5.467m,"1,418.954m",
114,0+619.92,-11.040m,"1,419.012m",
115,0+619.87,-14.981m,"1,418.920m",
116,0+639.85,14.834m,"1,415.579m",
117,0+639.85,6.190m,"1,416.839m",
118,0+639.93,0.366m,"1,416.755m",
119,0+639.94,-3.080m,"1,416.727m",
120,0+639.84,-14.600m,"1,417.372m",
121,0+648.69,-24.466m,"1,418.741m",
122,0+648.85,-17.265m,"1,418.106m",
123,0+648.84,-14.068m,"1,418.024m",
124,0+648.82,-10.665m,"1,418.005m",
125,0+648.84,-5.183m,"1,417.725m",
126,0+648.89,-0.113m,"1,417.364m",
127,0+649.08,0.868m,"1,417.358m",
128,0+648.99,1.593m,"1,417.855m",
129,0+649.40,5.524m,"1,415.695m",
130,0+649.72,9.415m,"1,415.726m",
131,0+650.29,13.279m,"1,415.859m",
132,0+650.57,16.420m,"1,415.604m",
133,0+625.63,13.937m,"1,415.327m",
134,0+626.19,10.749m,"1,415.672m",
135,0+626.27,9.536m,"1,415.888m",
136,0+626.48,7.890m,"1,415.909m",
137,0+626.73,5.387m,"1,416.183m",
138,0+627.00,3.413m,"1,418.442m",
139,0+627.32,-0.025m,"1,418.632m",
140,0+627.61,-3.002m,"1,418.906m",
141,0+627.94,-6.554m,"1,419.024m",
142,0+628.14,-10.063m,"1,419.355m",
143,0+628.33,-13.182m,"1,419.783m",
144,0+040.05,0.035m,"1,384.354m",
145,0+039.96,-1.804m,"1,384.457m",
146,0+040.03,-2.591m,"1,384.516m",
147,0+040.05,-4.116m,"1,384.506m",
148,0+039.96,-14.822m,"1,385.174m",
149,0+040.00,-9.237m,"1,384.798m",
150,0+060.01,14.747m,"1,385.475m",
151,0+059.87,12.707m,"1,385.510m",
152,0+060.07,6.553m,"1,384.498m",
153,0+060.01,3.762m,"1,385.573m",
154,0+059.99,3.056m,"1,385.400m",
155,0+059.95,2.488m,"1,385.564m",
156,0+060.00,2.101m,"1,385.363m",
157,0+059.97,1.647m,"1,385.259m",
158,0+060.01,-0.008m,"1,385.242m",
159,0+060.07,-1.323m,"1,385.232m",
160,0+060.00,-2.542m,"1,385.322m",
161,0+059.99,-2.688m,"1,385.355m",
162,0+059.98,-3.077m,"1,385.535m",
163,0+060.01,-7.197m,"1,386.341m",
164,0+060.01,-10.770m,"1,385.791m",
165,0+059.99,-12.233m,"1,385.670m",
166,0+059.99,-14.967m,"1,385.909m",
167,0+079.95,14.995m,"1,386.130m",
168,0+079.94,6.356m,"1,386.382m",
169,0+079.98,4.334m,"1,386.521m",
170,0+079.98,3.237m,"1,386.314m",
171,0+080.03,2.399m,"1,386.423m",
172,0+079.96,1.756m,"1,386.226m",
173,0+080.01,-0.031m,"1,386.209m",
174,0+079.99,-2.137m,"1,386.269m",
175,0+079.98,-2.913m,"1,386.529m",
176,0+079.98,-2.559m,"1,386.439m",
177,0+080.02,-3.407m,"1,386.479m",
178,0+079.96,-8.011m,"1,387.661m",
179,0+079.99,-14.982m,"1,388.211m",
180,0+100.00,14.928m,"1,385.542m",
181,0+099.93,12.165m,"1,385.719m",
182,0+099.94,8.698m,"1,386.802m",
183,0+100.04,5.420m,"1,387.674m",
184,0+099.98,6.449m,"1,387.418m",
185,0+099.96,3.412m,"1,387.332m",
186,0+099.96,2.682m,"1,387.322m",
187,0+099.97,2.306m,"1,387.218m",
188,0+100.02,-0.034m,"1,387.215m",
189,0+100.00,-1.565m,"1,387.450m",
190,0+099.99,-1.956m,"1,387.598m",
191,0+099.96,-2.371m,"1,387.518m",
192,0+099.91,-4.184m,"1,387.943m",
193,0+099.90,-5.621m,"1,387.250m",
194,0+099.95,-6.431m,"1,387.194m",
195,0+100.00,-7.943m,"1,387.168m",
196,0+099.93,-8.712m,"1,387.259m",
197,0+099.98,-10.872m,"1,387.776m",
198,0+099.95,-14.421m,"1,387.923m",
199,0+119.97,14.949m,"1,387.863m",
200,0+119.95,5.985m,"1,388.740m",
201,0+119.97,4.876m,"1,388.935m",
202,0+119.95,4.295m,"1,388.534m",
203,0+119.96,3.407m,"1,388.612m",
204,0+120.00,2.612m,"1,388.289m",
205,0+120.01,0.013m,"1,388.314m",
206,0+119.94,-1.355m,"1,388.487m",
207,0+119.97,-2.262m,"1,388.688m",
208,0+119.98,-4.818m,"1,389.246m",
209,0+119.98,-14.951m,"1,389.877m",
210,0+119.94,-9.844m,"1,389.651m",
211,0+139.94,15.051m,"1,388.584m",
212,0+139.93,10.599m,"1,388.609m",
213,0+139.93,7.705m,"1,388.838m",
214,0+139.93,5.500m,"1,389.698m",
215,0+139.98,4.345m,"1,389.912m",
216,0+139.96,3.654m,"1,389.686m",
217,0+139.99,3.095m,"1,389.362m",
218,0+140.02,0.035m,"1,389.366m",
219,0+139.98,-0.907m,"1,389.657m",
220,0+140.01,-3.262m,"1,389.956m",
221,0+139.89,-10.170m,"1,390.727m",
222,0+139.91,-15.086m,"1,391.070m",
223,0+159.96,14.772m,"1,390.066m",
224,0+159.97,10.797m,"1,390.949m",
225,0+160.03,11.907m,"1,390.646m",
226,0+160.00,9.636m,"1,390.959m",
227,0+159.99,8.139m,"1,391.120m",
228,0+160.03,6.943m,"1,390.749m",
229,0+159.98,5.033m,"1,390.793m",
230,0+159.99,4.086m,"1,390.424m",
231,0+159.97,0.576m,"1,390.529m",
232,0+160.01,0.077m,"1,390.699m",
233,0+159.98,-0.990m,"1,390.373m",
234,0+160.06,-4.475m,"1,390.237m",
235,0+159.82,-8.912m,"1,390.272m",
236,0+159.96,-14.755m,"1,390.742m",
237,0+180.00,15.028m,"1,390.889m",
238,0+179.88,12.322m,"1,391.640m",
239,0+179.96,8.594m,"1,391.917m",
240,0+179.93,6.383m,"1,391.849m",
241,0+180.06,7.405m,"1,391.810m",
242,0+179.92,5.113m,"1,391.479m",
243,0+180.00,1.057m,"1,391.778m",
244,0+179.95,-0.082m,"1,391.750m",
245,0+179.93,-2.336m,"1,391.273m",
246,0+179.93,-4.776m,"1,391.311m",
247,0+179.92,-8.387m,"1,391.748m",
248,0+179.91,-15.093m,"1,392.018m",
249,0+199.91,15.062m,"1,392.478m",
250,0+199.86,12.471m,"1,392.268m",
251,0+199.91,8.903m,"1,392.818m",
252,0+199.94,8.129m,"1,393.060m",
253,0+199.99,6.078m,"1,392.673m",
254,0+200.00,5.462m,"1,392.523m",
255,0+199.99,0.022m,"1,393.108m",
256,0+199.97,0.659m,"1,393.209m",
257,0+199.96,2.030m,"1,392.690m",
258,0+199.98,-3.757m,"1,392.901m",
259,0+199.93,-9.377m,"1,393.289m",
260,0+200.00,-14.919m,"1,394.034m",
261,0+219.94,14.999m,"1,393.988m",
262,0+220.07,9.863m,"1,394.058m",
263,0+219.97,8.423m,"1,394.282m",
264,3+800.11,-12.530m,"1,403.774m",
265,3+799.82,-18.076m,"1,403.888m",
266,3+799.48,-22.247m,"1,403.947m",
267,3+817.75,37.436m,"1,402.920m",
268,3+817.72,34.935m,"1,402.475m",
269,3+818.67,23.784m,"1,402.548m",
270,3+818.74,21.556m,"1,402.926m",
271,3+819.70,14.612m,"1,403.087m",
272,3+819.77,7.324m,"1,403.007m",
273,3+819.85,-0.094m,"1,403.006m",
274,3+819.76,-1.220m,"1,403.207m",
275,3+820.00,-7.441m,"1,403.090m",
276,3+819.96,-8.496m,"1,403.135m",
277,3+819.69,-14.895m,"1,403.162m",
278,3+819.38,-23.072m,"1,403.197m",
279,3+839.63,27.550m,"1,402.045m",
280,3+839.76,14.115m,"1,402.327m",
281,3+839.61,7.503m,"1,402.395m",
282,3+839.78,0.169m,"1,402.120m",
283,3+840.11,-4.395m,"1,402.240m",
284,3+840.01,-6.910m,"1,402.352m",
285,3+839.48,-14.893m,"1,402.396m",
286,3+860.16,16.724m,"1,401.480m",
287,3+859.76,13.681m,"1,401.517m",
288,3+859.84,7.341m,"1,401.532m",
289,3+860.31,4.042m,"1,401.617m",
290,3+859.78,2.491m,"1,401.491m",
291,3+859.84,-0.009m,"1,401.435m",
292,3+859.99,-2.585m,"1,401.479m",
293,3+859.93,-4.038m,"1,401.692m",
294,3+860.20,-14.976m,"1,401.544m",
295,3+859.73,-21.223m,"1,401.689m",
296,3+880.29,30.949m,"1,400.538m",
297,3+879.74,14.870m,"1,400.690m",
298,3+879.86,4.265m,"1,401.072m",
299,3+879.98,3.194m,"1,400.887m",
300,3+879.98,1.722m,"1,400.856m",
301,3+880.02,-0.130m,"1,400.809m",
302,3+880.06,-2.272m,"1,400.827m",
303,3+880.03,-3.363m,"1,401.015m",
304,3+879.69,-15.462m,"1,400.798m",
305,3+879.72,-21.765m,"1,400.841m",
306,3+900.19,19.737m,"1,399.743m",
307,3+899.87,14.906m,"1,399.944m",
308,3+900.01,5.924m,"1,400.308m",
309,3+899.99,5.058m,"1,400.292m",
310,3+900.01,3.811m,"1,400.164m",
311,3+900.10,0.042m,"1,400.040m",
312,3+900.08,-1.528m,"1,400.047m",
313,3+899.97,-3.139m,"1,400.257m",
314,3+899.94,-8.455m,"1,400.060m",
315,3+899.85,-12.657m,"1,399.856m",
316,3+899.74,-16.029m,"1,399.949m",
317,3+920.93,24.954m,"1,399.030m",
318,3+919.94,14.758m,"1,399.451m",
319,3+920.15,5.088m,"1,399.531m",
320,3+919.95,4.259m,"1,399.384m",
321,3+920.08,0.045m,"1,399.340m",
322,3+920.03,-1.207m,"1,399.343m",
323,3+919.96,-2.495m,"1,399.547m",
324,3+919.95,-8.706m,"1,399.164m",
325,3+919.72,-15.385m,"1,399.125m",
326,3+940.12,23.448m,"1,398.277m",
327,3+939.97,15.210m,"1,398.646m",
328,3+940.01,5.921m,"1,398.767m",
329,3+940.04,4.941m,"1,398.555m",
330,3+939.98,0.044m,"1,398.492m",
331,3+939.98,-1.419m,"1,398.778m",
332,3+939.85,-5.667m,"1,398.586m",
333,3+939.90,-10.945m,"1,398.385m",
334,3+939.70,-14.846m,"1,398.451m",
335,3+960.12,21.155m,"1,397.678m",
336,3+960.01,15.011m,"1,397.863m",
337,3+959.99,5.706m,"1,398.058m",
338,3+959.89,4.698m,"1,397.759m",
339,3+959.85,-0.027m,"1,397.724m",
340,3+959.98,-2.420m,"1,397.871m",
341,3+959.92,-14.983m,"1,397.573m",
342,3+959.91,-23.848m,"1,397.894m",
343,3+960.49,-19.984m,"1,397.735m",
344,3+978.12,32.150m,"1,396.605m",
345,3+980.11,14.922m,"1,397.117m",
346,3+979.85,7.145m,"1,397.049m",
347,3+980.03,5.848m,"1,397.154m",
348,3+979.97,4.849m,"1,396.902m",
349,3+980.04,0.165m,"1,396.924m",
350,3+979.98,-1.297m,"1,397.240m",
351,3+980.15,-6.295m,"1,397.087m",
352,3+979.63,-14.827m,"1,396.786m",
353,4+000.00,18.075m,"1,396.142m",
354,4+000.08,14.915m,"1,396.128m",
355,4+000.00,6.584m,"1,396.406m",
356,3+999.99,5.492m,"1,396.152m",
357,3+999.91,0.176m,"1,396.337m",
358,4+000.01,-2.825m,"1,396.359m",
359,3+999.97,-7.719m,"1,396.069m",
360,3+999.64,-16.136m,"1,396.333m",
361,3+999.66,-21.438m,"1,396.439m",
362,4+020.14,21.799m,"1,395.480m",
363,4+019.97,15.172m,"1,395.143m",
364,4+019.98,8.414m,"1,395.502m",
365,4+019.96,7.365m,"1,395.646m",
366,4+019.98,0.801m,"1,395.653m",
367,4+019.94,-0.073m,"1,395.759m",
368,4+020.12,-14.726m,"1,395.463m",
369,4+019.90,-6.484m,"1,395.515m",
370,3+620.10,9.979m,"1,410.786m",
371,3+620.11,6.235m,"1,410.696m",
372,3+620.12,3.213m,"1,410.541m",
373,3+620.14,0.191m,"1,410.485m",
374,3+620.01,-3.435m,"1,410.564m",
375,3+620.11,-8.223m,"1,410.582m",
376,3+620.12,-14.006m,"1,410.633m",
377,3+620.41,-15.819m,"1,410.439m",
378,3+620.09,-18.805m,"1,410.022m",
379,3+640.59,23.575m,"1,409.858m",
380,3+639.87,19.960m,"1,409.653m",
381,3+639.92,15.102m,"1,409.815m",
382,3+639.90,9.449m,"1,409.800m",
383,3+639.99,6.368m,"1,409.729m",
384,3+640.25,-0.114m,"1,409.635m",
385,3+639.88,-4.748m,"1,409.687m",
386,3+640.50,-9.357m,"1,409.838m",
387,3+640.09,-12.747m,"1,409.385m",
388,3+640.10,-15.046m,"1,409.381m",
389,3+659.35,22.004m,"1,408.892m",
390,3+659.41,19.184m,"1,408.867m",
391,3+660.18,15.048m,"1,408.910m",
392,3+660.11,10.770m,"1,408.860m",
393,3+659.99,6.290m,"1,408.798m",
394,3+660.11,-0.073m,"1,408.685m",
395,3+659.93,-3.901m,"1,408.857m",
396,3+660.19,-8.214m,"1,409.182m",
397,3+659.80,-10.419m,"1,408.471m",
398,3+659.98,-13.820m,"1,408.669m",
399,3+659.71,-15.882m,"1,408.708m",
400,3+680.82,19.922m,"1,408.089m",
401,3+679.75,15.366m,"1,408.128m",
402,3+679.82,7.518m,"1,408.065m",
403,3+679.82,2.847m,"1,407.835m",
404,3+680.11,-0.311m,"1,408.045m",
405,3+680.08,-3.067m,"1,407.844m",
406,3+680.02,-3.861m,"1,407.716m",
407,3+679.97,-6.231m,"1,407.812m",
408,3+679.73,-8.684m,"1,407.739m",
409,3+680.05,-11.481m,"1,407.830m",
410,3+679.94,-13.791m,"1,407.997m",
411,3+680.01,-12.405m,"1,407.874m",
412,3+679.94,-15.237m,"1,407.989m",
413,3+679.71,-18.543m,"1,407.882m",
414,3+679.47,-20.996m,"1,408.154m",
415,3+699.63,14.617m,"1,407.257m",
416,3+700.09,10.979m,"1,407.258m",
417,3+700.00,6.962m,"1,407.317m",
418,3+699.88,4.651m,"1,407.148m",
