
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-03-04


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 6.24
Magnitude Max:, 7.68
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 6, -, 1.0, -, 17.7, 24.2, 1.6, "Imperial Valley-02", 1940, "El Centro Array #9", 6.95, strike slip, 6.09, 6.09, 213.44, 0.25, 1.0, RSN6_IMPVALL.I_I-ELC180.AT2, RSN6_IMPVALL.I_I-ELC270.AT2 , RSN6_IMPVALL.I_I-ELC-UP.AT2  
2, SRSS, 7, -, 1.0, -, 9.0, 22.2, 0.0, "Northwest Calif-02", 1941, "Ferndale City Hall", 6.6, strike slip, 91.15, 91.22, 219.31, 0.1625, 1.0, RSN7_NWCALIF.C_C-FRN045.AT2, RSN7_NWCALIF.C_C-FRN135.AT2 , RSN7_NWCALIF.C_C-FRN-UP.AT2  
3, SRSS, 8, -, 1.0, -, 4.8, 15.5, 0.1, "Northern Calif-01", 1941, "Ferndale City Hall", 6.4, strike slip, 44.52, 44.68, 219.31, 0.375, 1.0, RSN8_NCALIF.FH_F-FRN225.AT2, RSN8_NCALIF.FH_F-FRN315.AT2 , RSN8_NCALIF.FH_F-FRN-UP.AT2  
4, SRSS, 9, -, 1.0, -, 21.5, 37.2, 0.1, "Borrego", 1942, "El Centro Array #9", 6.5, strike slip, 56.88, 56.88, 213.44, 0.125, 1.0, RSN9_BORREGO_B-ELC000.AT2, RSN9_BORREGO_B-ELC090.AT2 , RSN9_BORREGO_B-ELC-UP.AT2  
5, SRSS, 12, -, 1.0, -, 18.6, 33.5, 0.1, "Kern County", 1952, "LA - Hollywood Stor FF", 7.36, Reverse, 114.62, 117.75, 316.46, 0.125, 1.0, RSN12_KERN.PEL_PEL090.AT2, RSN12_KERN.PEL_PEL180.AT2 , RSN12_KERN.PEL_PEL-UP.AT2  
6, SRSS, 13, -, 1.0, -, 16.6, 29.5, 0.1, "Kern County", 1952, "Pasadena - CIT Athenaeum", 7.36, Reverse, 122.65, 125.59, 415.13, 0.25, 1.0, RSN13_KERN_PAS180.AT2, RSN13_KERN_PAS270.AT2 , RSN13_KERN_PAS-UP.AT2  
7, SRSS, 14, -, 1.0, -, 12.4, 33.6, 0.3, "Kern County", 1952, "Santa Barbara Courthouse", 7.36, Reverse, 81.3, 82.19, 514.99, 0.375, 1.0, RSN14_KERN_SBA042.AT2, RSN14_KERN_SBA132.AT2 , RSN14_KERN_SBA-UP.AT2  
8, SRSS, 15, -, 1.0, -, 10.7, 30.3, 0.6, "Kern County", 1952, "Taft Lincoln School", 7.36, Reverse, 38.42, 38.89, 385.43, 0.125, 1.0, RSN15_KERN_TAF021.AT2, RSN15_KERN_TAF111.AT2 , RSN15_KERN_TAF-UP.AT2  
9, SRSS, 20, -, 1.0, -, 6.8, 19.4, 0.5, "Northern Calif-03", 1954, "Ferndale City Hall", 6.5, strike slip, 26.72, 27.02, 219.31, 0.125, 1.0, RSN20_NCALIF.FH_H-FRN044.AT2, RSN20_NCALIF.FH_H-FRN314.AT2 , RSN20_NCALIF.FH_H-FRN-UP.AT2  
10, SRSS, 22, -, 1.0, -, 23.0, 40.9, 0.1, "El Alamo", 1956, "El Centro Array #9", 6.8, strike slip, 121.0, 121.7, 213.44, 0.2875, 1.0, RSN22_ELALAMO_ELC180.AT2, RSN22_ELALAMO_ELC270.AT2 , RSN22_ELALAMO_ELC-UP.AT2  
11, SRSS, 36, -, 1.0, -, 25.0, 49.3, 0.2, "Borrego Mtn", 1968, "El Centro Array #9", 6.63, strike slip, 45.12, 45.66, 213.44, 0.1, 1.0, RSN36_BORREGO_A-ELC180.AT2, RSN36_BORREGO_A-ELC270.AT2 , RSN36_BORREGO_A-ELC-UP.AT2  
12, SRSS, 37, -, 1.0, -, 17.9, 26.3, 0.0, "Borrego Mtn", 1968, "LA - Hollywood Stor FF", 6.63, strike slip, 222.42, 222.42, 316.46, 0.1625, 1.0, RSN37_BORREGO_A-PEL090.AT2, RSN37_BORREGO_A-PEL180.AT2 , RSN37_BORREGO_A-PEL-UP.AT2  
13, SRSS, 38, -, 1.0, -, 31.9, 37.9, 0.0, "Borrego Mtn", 1968, "LB - Terminal Island", 6.63, strike slip, 199.84, 199.84, 217.92, 0.25, 1.0, RSN38_BORREGO_A-TLI249.AT2, RSN38_BORREGO_A-TLI339.AT2 , RSN38_BORREGO_A-TLI-UP.AT2  
14, SRSS, 39, -, 1.0, -, 25.0, 37.4, 0.0, "Borrego Mtn", 1968, "Pasadena - CIT Athenaeum", 6.63, strike slip, 207.14, 207.14, 415.13, 0.1625, 1.0, RSN39_BORREGO_A-PAS180.AT2, RSN39_BORREGO_A-PAS270.AT2 , RSN39_BORREGO_A-PAS-UP.AT2  
15, SRSS, 40, -, 1.0, -, 19.3, 28.0, 0.0, "Borrego Mtn", 1968, "San Onofre - So Cal Edison", 6.63, strike slip, 129.11, 129.11, 442.88, 0.1625, 1.0, RSN40_BORREGO_A-SON033.AT2, RSN40_BORREGO_A-SON303.AT2 , RSN40_BORREGO_A-SON-UP.AT2  
16, SRSS, 51, -, 1.0, -, 27.6, 54.2, 0.0, "San Fernando", 1971, "2516 Via Tejon PV", 6.61, Reverse, 55.2, 55.2, 280.56, 0.25, 1.0, RSN51_SFERN_PVE065.AT2, RSN51_SFERN_PVE155.AT2 , RSN51_SFERN_PVEDWN.AT2  
