FCFSRep,Total Waiting Time,Total Customer,Average Waiting Time 1,Average Waiting Time 2,Queue length 1,Queue length 2,Utilization Server 1,Utilization Server 2,Net Utilization,Troughput,Averange length in Network
1,0.8211852,3008,0.7064958,0.519753,1.4456,1.0281,0.7048,0.6459,0.45523032,3.008,4.4703
2,0.8118378,2992,0.6330132,0.5834754,1.2527,1.1763,0.6561,0.6706,0.43998066,2.992,4.4263
3,0.702882,3003,0.5356392,0.5349816,1.0531,1.0602,0.6246,0.6655,0.4156713,3.003,4.0689
4,0.8653356,3018,0.6249504,0.6693462,1.2653,1.3467,0.6633,0.6919,0.45893727,3.018,4.6591
5,0.7859172,3029,0.717201,0.4640076,1.4581,0.9325,0.6804,0.6706,0.45627624,3.029,4.4122
6,0.6737196,2985,0.5790654,0.432144,1.161,0.85,0.6646,0.635,0.422021,2.985,3.9456
7,0.8815056,2918,0.732582,0.5893992,1.4234,1.1516,0.6372,0.66,0.420552,2.918,4.5322
8,0.7264266,2917,0.6084708,0.4829904,1.1786,0.9423,0.6529,0.6595,0.43058755,2.917,4.0928
9,0.8063058,3011,0.7464336,0.4581132,1.5235,0.9043,0.6731,0.6535,0.43987085,3.011,4.4079
10,0.751821,2991,0.6226416,0.5048898,1.2339,1.0191,0.6737,0.6375,0.42948375,2.991,4.2017
SPTRep,Total Waiting Time,Total Customer,Average Waiting Time 1,Average Waiting Time 2,Queue length 1,Queue length 2,Utilization Server 1,Utilization Server 2,Net Utilization,Troughput,Averange length in Network
1,0.5624802,3064,0.501372,0.336159,1.0465,0.6785,0.7125,0.6753,0.48115125,3.064,3.7881
2,0.5141046,3028,0.4217736,0.34758480,0.8605,0.6976,0.6868,0.6793,0.46654324,3.028,3.6035
3,0.4889928,3084,0.3815316,0.3529032,0.7868,0.7213,0.6684,0.684,0.4571856,3.084,3.5445
4,0.557481,3063,0.4624152,0.3792654,0.9439,0.7724,0.7046,0.6859,0.48328514,3.063,3.7927
5,0.4170516,2953,0.3071016,0.32532,0.6062,0.6269,0.6276,0.661,0.4148436,2.953,3.1827
6,0.4438062,3081,0.3796674,0.288411,0.7711,0.5976,0.6787,0.6592,0.44739904,3.081,3.3658
7,0.4562568,2911,0.3546132,0.333696,0.6741,0.654,0.6382,0.6539,0.41731898,2.911,3.2741
8,0.4718538,2895,0.3685248,0.335208,0.7168,0.6528,0.6455,0.6539,0.42209245,2.895,3.3229
9,0.488118,3017,0.449811,0.28467,0.905,0.5676,0.6758,0.6533,0.44150014,3.017,3.455
10,0.5040012,3036,0.4494438,0.3017364,0.917,0.6155,0.6889,0.6585,0.45364065,3.036,3.5384
