subject,count
درخواست فارغ التحصیلی دانشجویان,186
درخواست گواهی اشتغال  به تحصیل,146
درخواست شرکت در امتحانات تابستان ۱۴۰۴,100
درخواست اخذ مجوز پیش دفاع,84
درخواست صدور کارت دانشجویی,84
درخواست معرفی به استاد,83
از من بپرس (اخذ راهنمایی اداری),79
درخواست انتخاب واحد- حذف و اضافه خارج از زمان,68
درخواست شرکت در امتحانات تابستان 1404,38
درخواست امتحان مجدد,34
ثبت و پیگیری انتقاد و پیشنهاد,30
امتحان مجدد,29
درخواست بازدید علمی انجمن علمی,28
درخواستهای مربوط به دانشجویان نمونه,27
درخواست اخذ وام دانشجویی,26
درخواست خلاصه وضعیت تحصیلی,25
درخواست تغییر رمز و مشکل در ورود به آموزشیار,24
درخواست کد اخلاق برای دانشجویان پزشکی  پرستاری,23
درخواست اخذ کد پایان نامه برای دانشجویان کارشناسی ارشد و دکتری,21
امتحانات معوق,20
درخواست مهمانی و انتقال,19
درخواست فرم آمادگی دفاع,17
درخواست اینترنت دانشجویی,17
درخواست معادلسازی دروس,16
درخواست برگزاری امتحان مجدد,16
درخواست تخفیف شهریه ( چند دانشجویی),15
درخواست کارآموزی، کارورزی، طرح پویش,14
سایر,13
درخواست شرکت در امتحانات تابستان۱۴۰۴,13
درخواست تکمیل پرونده,12
درخواست اصلاح کاربری سامانه سامد,12
درخواست ارسال پرونده دانشجویان انتقالی به واحد دیگر,10
انتخاب واحد ترم تابستان,10
درخواست ترم تابستان,10
درخواست شرکت در امتحانات عمومی تابستان ۱۴۰۴,9
اخذ ترم تابستان,9
درخواست اخذ معرفی نامه جهت جمع آوری داده از بیمارستانها، دانشجویان پزشکی و پرستاری,9
درخواست تاییدیه ممتازی,9
فرم آمادگی دفاع,9
تکمیل پرونده دانشجو,9
انتخاب واحد ترم تابستان ,8
درخواست ریز نمرات داخل کشور,8
درخواست مجوز انتخاب واحد ترم تابستان,7
درخواست شرکت در امتحانات تابستان,7
درخواست همیار دانشجو ( کاردانشجویی),7
درخواست دریافت  گواهی کارگاهها,7
درخواست فعالسازی رمز عبور ,7
تاریخ شروع امتحانات کی است؟,6
انتخاب واحد,6
درخواست فعالسازی رمز عبور,6
درخواست امتحان مجدد ,6
درخواست برگزاری امتحان مجدد ویژه دانشجویان غیر پزشکی,6
درخواست شرکت در امتحانات تابستان1404,6
درخواست بررسی سرترم,6
درخواست ویرایش اطلاعات دانشجویی(شامل : تغییر شماره همراه ، اصلاح اطلاعات شناسنامه ای ، ),6
امتحان مجدد ,6
درخواست تائید مراحل واریز هزینه فارغ التحصیلی از طریق سامانه آموزشیار,6
درخواست امتحان مجدد دروس عمومی,6
اخذ ترم تابستانه,5
در خواست ارسال و دریافت نمرات مهمانی,5
ارائه ترم تابستان,5
درخواست مرخصی تحصیلی,5
مجوز انتخاب واحد ترم تابستان,5
درخواست ارائه ترم تابستان,5
در چه صورت امکان اخذ ۲۳ واحد وجود دارد؟,5
تاریخ امتحانات,5
درخواست معافیت تحصیلی,5
درخواست انتخاب واحد ترم تابستان,5
درخواست فرم امادگی دفاع,5
درخواست مدرک تحصیلی,5
درخواست برگزاری جشن های روزهای خاص,5
مجوز انتخاب واحد بیش از سقف مجاز ( ترم اخری ),5
درخواست تکمیل پرونده ,5
درخواست تائیدیه تحصیلی,5
امتحان مجدد دروس عمومی,5
درخواست تخفیف شهریه  ( ازدواج دانشجویی),5
درخواست پشتیبانی سامانه های مجازی آموزش الکترونیکی (وادانا),5
شرکت در امتحانات تابستان ۱۴۰۴,5
درخواست امتحان مجدد به دلیل شرایط جنگی,5
مجوز ترم تابستان,4
درخواست تکمیل پرونده دانشجو,4
مجوز انتخاب واحد بیش از سقف مجاز (ترم آخری ),4
درخواست اخذ واحد ترم تابستان,4
درخواستهای سلف دانشجویی,4
مجوز انتخاب واحد,4
بررسی دروس توسط کارشناس برای امضا فرم آمادگی دفاع ,4
بررسی اتصال به سامانه,4
درخواست شرکت در امتحانات مجدد نیمسال دوم ۱۴۰۳,4
درخواست شرکت در امتحانات مجدد دروس عمومی,4
تاریخ شروع امتحانات,4
درخواست ترم تابستان ,4
سلام و وقت بخیر احتراماً، خواهشمندم در صورت امکان انتخاب واحد ترم تابستان را برای اینجانب فعال بفرمایید تا بتوانم دروس مورد نظر را انتخاب کنم.,4
برگزاری مجدد امتحانات عمومی کنسل شده دانشجویان دانشکده پزشکی,4
درخواست برگزاری مجدد آزمون پایان ترم دروس عمومی ۱۴۰۴,4
درخواست برای ترم تابستان,4
پایان نامه,4
درخواست برگزاری مجدد امتحانات,4
بدون موضوع,3
درخواست انتخاب واحد ازمون جامع دکتری,3
مجوز انتخاب واحد بیش از سقف مجاز (ترم آخری),3
درخواست فعالسازی ایمیل دانشجویی,3
تاریخ امتحانات کی هست,3
مجوز ترم آخر,3
اخذ ترم تابستان ,3
درخواست شرکت در آزمون تابستان ,3
درخواست شرکت در امتحانات مجدد نیمسال دوم 1403,3
درخواست نوبت دفاع از عنوان,3
امتحان,3
درخواست تاییدیه سلامت روان ( دانشجویان پزشکی),3
درخواست تعویق امتحانات پایان ترم,3
درخواست فعال سازی رمز عبور,3
برگزاری مجدد امتحانات عمومی,3
در خواست شرکت در امتحانات تابستان 1404,3
درخواست انتخاب واحد ترم تابستان ,3
درخواست اخذ کپی مدرک تحصیلی قبلی,3
افزایش سقف واحد,3
مجوز انتخاب واحد بیش از سقف مجاز(ترم آخری),3
درخواست اخذ ترم تابستان,3
برگزاری اردوی علمی,3
درخواست برگزاری امتحان مجدد ,3
درخواست فعالسازی سرویس درخواست,3
درخواست صدور مجوز انتخاب واحد ترم تابستان,3
درخواست ارائه ترم تابستان ,3
تست,3
درخواست شرکت در آزمون تابستان پایان ترم دروس عمومی ,3
درخواست شرکت در امتحانات مجدد تابستان ۴۰۴,3
بررسی دروس توسط کارشناس,3
درخواست برگزاری مجدد امتحانات عمومی کنسل شده دانشجویان دانشکده پزشکی,3
درخواست شرکت در امتحانات مجدد تابستان ۱۴۰۴ ,3
تکمیل پرونده دانشجو ,3
تکمیل پرونده,3
درخواست شرکت در امتحان مجدد,3
در خواست امتحان مجدد به دلیل شرایط جنگی,3
درخواست معرفی نامه,2
درخواست ثبت نام و انتخاب واحد ترم تابستان ۱۴۰۴,2
برگزاری مجدد امتحانات عمومی ,2
درخواست امتحانات تابستان ۱۴۰۴,2
ایمیل دانشجویی,2
درخواست شرکت در امتحان عمومی به دلیل تعویق مربوط به اوضاع کشور,2
امتحان سنجش,2
درخواست امتحان مجدد برای دانشجویان غیر بومی,2
سنجش و اندازه گیری,2
دریافت کد اخلاق ,2
درخواست برگزاری کارگاه، سخنرانی، همایش,2
درخواست بررسی انتخاب استاد مشاور آمار (ترجیحا جناب آقای مهندس احمدیه),2
مجوز انتخاب واحد بیش از سقف مجاز(ترم اخری),2
درخواست برگزاری مجدد امتحانات پایان ترم,2
درخواست ثبت نام و مجوز انتخاب واحد ترم تابستان,2
برگزاری امتحان جبرانی ,2
در خواست شرکت در امتحانات تابستان ۱۴۰۴,2
 درخواست برگزاری مجدد امتحان عمومی  دانشجویان دانشکده پزشکی علی بن ابی طالب ,2
درخواست برگزاری مجدد امتحانات عمومی کنسل شده دانشجویان پرستاری دانشکده پزشکی علی ابن ابیطالب واحد آزاد یزد,2
درخواست برگذاری مجدد امتحان که در تاریخ ۲۵/۰۳/۱۴۰۴ برگذار شده.,2
درخواست امتحان مجدد برای دانشجویان خوابگاهی ساکن خارج استان یزد ,2
درخواست امتحان مجدد برای دانشجویان خوابگاهی ساکن خارج استان یزد,2
درخواست تاسیس انجمن علمی,2
درخواست برگزاری مجدد امتحانات عمومی دانشجویان دانشکده علوم پزشکی علی ابن ابی طالب ,2
ترم تابستانه ,2
شرکت در امتحان تابستان دروس عمومی,2
امتحانات,2
درخواست مجوز ترم آخر,2
از کارشناس محترم تقاضا دارم تا مجوز انتخاب واحد مربوط به ترم 4033 را که به اشتباه درخواست داده ام را برای بنده حذف کند,2
شرکت در امتحانات تابستان 1404,2
درخواست بررسی پروپوزال در شورای پژوهشی جهت دریافت کد اخلاق,2
درخواست شرکت در آزمون تابستان 1404,2
موضوع : درخواست برگزاری امتحان دروس عمومی,2
درخواست امتحان مجدد در شهریور,2
درخواست برای ترم تابستان ,2
درخواست معرفی نامه جهت انجام پایان نامه,2
درخواست امتحان تابستانه,2
درخواست فعالسازی ایمیل,2
تخفیف شهریه فرزند هیات علمی,2
درخواست شرکت در امتحان  عمومی تابستان ۱۴۰۴,2
درخواست اخذ مجوز انتخاب واحد ترم تابستان ۱۴۰۴,2
درخواست مجوز ترم تابستان ,2
درخواست مربوط به امتحانات مجدد شهریور ماه ,2
عدم شرکت در آزمون پایان ترم,2
درخواست شرکت در امتحانات تابستان ,2
درخواست اخذ واحد در ترم تابستان,2
درخواست تعویق امتحانات ترم برای دانشجویان غیر بومی,2
درخواست شرکت در امتحان دانش خانواده و جمعیت در تابستان ۱۴۰۴,2
درخواست شرکت در امتحانات تابستان ۱۴۰۴ در درس دانش خانواده و جمعیت,2
اعلام آمادگی دفاع پایان نامه,2
تعیین داور,2
درخواست شرکت در امتحانات پایان ترم دروس عمومی,2
درخواست برگزاری جلسه دفاع پایان نامه,2
درخواست ترم تابستانه,2
تمدید رساله دکتری,2
امتحانات معوق ,2
درخواست برگزاری امتحان مجدد ویژه دانشجویان غیر پزشکی و پزشکی غیر بومی,2
فعالسازی رمز عبور,2
سلام و درود  احتراما بنا به برگزاری نمایشگاه کتاب در نیمه دوم اردیبهشت ماه در تهران، خواهشمندیم نسبت به برگزاری تور علمی بازدید از این نمایشگاه اقدامات لازم را مبذول بفرمایید‌.,2
درخواست مجدد امتحان عمومی ,2
درخواست امتحان مجدد در تابستان,2
درخواست شرکت در امتحانات مجدد نیمسال دوم 1403(غیر بومی های استان یزد),2
اردوی علمی ,2
درخواست دفاع,2
شرکت در ازمون‌های دروس عمومی,2
شرکت در امتحانات عمومی تابستان ۱۴۰۴,2
ترم تابستانه,2
درخواست برگزاری امتحان عمومی در تابستان,2
درخواست ترم تابستانه ۱۴۰۴,2
درخواست ,2
شرکت در امتحان عمومی در تابستان,2
درخواست شرکت در امتحانات تابستان ۱۴۰۴ ( ویژه دانشجویان غیر بومی استان یزد),2
مجوز انتخاب واحد بیش از سقف مجاز (ترم آخر),2
درخواست مشاوره انصراف و افت تحصیلی و تغییر رشته,2
برگزاری مجدد امتحان عمومی,2
در خواست امتحان مجدد,2
برگزاری امتحان مجدد دانشجویان بومی و غیر بومی ,2
درخواست تمدید پایان نامه,2
تعیین استاد راهنما,2
 درخواست برگزاری امتحان مجدد ویژه دانشجویان غیر پزشکی و پزشکی غیر بومی ,2
جهت ثبت نام در ترم تابستان,2
شرکت در امتحانات عمومی لغو شده از طرف دانشکده,2
امتحان های تیر ک برگذار نشده عمومی ها درخواست امتحان,2
امتحان های تیر ک برگذار نشد برا پیراپزشکی,2
بدینوسیله درخواست امتحان مجدد در تابستان 1404 به دلیل عدم شرکت در امتحانات عمومی تیر ماه 1404 را اعلام میدارم.,2
ثبت دفاع پروپوزال ,2
درخواست شرکت درامتحانات تابستان ۱۴۰۴,2
درخواست مجوز انتخاب واحد ترم تابستان 1404,2
با سلام درود  ترم اخر هستم با 23 واحد باقی مانده. در خواست مجوز برای درس معارف بیشتر از 2 واحد را دارم ,2
درخواست برگزاری آزمون مجدد,2
در خواست مجوز ترم تابستان,2
مجوز انتخاب واحد تابستان,2
درخواست شرکت در امتحانات عمومی مجدد,2
درخواست کارت دانشجویی,2
درخواست شرکت در امتحانات تابستان ۱۴۰۴ ,2
تاریخ امتحانات ,2
درخواست امتحانات مجدد در تابستان 1404,2
درخواست شرکت در دو امتحان تاریخ تحلیلی صدر اسلام استاد ابوذر صانعی و آیین زندگی (اخلاق کاربردی) استاد علیرضا شیبانی در تابستان ۱۴۰۴,2
تخفیف شهریه ,2
درخواست انتخاب واحد نیمسال اول۱۴۰۴,2
ترم تابستان,2
درخواست شرکت در امتحانات مجدد دروس عمومی ,2
فعالسازی ایمیل دانشجویی,2
درخواست افزایش سقف انتخاب واحد,2
درخواست برگزاری مجدد آزمون پایان ترم دروس عمومی,2
درخواست شرکت درامتحانات در تابستان ,2
درخواست مجدد امتحان در تابستان ,2
درخواست مجدد امتحان در تابستان,2
اطلاعات را در لینک مربوطه تکمیل کردم( برگزاری امتحانات عمومی در تابستان),2
درخواست ایمیل دانشجویی,2
درخواست مجدد امتحان,2
انتخاب واحد ,2
شرکت در امتحانات دروس عمومی در تابستان ۱۴۰۴,2
اخذ مجوز ترم آخر ,2
درخواست امتحان مجدد در تابستان ,2
درخواست شرکت در امتحانات تابستان ۱۴۰۴(فرم مربوطه پر گردید),2
درخواست امتحان مجدد برای درس عمومی تاریخ تحلیلی,2
افزایش سقف انتخاب واحد,2
امتحان درس انس با قرآن,2
کد اخلاق,2
درخواست انتخاب واحد برای ترم تابستان ,2
مجوز ترم آخر ,2
درخواست انواع مشاوره ( تحصیلی، ازدواج و ...),2
درخواست شرکت در آزمون تابستان,2
درخواست شرکت در امتحان مجدد دروس عمومی,2
.,2
در خواست شرکت در امتحان ترم تابستان,2
تاریخ شروع امتحانات کی هست؟,2
ثبت نام در ترم تابستان,2
درخواست اعلام آمادگی دفاع,2
ارائه ترم تابستان ,2
درخواست ثبت مجوز انتخاب رشته ترم تابستان,1
درخواست شرکت در امتحانات تابستان ۱۴۰۴ ( ویژه دانشجویان غیر بومی استان یزد)درس مدنی ۵،فرم مربوطه تکمیل شده است و در پیوست همین درخواست است.,1
