run_id,scenario_type,scenario_param,T,L,C,p,h,w,s,demand_volatility,optimal_cost,collection_cost,holding_cost,shortage_cost,waste_cost,total_collected,total_shortage,total_waste,total_demand,service_level,shortage_frequency,avg_inventory
1,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,87.61930641783725,152330.0,7980.0,150.0,144200.0,0.0,399.0,721.0,0.0,1120.0,0.35625,0.5,5.357142857142857
2,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,82.53277023864706,141978.0,8000.0,178.0,133800.0,0.0,400.0,669.0,0.0,1069.0,0.37418147801683815,0.5,6.357142857142857
3,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,81.7718328830975,144562.0,8000.0,162.0,136400.0,0.0,400.0,682.0,0.0,1082.0,0.36968576709796674,0.5,5.785714285714286
4,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,86.02624777428369,147560.0,8000.0,160.0,139400.0,0.0,400.0,697.0,0.0,1097.0,0.3646308113035551,0.5714285714285714,5.714285714285714
5,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,90.3839881069786,151940.0,7980.0,160.0,143800.0,0.0,399.0,719.0,0.0,1118.0,0.35688729874776387,0.5,5.714285714285714
6,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,81.40325420963445,144722.0,7980.0,142.0,136600.0,0.0,399.0,683.0,0.0,1082.0,0.3687615526802218,0.5714285714285714,5.071428571428571
7,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,84.38468765246502,145762.0,8000.0,162.0,137600.0,0.0,400.0,688.0,0.0,1088.0,0.36764705882352944,0.5,5.785714285714286
8,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,87.8210146391221,147936.0,7980.0,156.0,139800.0,0.0,399.0,699.0,0.0,1098.0,0.3633879781420765,0.5,5.571428571428571
9,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,84.99903961042075,149566.0,8020.0,146.0,141400.0,0.0,401.0,707.0,0.0,1108.0,0.361913357400722,0.5,5.214285714285714
10,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,89.46017241756017,149142.0,7980.0,162.0,141000.0,0.0,399.0,705.0,0.0,1104.0,0.36141304347826086,0.5,5.785714285714286
11,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,86.3679834859456,146548.0,8000.0,148.0,138400.0,0.0,400.0,692.0,0.0,1092.0,0.3663003663003663,0.5714285714285714,5.285714285714286
12,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,84.71732709548904,148738.0,8000.0,138.0,140600.0,0.0,400.0,703.0,0.0,1103.0,0.3626473254759746,0.5,4.928571428571429
13,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,90.26437926039986,153334.0,7980.0,154.0,145200.0,0.0,399.0,726.0,0.0,1125.0,0.3546666666666667,0.5,5.5
14,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,87.45179430137847,148160.0,8000.0,160.0,140000.0,0.0,400.0,700.0,0.0,1100.0,0.36363636363636365,0.5,5.714285714285714
15,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,82.1961317923943,144372.0,8020.0,152.0,136200.0,0.0,401.0,681.0,0.0,1082.0,0.3706099815157117,0.5,5.428571428571429
16,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,85.3436032297963,147918.0,7980.0,138.0,139800.0,0.0,399.0,699.0,0.0,1098.0,0.3633879781420765,0.5714285714285714,4.928571428571429
17,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,82.75473967559509,141742.0,8000.0,142.0,133600.0,0.0,400.0,668.0,0.0,1068.0,0.37453183520599254,0.5714285714285714,5.071428571428571
18,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,82.3009968447081,141550.0,8000.0,150.0,133400.0,0.0,400.0,667.0,0.0,1067.0,0.37488284910965325,0.5714285714285714,5.357142857142857
19,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,84.89188802860508,145944.0,7980.0,164.0,137800.0,0.0,399.0,689.0,0.0,1088.0,0.36672794117647056,0.5714285714285714,5.857142857142857
20,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,86.43698306174461,149338.0,7980.0,158.0,141200.0,0.0,399.0,706.0,0.0,1105.0,0.3610859728506787,0.5714285714285714,5.642857142857143
21,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,83.8120163319834,145946.0,8000.0,146.0,137800.0,0.0,400.0,689.0,0.0,1089.0,0.3673094582185491,0.5,5.214285714285714
22,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,88.49976939898471,152526.0,7980.0,146.0,144400.0,0.0,399.0,722.0,0.0,1121.0,0.3559322033898305,0.5,5.214285714285714
23,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,86.21555804481922,151748.0,8000.0,148.0,143600.0,0.0,400.0,718.0,0.0,1118.0,0.35778175313059035,0.5714285714285714,5.285714285714286
24,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,83.98569484606,147336.0,7980.0,156.0,139200.0,0.0,399.0,696.0,0.0,1095.0,0.3643835616438356,0.5714285714285714,5.571428571428571
25,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,85.96653359278355,145544.0,7980.0,164.0,137400.0,0.0,399.0,687.0,0.0,1086.0,0.3674033149171271,0.5,5.857142857142857
26,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,83.64676091902722,146336.0,8000.0,136.0,138200.0,0.0,400.0,691.0,0.0,1091.0,0.36663611365719523,0.5,4.857142857142857
27,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,90.44606014591442,155746.0,8000.0,146.0,147600.0,0.0,400.0,738.0,0.0,1138.0,0.351493848857645,0.5714285714285714,5.214285714285714
28,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,90.95345299792032,150952.0,8000.0,152.0,142800.0,0.0,400.0,714.0,0.0,1114.0,0.3590664272890485,0.5714285714285714,5.428571428571429
29,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,81.96306410543117,142744.0,8000.0,144.0,134600.0,0.0,400.0,673.0,0.0,1073.0,0.3727865796831314,0.5714285714285714,5.142857142857143
30,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,83.86678576827683,146360.0,8000.0,160.0,138200.0,0.0,400.0,691.0,0.0,1091.0,0.36663611365719523,0.5,5.714285714285714
31,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,81.49549255095309,144748.0,8000.0,148.0,136600.0,0.0,400.0,683.0,0.0,1083.0,0.36934441366574333,0.6428571428571429,5.285714285714286
32,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,83.60917950775011,143720.0,7980.0,140.0,135600.0,0.0,399.0,678.0,0.0,1077.0,0.37047353760445684,0.5714285714285714,5.0
33,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,83.7679009196828,145760.0,8000.0,160.0,137600.0,0.0,400.0,688.0,0.0,1088.0,0.36764705882352944,0.5,5.714285714285714
34,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,80.01581476336348,142336.0,7980.0,156.0,134200.0,0.0,399.0,671.0,0.0,1070.0,0.3728971962616822,0.5714285714285714,5.571428571428571
35,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,81.02421532719558,143542.0,8000.0,142.0,135400.0,0.0,400.0,677.0,0.0,1077.0,0.3714020427112349,0.5714285714285714,5.071428571428571
36,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,79.62914680196042,139140.0,8000.0,140.0,131000.0,0.0,400.0,655.0,0.0,1055.0,0.3791469194312796,0.5,5.0
37,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,83.64310113420555,144542.0,7980.0,162.0,136400.0,0.0,399.0,682.0,0.0,1081.0,0.3691026827012026,0.5,5.785714285714286
38,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,84.22709826197655,143130.0,7980.0,150.0,135000.0,0.0,399.0,675.0,0.0,1074.0,0.3715083798882682,0.5,5.357142857142857
