run_id,T,L,C,p,h,w,s,demand_t1,demand_t2,demand_t3,demand_t4,demand_t5,demand_t6,demand_t7,demand_t8,demand_t9,demand_t10,demand_t11,demand_t12,demand_t13,demand_t14,scenario_type,scenario_param
1,14,3,30,20,2.0,5,200,30,14,41,64,44,29,161,36,205,308,9,19,151,9,volatility,sigma_0.05
2,14,3,30,20,2.0,5,200,27,14,37,60,42,27,160,34,210,278,9,20,141,10,volatility,sigma_0.05
3,14,3,30,20,2.0,5,200,29,14,38,65,44,28,156,32,212,270,9,20,155,10,volatility,sigma_0.05
4,14,3,30,20,2.0,5,200,29,14,37,57,43,31,152,31,213,294,9,20,157,10,volatility,sigma_0.05
5,14,3,30,20,2.0,5,200,28,14,40,62,43,29,141,32,218,320,9,21,152,9,volatility,sigma_0.05
6,14,3,30,20,2.0,5,200,30,16,39,64,39,31,150,34,210,270,9,20,161,9,volatility,sigma_0.05
7,14,3,30,20,2.0,5,200,28,14,41,60,43,30,150,36,202,295,9,18,152,10,volatility,sigma_0.05
8,14,3,30,20,2.0,5,200,30,14,37,58,44,28,148,35,229,302,10,19,135,9,volatility,sigma_0.05
9,14,3,30,20,2.0,5,200,30,16,39,60,44,28,158,36,218,286,10,18,154,11,volatility,sigma_0.05
10,14,3,30,20,2.0,5,200,28,14,40,58,41,30,142,35,200,323,9,19,156,9,volatility,sigma_0.05
11,14,3,30,20,2.0,5,200,30,15,36,60,45,31,140,32,215,304,10,20,144,10,volatility,sigma_0.05
12,14,3,30,20,2.0,5,200,30,14,43,61,42,30,142,36,222,287,10,20,156,10,volatility,sigma_0.05
13,14,3,30,20,2.0,5,200,29,14,38,57,44,30,152,36,210,321,9,22,154,9,volatility,sigma_0.05
14,14,3,30,20,2.0,5,200,28,15,39,62,46,29,143,32,205,312,10,18,151,10,volatility,sigma_0.05
15,14,3,30,20,2.0,5,200,28,15,40,56,45,30,158,36,195,285,10,20,153,11,volatility,sigma_0.05
16,14,3,30,20,2.0,5,200,30,15,41,61,44,31,144,34,204,301,11,18,155,9,volatility,sigma_0.05
17,14,3,30,20,2.0,5,200,29,15,40,56,43,31,144,35,210,290,11,20,134,10,volatility,sigma_0.05
18,14,3,30,20,2.0,5,200,29,15,38,59,46,31,140,34,205,290,10,20,140,10,volatility,sigma_0.05
19,14,3,30,20,2.0,5,200,33,15,36,58,47,28,153,36,200,299,8,18,148,9,volatility,sigma_0.05
20,14,3,30,20,2.0,5,200,32,13,39,60,48,27,158,35,199,306,10,19,150,9,volatility,sigma_0.05
21,14,3,30,20,2.0,5,200,30,15,43,56,49,27,148,36,212,290,9,19,145,10,volatility,sigma_0.05
22,14,3,30,20,2.0,5,200,30,14,41,60,46,30,143,34,217,309,9,20,159,9,volatility,sigma_0.05
