lane_from,lane_to,total_vehicles,total_delay,avg_delay_per_vehicle,max_queue_length,mean_queue_length
8.0,16.0,103,10455.0,101.50485436893204,13,4.197109594540345
16.0,8.0,121,2244.5,18.549586776859503,7,1.1596074380165289
12.0,3.0,122,7259.5,59.50409836065574,14,3.0491390172196557
6.0,5.0,139,3025.0,21.762589928057555,15,1.3320123293703214
6.0,8.0,190,10439.5,54.944736842105264,20,4.216478190630048
4.0,3.0,117,5989.5,51.19230769230769,14,2.424119789558883
3.0,4.0,126,4000.0,31.746031746031747,8,1.842468908337172
5.0,6.0,135,1549.5,11.477777777777778,5,0.7575757575757576
8.0,6.0,206,7054.5,34.24514563106796,19,2.4194101508916326
18.0,20.0,107,6039.5,56.44392523364486,15,2.4794745484400655
24.0,13.0,128,1564.5,12.22265625,13,0.613484907879263
17.0,16.0,177,8634.0,48.779661016949156,16,3.7939367311072054
7.0,8.0,115,8375.0,72.82608695652173,15,3.112225938312895
13.0,24.0,108,3920.0,36.2962962962963,10,1.539670070699136
10.0,11.0,85,4079.5,47.99411764705882,12,1.9419324131366016
13.0,12.0,132,5514.5,41.77651515151515,11,2.3508098891730604
21.0,24.0,151,2580.0,17.08609271523179,9,0.9641255605381166
24.0,21.0,123,6660.0,54.146341463414636,14,2.6107408859270875
14.0,11.0,95,5529.5,58.205263157894734,14,2.651006711409396
19.0,15.0,116,6984.5,60.21120689655172,14,2.8971381169639154
22.0,15.0,117,6759.5,57.77350427350427,13,3.0097951914514693
16.0,10.0,87,6764.0,77.74712643678161,11,3.159738439981317
11.0,14.0,101,3455.0,34.20792079207921,8,1.4183087027914614
4.0,11.0,67,3389.5,50.58955223880597,12,1.5579044117647058
20.0,18.0,100,3560.0,35.6,13,1.4735099337748345
2.0,6.0,83,2855.0,34.397590361445786,8,1.3334890238206445
15.0,22.0,103,7929.5,76.98543689320388,13,3.20922703358964
6.0,2.0,91,534.5,5.873626373626373,7,0.24088248536695184
3.0,12.0,96,3774.5,39.317708333333336,12,1.4654503105590062
21.0,20.0,60,2879.5,47.99166666666667,8,1.2020033388981637
4.0,5.0,152,5809.0,38.2171052631579,14,2.5925925925925926
20.0,21.0,62,1784.5,28.782258064516128,8,0.7740676496097137
11.0,4.0,61,1899.5,31.139344262295083,8,0.9286412512218963
15.0,19.0,110,3679.5,33.45,12,1.4684756584197924
1.0,2.0,64,720.0,11.25,7,0.3205699020480855
11.0,12.0,60,1689.5,28.158333333333335,7,0.7328707718993929
11.0,10.0,60,4609.5,76.825,9,2.0709793351302785
12.0,13.0,116,2134.5,18.400862068965516,12,0.9339457567804025
10.0,16.0,77,4055.0,52.66233766233766,9,1.62786029706945
16.0,17.0,142,5064.5,35.66549295774648,15,1.761126564673157
5.0,4.0,148,4299.5,29.050675675675677,15,1.6725009723842863
17.0,19.0,140,5044.5,36.03214285714286,16,1.763369451240825
15.0,14.0,66,1864.5,28.25,7,0.7211910286156226
14.0,15.0,59,3024.5,51.26271186440678,5,1.1697602474864657
8.0,7.0,96,2540.0,26.458333333333332,16,1.015593762495002
3.0,1.0,78,1249.5,16.01923076923077,10,0.508957654723127
9.0,10.0,73,5849.5,80.13013698630137,10,2.570298769771529
18.0,7.0,144,2315.0,16.07638888888889,12,0.886633473764841
19.0,17.0,142,2204.5,15.524647887323944,6,0.8396801218583397
15.0,10.0,42,3075.0,73.21428571428571,9,1.5444500251130084
1.0,3.0,67,2055.0,30.671641791044777,6,1.0218796618597712
7.0,18.0,118,3505.0,29.703389830508474,14,1.3049143708116158
2.0,1.0,48,415.0,8.645833333333334,4,0.15421776291341507
12.0,11.0,41,2199.5,53.646341463414636,6,1.1758417958311063
9.0,5.0,51,1139.5,22.34313725490196,5,0.41973490427098675
10.0,9.0,74,2654.5,35.87162162162162,8,1.0552464228934817
21.0,22.0,88,4625.0,52.55681818181818,10,1.9756514310123878
10.0,15.0,37,1989.5,53.770270270270274,5,0.9539789069990412
18.0,16.0,63,3579.5,56.817460317460316,8,1.853961677887105
22.0,21.0,86,3689.5,42.901162790697676,11,1.650268336314848
16.0,18.0,67,1674.5,24.992537313432837,6,0.7155061939342161
5.0,9.0,38,949.5,24.986842105263158,5,0.5231277533039648
22.0,20.0,30,2270.0,75.66666666666667,3,1.0528756957328387
20.0,22.0,36,495.0,13.75,2,0.21099744245524296
23.0,14.0,40,1564.5,39.1125,6,0.823250920568122
14.0,23.0,32,1905.0,59.53125,5,0.952023988005997
22.0,23.0,33,970.0,29.393939393939394,6,0.5571510626076968
23.0,22.0,26,1239.5,47.67307692307692,5,0.6772255598033862
23.0,24.0,44,1024.5,23.28409090909091,4,0.49019607843137253
24.0,23.0,34,930.0,27.352941176470587,3,0.3449554896142433
19.0,20.0,15,1009.5,67.3,3,0.5471289274106176
20.0,19.0,11,204.5,18.59090909090909,2,0.16192733017377567
9.0,8.0,4,174.5,43.625,1,0.102880658436214
8.0,9.0,3,30.0,10.0,1,0.018738288569643973
