lane_from,lane_to,unique_vehicles,first_observation,last_observation,min_block,max_block,avg_block
1,2.0,64,35,2570,0,59,28.10806697108067
1,3.0,67,50,2250,0,39,16.558659217877096
2,1.0,48,45,3025,0,59,28.446786807208433
2,6.0,83,5,2385,0,49,21.266524064171122
3,1.0,78,165,2810,0,39,18.01605231866825
3,4.0,126,45,2405,0,39,16.641167328613367
3,12.0,96,25,2790,0,39,16.186748305270065
4,3.0,117,40,2700,0,39,15.421394395078606
4,5.0,152,55,2385,0,19,6.718004338394794
4,11.0,67,10,2475,0,59,25.127296027338744
5,4.0,148,40,2700,0,19,7.259836282017428
5,6.0,135,210,2445,0,39,18.34002111932418
5,9.0,38,230,2285,0,49,22.15713599231139
6,2.0,91,265,2725,0,49,23.89395568939557
6,5.0,139,115,2575,0,39,17.45356618247103
6,8.0,190,90,2655,0,19,5.978136562394887
7,8.0,115,50,2880,0,29,9.655287423974887
7,18.0,118,15,2790,0,19,7.150198938992043
8,6.0,206,10,3015,0,19,7.02016348773842
8,7.0,96,15,2655,0,29,12.221859221859221
8,9.0,3,70,2160,0,98,48.02970297029703
8,16.0,103,105,2835,0,49,17.359535012455023
9,5.0,51,60,3015,0,49,22.29695431472081
9,8.0,4,40,2230,0,98,45.02088167053364
9,10.0,73,15,2430,0,29,9.137586936800727
10,9.0,74,90,2745,0,29,11.561744228655185
10,11.0,85,20,2360,0,49,20.47486144101346
10,15.0,37,125,2500,0,59,24.80630284396618
10,16.0,77,20,2700,0,39,15.258674262040394
11,4.0,61,140,2475,0,59,26.540453074433657
11,10.0,60,35,2500,0,49,18.54631768026687
11,12.0,60,105,2700,0,59,26.91912512716175
11,14.0,101,45,2670,0,39,16.51881777588773
12,3.0,122,40,2610,0,39,14.918134221799143
12,11.0,41,45,2205,0,59,24.72869565217391
12,13.0,116,230,2655,0,29,12.803350515463917
13,12.0,132,25,2510,0,29,11.164971075204468
13,24.0,108,55,2790,0,39,16.29113924050633
14,11.0,95,155,2430,0,39,14.966789667896679
14,15.0,59,90,2915,0,49,20.11929725134599
14,23.0,32,195,2385,0,39,14.925634824667473
15,10.0,42,240,2520,0,59,23.611324376199615
15,14.0,66,10,2835,0,49,21.812122874382887
15,19.0,110,10,2655,0,29,11.705823544113972
15,22.0,103,45,2655,0,29,9.511053874221936
16,8.0,121,115,2290,0,49,22.71432983323039
16,10.0,87,230,2565,0,39,13.937253272387284
16,17.0,142,5,2970,0,19,6.923981191222571
16,18.0,67,215,2700,0,29,12.350471293916025
17,16.0,177,20,2385,0,19,6.197880539499036
17,19.0,140,20,2970,0,19,6.836566569226681
18,7.0,144,10,2710,0,19,8.059909228441756
18,16.0,63,15,2085,0,29,10.227981293842557
18,20.0,107,30,2655,0,39,15.111964873765093
19,15.0,116,25,2575,0,29,10.234942244224422
19,17.0,142,35,2750,0,19,8.032568238213399
19,20.0,15,140,2175,0,39,14.5275
20,18.0,100,5,2610,0,39,16.3855035279025
20,19.0,11,225,1680,0,38,17.342553191489362
20,21.0,62,60,2655,0,59,26.766633809758503
20,22.0,36,135,2720,0,49,23.08628904182107
21,20.0,60,60,2745,0,59,25.245124006742113
21,22.0,88,140,2570,0,19,6.068250377073906
21,24.0,151,20,2835,0,29,12.876649340263894
22,15.0,117,45,2430,0,29,10.32580310880829
22,20.0,30,35,2430,0,49,18.47956544231764
22,21.0,86,245,2570,0,19,6.5053497942386835
22,23.0,33,500,2430,0,39,16.95764394440768
23,14.0,40,250,2340,0,39,15.996820349761526
23,22.0,26,50,2070,0,38,15.266244057052297
23,24.0,44,30,2210,0,19,7.372865275142315
24,13.0,128,50,2790,0,39,18.28890942698706
24,21.0,123,55,2745,0,29,10.488245931283906
24,23.0,34,100,2885,0,19,7.338389731621937
