player_id,arrived_time,departed_time,wait_time,travel_time
1,0,150,0,150
2,0,150,0,150
3,2,155,1,153
5,2,155,1,153
4,2,160,2,158
6,5,160,1,155
7,6,165,2,159
8,6,165,2,159
10,7,170,3,163
9,7,170,3,163
12,8,175,4,167
11,7,175,4,168
13,8,180,5,172
14,8,180,5,172
16,9,185,6,176
15,8,185,6,177
17,9,190,7,181
18,11,190,6,179
19,11,195,7,184
20,12,195,7,183
21,12,200,8,188
22,13,200,8,187
24,14,205,9,191
23,13,205,9,192
26,14,210,10,196
25,14,210,10,196
35,19,215,10,196
27,14,215,11,201
36,19,220,11,201
28,15,220,11,205
40,21,225,11,204
29,15,225,12,210
42,23,230,12,207
30,15,230,13,215
43,23,235,13,212
31,15,235,14,220
44,23,240,14,217
32,16,240,15,224
48,25,245,14,220
33,16,245,16,229
49,27,250,15,223
34,18,250,17,232
52,28,255,16,227
37,20,255,17,235
53,28,260,17,232
38,21,260,18,239
54,28,265,18,237
39,21,265,19,244
58,31,270,18,239
41,21,270,20,249
59,32,275,19,243
45,24,275,21,251
60,33,280,20,247
46,24,280,22,256
61,33,285,21,252
47,25,285,22,260
62,33,290,22,257
50,27,290,23,263
63,34,295,23,261
51,27,295,24,268
64,34,300,24,266
55,29,300,25,271
66,35,305,24,270
56,30,305,25,275
67,36,310,25,274
57,30,310,26,280
68,37,315,26,278
65,34,315,27,281
69,38,320,27,282
70,38,320,27,282
71,40,325,27,285
72,40,325,27,285
73,40,330,28,290
74,40,330,28,290
76,41,335,29,294
75,40,335,29,295
78,42,340,30,298
77,42,340,30,298
81,44,345,31,301
79,42,345,31,303
84,45,350,31,305
80,44,350,32,306
87,46,355,32,309
82,44,355,33,311
90,47,360,33,313
83,45,360,33,315
91,47,365,34,318
85,45,365,34,320
93,48,370,35,322
86,46,370,35,324
96,49,375,36,326
88,46,375,36,329
98,50,380,36,330
89,46,380,37,334
101,51,385,37,334
92,47,385,38,338
103,52,390,38,338
94,48,390,39,342
104,52,395,39,343
95,49,395,40,346
109,53,400,40,347
97,50,400,40,350
110,54,405,41,351
99,50,405,41,355
113,54,410,42,356
100,51,410,42,359
114,55,415,42,360
102,52,415,43,363
115,55,420,43,365
105,53,420,44,367
117,57,425,44,368
106,53,425,45,372
119,57,430,45,373
107,53,430,46,377
120,58,435,46,377
108,53,435,47,382
121,58,440,47,382
111,54,440,48,386
122,59,445,48,386
112,54,445,49,391
123,60,450,48,390
116,57,450,49,393
124,61,455,49,394
118,57,455,50,398
125,61,460,50,399
126,62,460,50,398
129,62,465,51,403
127,62,465,51,403
130,62,470,52,408
128,62,470,52,408
133,65,475,52,410
131,64,475,53,411
134,66,480,53,414
132,64,480,54,416
135,67,485,54,418
137,67,485,54,418
136,67,490,55,423
142,71,490,54,419
138,68,495,56,427
144,72,495,55,423
139,68,500,57,432
146,73,500,56,427
140,69,505,58,436
147,74,505,57,431
141,69,510,59,441
148,74,510,58,436
143,72,515,59,443
149,76,515,58,439
145,72,520,60,448
150,77,520,59,443
152,78,525,60,447
151,78,525,60,447
153,78,530,61,452
154,78,530,61,452
157,80,535,61,455
155,78,535,62,457
158,80,540,62,460
156,79,540,63,461
159,80,545,63,465
163,82,545,63,463
160,81,550,64,469
165,84,550,64,466
161,81,555,65,474
166,84,555,65,471
162,81,560,66,479
175,90,560,64,470
164,82,565,67,483
178,90,565,65,475
167,85,570,67,485
180,92,570,66,478
168,85,575,68,490
183,93,575,67,482
169,86,580,69,494
184,94,580,68,486
170,86,585,70,499
185,94,585,69,491
171,86,590,71,504
187,95,590,69,495
172,87,595,72,508
189,96,595,70,499
173,87,600,73,513
191,97,600,71,503
174,87,605,74,518
193,98,605,72,507
176,90,610,74,520
198,99,610,73,511
177,90,615,75,525
199,99,615,74,516
179,91,620,76,529
200,100,620,74,520
181,92,625,77,533
201,100,625,75,525
182,93,630,78,537
202,100,630,76,530
186,94,635,79,541
203,101,635,77,534
188,96,640,79,544
206,102,640,78,538
190,96,645,80,549
207,104,645,79,541
192,98,650,81,552
210,104,650,80,546
194,98,655,82,557
211,105,655,80,550
195,98,660,83,562
212,106,660,81,554
196,98,665,84,567
213,106,665,82,559
197,98,670,85,572
218,109,670,83,561
204,101,675,85,574
220,110,675,83,565
205,102,680,86,578
221,110,680,84,570
208,104,685,87,581
227,114,685,85,571
209,104,690,88,586
228,114,690,86,576
214,107,695,88,588
230,115,695,86,580
215,108,700,89,592
233,116,700,87,584
216,108,705,90,597
235,118,705,88,587
217,109,710,91,601
236,118,710,89,592
219,110,715,91,605
238,119,715,90,596
222,112,720,92,608
241,120,720,90,600
223,112,725,93,613
244,122,725,91,603
224,113,730,94,617
246,123,730,92,607
225,113,735,95,622
247,124,735,93,611
226,114,740,96,626
248,124,740,94,616
229,115,745,96,630
249,125,745,94,620
231,116,750,97,634
250,126,750,95,624
232,116,755,98,639
252,126,755,96,629
234,116,760,99,644
254,127,760,97,633
237,118,765,100,647
255,128,765,98,637
239,119,770,101,651
259,131,770,98,639
240,120,775,101,655
261,131,775,99,644
242,120,780,102,660
262,132,780,100,648
243,122,785,103,663
264,132,785,101,653
245,122,790,104,668
265,133,790,102,657
251,126,795,104,669
266,134,795,103,661
253,126,800,105,674
268,135,800,103,665
256,130,805,105,675
275,140,805,103,665
257,130,810,106,680
276,140,810,104,670
258,131,815,107,684
277,140,815,105,675
260,131,820,108,689
278,141,820,106,679
263,132,825,109,693
279,141,825,107,684
267,134,830,110,696
280,141,830,108,689
269,136,835,110,699
283,142,835,109,693
270,136,840,111,704
285,143,840,110,697
271,136,845,112,709
288,145,845,110,700
272,138,850,113,712
289,145,850,111,705
273,139,855,114,716
290,146,855,112,709
274,139,860,115,721
293,148,860,113,712
281,141,865,115,724
294,149,865,114,716
282,142,870,116,728
299,150,870,114,720
284,142,875,117,733
303,152,875,115,723
286,144,880,118,736
305,153,880,116,727
287,144,885,119,741
307,154,885,117,731
291,146,890,119,744
310,156,890,117,734
292,147,895,120,748
315,158,895,118,737
295,149,900,121,751
316,158,900,119,742
296,149,905,122,756
318,160,905,119,745
297,149,910,123,761
321,162,910,120,748
298,150,915,123,765
322,163,915,121,752
300,150,920,124,770
326,164,920,122,756
301,151,925,125,774
329,165,925,122,760
302,151,930,126,779
330,166,930,123,764
304,152,935,127,783
334,167,935,124,768
306,154,940,128,786
336,167,940,125,773
308,155,945,128,790
338,168,945,126,777
309,156,950,129,794
339,169,950,127,781
311,157,955,130,798
340,169,955,128,786
312,157,960,131,803
341,169,960,129,791
313,157,965,132,808
345,176,965,128,789
314,158,970,133,812
346,177,970,129,793
317,159,975,134,816
350,177,975,130,798
319,161,980,134,819
351,178,980,131,802
320,161,985,135,824
353,179,985,132,806
323,163,990,136,827
355,180,990,132,810
324,163,995,137,832
358,182,995,133,813
325,163,1000,138,837
361,183,1000,134,817
327,165,1005,138,840
363,183,1005,135,822
328,165,1010,139,845
364,184,1010,136,826
331,166,1015,140,849
366,184,1015,137,831
332,166,1020,141,854
368,184,1020,138,836
333,166,1025,142,859
369,184,1025,139,841
335,167,1030,143,863
370,184,1030,140,846
337,168,1035,144,867
372,186,1035,140,849
342,170,1040,144,870
373,187,1040,141,853
343,173,1045,145,872
374,187,1045,142,858
344,174,1050,146,876
378,189,1050,143,861
347,177,1055,146,878
379,190,1055,143,865
348,177,1060,147,883
381,192,1060,144,868
349,177,1065,148,888
384,192,1065,145,873
352,179,1070,149,891
386,194,1070,146,876
354,179,1075,150,896
387,195,1075,146,880
356,180,1080,150,900
391,197,1080,147,883
357,181,1085,151,904
397,200,1085,147,885
359,182,1090,152,908
398,201,1090,148,889
360,183,1095,153,912
402,201,1095,149,894
362,183,1100,154,917
404,202,1100,150,898
365,184,1105,155,921
405,204,1105,151,901
367,184,1110,156,926
406,204,1110,152,906
371,185,1115,156,930
408,204,1115,153,911
375,187,1120,157,933
409,204,1120,154,916
376,187,1125,158,938
412,205,1125,154,920
377,189,1130,159,941
413,206,1130,155,924
380,192,1135,159,943
414,207,1135,156,928
382,192,1140,160,948
416,208,1140,157,932
383,192,1145,161,953
418,210,1145,157,935
385,193,1150,162,957
419,211,1150,158,939
388,195,1155,162,960
420,211,1155,159,944
389,196,1160,163,964
421,212,1160,160,948
390,197,1165,164,968
423,212,1165,161,953
392,198,1170,165,972
425,213,1170,162,957
393,198,1175,166,977
426,215,1175,162,960
394,198,1180,167,982
427,215,1180,163,965
395,198,1185,168,987
434,219,1185,164,966
396,199,1190,169,991
435,219,1190,165,971
399,201,1195,169,994
440,221,1195,165,974
400,201,1200,170,999
442,222,1200,166,978
401,201,1205,171,1004
444,224,1205,167,981
403,202,1210,172,1008
445,225,1210,167,985
407,204,1215,173,1011
446,225,1215,168,990
410,205,1220,173,1015
447,225,1220,169,995
411,205,1225,174,1020
448,226,1225,170,999
415,208,1230,175,1022
449,226,1230,171,1004
417,208,1235,176,1027
450,226,1235,172,1009
422,212,1240,176,1028
451,227,1240,173,1013
424,213,1245,177,1032
452,228,1245,174,1017
428,216,1250,177,1034
453,229,1250,175,1021
429,216,1255,178,1039
454,229,1255,176,1026
430,216,1260,179,1044
456,229,1260,177,1031
431,217,1265,180,1048
458,230,1265,177,1035
432,218,1270,181,1052
461,232,1270,178,1038
433,218,1275,182,1057
462,233,1275,179,1042
436,220,1280,182,1060
464,234,1280,180,1046
437,220,1285,183,1065
467,237,1285,180,1048
438,221,1290,184,1069
468,237,1290,181,1053
439,221,1295,185,1074
469,239,1295,182,1056
441,222,1300,186,1078
470,239,1300,183,1061
443,223,1305,187,1082
476,241,1305,183,1064
455,229,1310,187,1081
480,242,1310,184,1068
457,229,1315,188,1086
485,244,1315,185,1071
459,231,1320,188,1089
495,247,1320,185,1073
460,231,1325,189,1094
496,247,1325,186,1078
463,233,1330,190,1097
501,250,1330,186,1080
465,237,1335,190,1098
505,251,1335,187,1084
466,237,1340,191,1103
506,252,1340,188,1088
471,239,1345,192,1106
507,253,1345,189,1092
472,241,1350,192,1109
509,254,1350,190,1096
473,241,1355,193,1114
510,255,1355,190,1100
474,241,1360,194,1119
512,256,1360,191,1104
475,241,1365,195,1124
516,259,1365,192,1106
477,242,1370,196,1128
518,263,1370,192,1107
478,242,1375,197,1133
519,263,1375,193,1112
479,242,1380,198,1138
523,265,1380,193,1115
481,242,1385,199,1143
524,265,1385,194,1120
482,243,1390,200,1147
528,267,1390,195,1123
483,243,1395,201,1152
529,268,1395,196,1127
484,244,1400,202,1156
531,270,1400,196,1130
486,244,1405,203,1161
532,271,1405,197,1134
487,244,1410,204,1166
535,271,1410,198,1139
488,245,1415,204,1170
536,273,1415,199,1142
489,245,1420,205,1175
537,273,1420,200,1147
490,246,1425,206,1179
542,277,1425,200,1148
491,247,1430,207,1183
543,278,1430,201,1152
492,247,1435,208,1188
544,278,1435,202,1157
493,247,1440,209,1193
548,280,1440,202,1160
494,247,1445,210,1198
551,282,1445,203,1163
497,248,1450,211,1202
553,283,1450,204,1167
498,248,1455,212,1207
554,283,1455,205,1172
499,249,1460,213,1211
555,283,1460,206,1177
500,250,1465,213,1215
556,283,1465,207,1182
502,250,1470,214,1220
560,285,1470,207,1185
503,250,1475,215,1225
561,285,1475,208,1190
504,251,1480,216,1229
562,286,1480,209,1194
508,254,1485,217,1231
567,288,1485,210,1197
511,255,1490,217,1235
569,292,1490,210,1198
513,257,1495,218,1238
572,293,1495,211,1202
514,258,1500,219,1242
573,293,1500,212,1207
515,259,1505,220,1246
574,293,1505,213,1212
517,262,1510,220,1248
575,293,1510,214,1217
520,263,1515,221,1252
577,294,1515,215,1221
521,265,1520,221,1255
578,294,1520,216,1226
522,265,1525,222,1260
580,295,1525,216,1230
525,266,1530,223,1264
585,297,1530,217,1233
526,266,1535,224,1269
586,297,1535,218,1238
527,267,1540,225,1273
587,299,1540,219,1241
530,270,1545,225,1275
591,300,1545,219,1245
533,271,1550,226,1279
592,300,1550,220,1250
534,271,1555,227,1284
594,301,1555,221,1254
538,275,1560,227,1285
596,302,1560,222,1258
539,275,1565,228,1290
597,302,1565,223,1263
540,275,1570,229,1295
598,302,1570,224,1268
541,277,1575,230,1298
599,303,1575,225,1272
545,279,1580,231,1301
600,304,1580,226,1276
546,280,1585,231,1305
601,304,1585,227,1281
547,280,1590,232,1310
604,306,1590,227,1284
549,281,1595,233,1314
607,307,1595,228,1288
550,282,1600,234,1318
608,307,1600,229,1293
552,282,1605,235,1323
609,308,1605,230,1297
557,283,1610,236,1327
612,310,1610,230,1300
558,284,1615,237,1331
613,310,1615,231,1305
559,285,1620,237,1335
617,311,1620,232,1309
563,286,1625,238,1339
619,312,1625,233,1313
564,286,1630,239,1344
621,315,1630,233,1315
565,287,1635,240,1348
622,315,1635,234,1320
566,288,1640,241,1352
623,316,1640,235,1324
568,291,1645,241,1354
624,316,1645,236,1329
570,292,1650,242,1358
625,317,1650,237,1333
571,292,1655,243,1363
626,317,1655,238,1338
576,294,1660,244,1366
627,317,1660,239,1343
579,295,1665,244,1370
629,321,1665,239,1344
581,295,1670,245,1375
631,321,1670,240,1349
582,296,1675,246,1379
632,321,1675,241,1354
583,296,1680,247,1384
638,323,1680,242,1357
584,296,1685,248,1389
639,324,1685,243,1361
588,300,1690,248,1390
640,324,1690,244,1366
589,300,1695,249,1395
645,325,1695,244,1370
590,300,1700,250,1400
647,327,1700,245,1373
593,301,1705,251,1404
655,331,1705,245,1374
595,302,1710,252,1408
657,332,1710,246,1378
602,304,1715,253,1411
660,334,1715,247,1381
603,305,1720,253,1415
661,334,1720,248,1386
605,306,1725,254,1419
662,334,1725,249,1391
606,307,1730,255,1423
664,335,1730,249,1395
610,309,1735,256,1426
665,335,1735,250,1400
611,309,1740,257,1431
672,337,1740,251,1403
614,311,1745,257,1434
673,337,1745,252,1408
615,311,1750,258,1439
674,338,1750,253,1412
616,311,1755,259,1444
675,338,1755,254,1417
618,312,1760,260,1448
676,338,1760,255,1422
620,312,1765,261,1453
678,339,1765,256,1426
628,318,1770,261,1452
679,339,1770,257,1431
630,321,1775,261,1454
680,340,1775,257,1435
633,322,1780,262,1458
681,341,1780,258,1439
634,322,1785,263,1463
682,341,1785,259,1444
635,323,1790,264,1467
684,343,1790,260,1447
636,323,1795,265,1472
686,343,1795,261,1452
637,323,1800,266,1477
687,344,1800,262,1456
641,324,1805,267,1481
688,344,1805,263,1461
642,324,1810,268,1486
689,344,1810,264,1466
643,324,1815,269,1491
691,346,1815,264,1469
644,325,1820,269,1495
692,346,1820,265,1474
646,326,1825,270,1499
694,346,1825,266,1479
648,328,1830,271,1502
696,347,1830,267,1483
649,329,1835,272,1506
701,349,1835,268,1486
650,329,1840,273,1511
703,350,1840,268,1490
651,329,1845,274,1516
704,353,1845,269,1492
652,330,1850,274,1520
705,354,1850,270,1496
653,331,1855,275,1524
706,354,1855,271,1501
654,331,1860,276,1529
707,354,1860,272,1506
656,331,1865,277,1534
708,354,1865,273,1511
658,332,1870,278,1538
709,354,1870,274,1516
659,333,1875,279,1542
711,355,1875,274,1520
663,335,1880,279,1545
713,355,1880,275,1525
666,335,1885,280,1550
714,355,1885,276,1530
667,335,1890,281,1555
716,356,1890,277,1534
668,335,1895,282,1560
717,357,1895,278,1538
669,337,1900,283,1563
719,357,1900,279,1543
670,337,1905,284,1568
720,357,1905,280,1548
671,337,1910,285,1573
721,358,1910,281,1552
677,339,1915,286,1576
725,360,1915,281,1555
683,343,1920,286,1577
726,360,1920,282,1560
685,343,1925,287,1582
727,361,1925,283,1564
690,344,1930,288,1586
730,363,1930,284,1567
693,346,1935,288,1589
733,364,1935,285,1571
695,346,1940,289,1594
734,366,1940,285,1574
697,348,1945,290,1597
737,366,1945,286,1579
698,348,1950,291,1602
739,367,1950,287,1583
699,349,1955,292,1606
741,368,1955,288,1587
700,349,1960,293,1611
744,369,1960,289,1591
702,350,1965,293,1615
747,370,1965,289,1595
710,354,1970,294,1616
748,370,1970,290,1600
712,355,1975,294,1620
749,371,1975,291,1604
715,356,1980,295,1624
750,371,1980,292,1609
718,357,1985,296,1628
752,372,1985,293,1613
722,359,1990,297,1631
754,373,1990,294,1617
723,359,1995,298,1636
755,373,1995,295,1622
724,359,2000,299,1641
756,374,2000,296,1626
728,361,2005,299,1644
757,375,2005,296,1630
729,363,2010,300,1647
763,378,2010,297,1632
731,364,2015,301,1651
768,382,2015,297,1633
732,364,2020,302,1656
771,384,2020,298,1636
735,366,2025,302,1659
775,385,2025,298,1640
736,366,2030,303,1664
776,385,2030,299,1645
738,366,2035,304,1669
778,387,2035,300,1648
740,368,2040,305,1672
780,389,2040,301,1651
742,368,2045,306,1677
784,391,2045,301,1654
743,369,2050,307,1681
785,392,2050,302,1658
745,369,2055,308,1686
786,392,2055,303,1663
746,369,2060,309,1691
787,393,2060,304,1667
751,372,2065,309,1693
790,394,2065,305,1671
753,372,2070,310,1698
792,395,2070,305,1675
758,375,2075,310,1700
793,396,2075,306,1679
759,375,2080,311,1705
794,396,2080,307,1684
760,375,2085,312,1710
795,397,2085,308,1688
761,376,2090,313,1714
796,398,2090,309,1692
762,376,2095,314,1719
798,400,2095,309,1695
764,378,2100,315,1722
800,400,2100,310,1700
765,379,2105,316,1726
766,379,2110,317,1731
767,382,2115,317,1733
769,382,2120,318,1738
770,384,2125,319,1741
772,384,2130,320,1746
773,385,2135,320,1750
774,385,2140,321,1755
777,386,2145,322,1759
779,389,2150,323,1761
781,389,2155,324,1766
782,389,2160,325,1771
783,390,2165,325,1775
788,393,2170,326,1777
789,394,2175,327,1781
791,395,2180,327,1785
797,400,2185,327,1785
799,400,2190,328,1790
