lane_from,lane_to,unique_vehicles,first_observation,last_observation,min_block,max_block,avg_block
1,2,64,31,2451,0,0,0.0
1,3,70,39,2169,0,33,0.5099310344827587
2,1,47,45,3061,0,0,0.0
2,6,81,2,2316,0,34,0.5089335308276245
3,1,82,56,2743,0,0,0.0
3,4,112,169,2361,0,34,0.5211581291759465
3,12,115,21,2693,0,34,0.44650188865166696
4,3,109,37,2562,0,34,0.547273030986386
4,5,143,51,2438,0,35,0.8574742110724531
4,11,70,9,2730,0,36,0.21099817815706204
5,4,143,38,2410,0,39,1.1474110500433903
5,6,121,150,2367,0,38,0.8010595339532471
5,9,42,158,2262,0,33,0.29394109923091355
6,2,88,263,3129,0,0,0.0
6,5,121,111,2451,0,34,0.3966572957985135
6,8,172,87,2463,0,37,1.5449798243531925
7,8,108,47,2713,0,31,0.5517930498501166
7,18,113,12,2624,0,34,0.670010349494467
8,6,183,8,2870,0,35,1.0810516772438803
8,7,88,11,2609,0,0,0.0
8,9,5,69,2176,0,0,0.0
8,16,88,102,2741,0,34,0.4754521963824289
9,5,63,58,2768,0,34,0.4161571243283306
9,8,5,37,2172,0,34,0.2708238507055075
9,10,72,14,2253,0,71,4.685616629464286
10,9,80,88,2520,0,33,0.5327521394865232
10,11,96,16,2418,0,37,0.8081017612524461
10,15,42,124,2399,0,31,0.17003521665901086
10,16,83,18,2488,0,36,0.687092135825683
10,17,3,566,2305,0,0,0.0
11,4,66,137,2678,0,35,0.3975500047851469
11,10,66,34,2420,0,66,2.0739987572727787
11,12,64,102,2688,0,33,0.2315398120417226
11,14,110,41,2953,0,27,0.2526418181014281
12,3,136,39,2467,0,37,0.2765795131423816
12,11,54,45,2563,0,34,0.3519966321866731
12,13,120,212,2593,0,0,0.0
13,12,140,21,2558,0,35,0.565893160346554
13,24,113,54,2598,0,41,0.6088914360569838
14,11,92,155,2456,0,34,0.2608274737592989
14,15,54,87,2775,0,36,0.22505261630016693
14,23,43,191,2913,0,30,0.4099770642201835
15,10,54,205,2385,0,63,1.8650136145066913
15,14,53,28,2832,0,34,0.26237733343171254
15,19,111,8,2592,0,36,0.4961114530297096
15,22,102,9,2686,0,34,0.5435090092860217
16,8,101,144,2730,0,33,0.10576522693719953
16,10,90,115,2351,0,68,2.1907434811450734
16,17,124,3,2878,0,36,1.2988706079196877
16,18,65,216,2641,0,33,0.1710165532649538
17,10,11,119,2068,0,31,0.24954001839926404
17,16,152,16,2607,0,36,1.3796251543955749
17,19,124,20,3003,0,32,0.13181473044798786
18,7,140,6,2806,0,0,0.0
18,16,60,14,2289,0,35,0.8733197556008147
18,20,107,29,2513,0,103,4.774874689189723
19,15,113,23,2561,0,35,0.654823177818363
19,17,127,33,2652,0,35,0.49110090426295394
19,20,27,144,2768,0,91,2.060665712240515
20,18,100,2,2689,0,35,0.5575560937714208
20,19,20,222,2170,0,35,0.4865994590607327
20,21,64,58,2666,0,34,0.20480622445462157
20,22,40,133,2275,0,36,0.18007029150299772
21,20,56,59,2541,0,62,0.5369566443028697
21,22,77,140,2426,0,35,1.2122463426144408
21,24,143,19,2826,0,35,0.5523175965665236
22,15,119,45,2453,0,38,0.520914164230667
22,20,37,35,2442,0,86,3.4007670182166825
22,21,76,148,2555,0,38,1.108187477974862
22,23,55,58,2655,0,35,0.47797775165053813
23,14,47,161,2334,0,34,0.22498962224989622
23,22,55,47,2367,0,34,0.35066515955134336
23,24,66,28,2620,0,35,0.9730822873082288
24,13,137,47,2749,0,0,0.0
24,21,108,109,2759,0,38,1.134389115039313
24,23,59,52,2153,0,35,0.514448051948052
