lane_from,lane_to,total_vehicles,total_delay,avg_delay_per_vehicle,max_queue_length,mean_queue_length
12,3,136,28408.5,208.8860294117647,27,11.695759571840263
24,13,137,27697.5,202.17153284671534,29,10.247132815390307
5,6,121,26337.5,217.66528925619835,25,11.874661857529306
16,8,101,26060.5,258.0247524752475,22,10.140466926070038
6,5,121,25511.5,210.8388429752066,20,10.89790687740282
10,11,96,24993.5,260.3489583333333,21,10.401165210153975
18,20,107,24177.5,225.95794392523365,23,9.729577464788733
13,24,113,23950.5,211.9513274336283,24,9.411001964636542
3,12,115,23854.5,207.4304347826087,22,8.924429479985035
4,3,109,23450.5,215.1422018348624,22,9.283847980997624
3,4,112,23319.5,208.20982142857142,19,10.633834929320566
21,24,143,22754.5,159.12237762237763,24,8.103632478632479
13,12,140,22380.5,159.8607142857143,19,8.818360914105595
11,14,110,22267.5,202.4318181818182,20,7.644352900789564
8,16,88,21973.5,249.69886363636363,16,8.32348484848485
6,2,88,22006.5,250.07386363636363,18,7.675967910708057
8,6,183,21236.5,116.0464480874317,19,7.477816901408451
20,18,100,21367.5,213.675,23,7.949404761904762
2,6,81,21177.5,261.45061728395063,20,9.14816414686825
6,8,172,20152.5,117.16569767441861,22,8.478334034497266
11,4,66,20609.5,312.2651515151515,18,8.107789142407553
4,11,70,20506.5,292.95,15,7.6234200743494425
20,21,64,20062.5,313.4765625,22,7.689919509390571
14,11,92,19303.5,209.82065217391303,21,8.38575152041703
16,10,90,18853.5,209.48333333333332,20,8.428252123379526
1,2,64,19373.5,302.7109375,19,8.002478314745973
11,12,64,19104.5,298.5078125,16,7.385001932740626
22,15,119,18249.5,153.35714285714286,13,7.575757575757576
17,16,152,17855.5,117.47039473684211,16,6.888888888888889
10,16,83,17620.5,212.29518072289156,18,7.13112100364225
12,13,120,17954.5,149.62083333333334,21,7.537783375314861
19,15,113,17514.5,154.99557522123894,17,6.898385191020087
7,8,108,17441.5,161.49537037037038,18,6.539932508436445
24,21,108,17232.5,159.5601851851852,16,6.500565824217277
15,19,111,17344.5,156.25675675675674,16,6.709864603481625
21,20,56,17393.5,310.5982142857143,19,7.005235602094241
11,10,66,17076.5,258.7348484848485,20,7.154168412232928
5,4,143,16626.5,116.26923076923077,20,7.006742520016856
15,10,54,16549.5,306.47222222222223,15,7.588262265016048
12,11,54,16312.5,302.0833333333333,19,6.475982532751091
4,5,143,15820.5,110.63286713286713,17,6.625209380234506
3,1,82,16214.5,197.7378048780488,21,6.032366071428571
15,22,102,15683.5,153.75980392156862,18,5.856609410007469
9,5,63,15749.5,249.9920634920635,16,5.809664330505348
18,7,140,14734.5,105.24642857142857,15,5.260621206711889
1,3,70,14139.5,201.99285714285713,12,6.6353824495542
16,17,124,13728.5,110.71370967741936,14,4.773643949930459
9,10,72,13438.5,186.64583333333334,14,5.999553571428572
2,1,47,14117.5,300.3723404255319,13,4.679482930062976
19,17,127,13440.5,105.83070866141732,15,5.1301526717557255
14,15,54,13498.5,249.97222222222223,11,5.020081814801041
15,14,53,13278.5,250.53773584905662,13,4.734046345811052
8,7,88,13297.5,151.10795454545453,15,5.116583301269719
17,19,124,12929.5,104.27016129032258,17,4.333109919571045
10,15,42,12893.5,306.98809523809524,12,5.6652021089630935
7,18,113,12012.5,106.30530973451327,13,4.597397627248373
10,9,80,12109.5,151.36875,16,5.041631973355537
23,22,55,11214.5,203.9,11,4.83196897888841
22,23,55,10766.5,195.75454545454545,11,4.144341801385681
5,9,42,10449.5,248.79761904761904,12,4.96437054631829
22,20,37,9848.5,266.1756756756757,8,4.090116279069767
16,18,65,9642.5,148.34615384615384,10,3.974855729596043
18,16,60,9332.5,155.54166666666666,9,4.1006151142355005
20,22,40,9556.5,238.9125,13,4.491071428571429
23,14,47,9432.5,200.69148936170214,12,4.33900643974241
14,23,43,8451.5,196.54651162790697,10,3.1039294895336025
22,21,76,8091.5,106.46710526315789,11,3.3801169590643276
21,22,77,7939.5,103.1103896103896,9,3.4717971141233055
23,24,66,6681.5,101.23484848484848,7,2.576937909757038
24,23,59,5937.5,100.63559322033899,7,2.824928639391056
19,20,27,5347.5,198.05555555555554,6,2.037333333333333
17,10,11,4260.5,387.3181818181818,5,2.1851282051282053
20,19,20,3920.5,196.025,7,2.0453834115805947
8,9,5,2472.5,494.5,3,1.1731499051233396
9,8,5,2157.5,431.5,2,1.0102996254681649
10,17,3,1108.5,369.5,1,0.6373563218390804
