Note,Latitude,Longitude,Ell.Height (m)
2,32.41763067,55.32860658,1137.753
3,32.41753751,55.32856582,1137.544
4,32.41735858,55.32849047,1137.597
5,32.41718513,55.32841862,1137.489
6,32.41701311,55.32834684,1137.726
7,32.4168451,55.32827618,1137.885
8,32.41667609,55.32820507,1137.931
9,32.41650733,55.32813388,1137.977
10,32.41633852,55.3280626,1138.191
11,32.41616748,55.32799046,1138.456
12,32.41600687,55.32792228,1138.612
13,32.41597313,55.32787954,1138.68
14,32.41608359,55.32770179,1138.452
15,32.41619385,55.32759245,1138.655
16,32.41636718,55.32765197,1138.341
17,32.41654384,55.3277247,1137.867
18,32.41671458,55.32779601,1138.035
19,32.4168838,55.3278672,1138.091
20,32.41705181,55.32793775,1138.035
21,32.41722306,55.32800983,1138.013
22,32.41739271,55.32808071,1138.158
23,32.41756062,55.32815178,1138.117
24,32.41773076,55.32822327,1138.2
25,32.41789879,55.32829363,1138.331
26,32.41797418,55.32829486,1138.346
27,32.41810328,55.3281442,1137.814
28,32.41817854,55.3280065,1137.732
29,32.41800768,55.32791892,1137.646
30,32.41783384,55.32784392,1137.506
31,32.41766183,55.32777082,1137.717
32,32.41749344,55.32770017,1137.794
33,32.41732431,55.32762966,1137.88
34,32.41715558,55.32755876,1137.974
35,32.41698402,55.32748668,1138.18
36,32.41681554,55.32741577,1138.282
37,32.41664617,55.32734472,1138.392
38,32.41648287,55.32727528,1138.57
39,32.4164431,55.32722849,1138.589
40,32.41655429,55.32705044,1138.209
41,32.41666515,55.32694158,1138.448
42,32.41683784,55.32700138,1138.113
43,32.41701458,55.32707405,1137.691
44,32.41718603,55.32714598,1137.868
45,32.41735456,55.32721703,1137.91
46,32.41752352,55.32728855,1137.93
47,32.41769451,55.32736087,1137.928
48,32.41786308,55.32743194,1137.926
49,32.41803191,55.32750283,1137.767
50,32.41820099,55.32757408,1137.763
51,32.41836857,55.3276452,1137.698
52,32.41846115,55.32765265,1137.694
53,32.4185905,55.32750094,1137.394
54,32.41866515,55.32736525,1137.443
55,32.41849325,55.32727687,1137.389
56,32.41832017,55.3272017,1137.287
57,32.41814766,55.32712924,1137.593
58,32.4179797,55.32705846,1137.865
59,32.4178107,55.32698765,1138.123
60,32.41763946,55.3269158,1138.313
61,32.41747128,55.32684541,1138.47
62,32.41730284,55.32677454,1138.553
63,32.4171319,55.32670268,1138.629
64,32.41696818,55.32663376,1138.81
65,32.41691321,55.32658178,1138.971
66,32.41702375,55.32640254,1138.548
67,32.41713257,55.32629395,1138.582
68,32.41730706,55.32635428,1138.263
69,32.41748271,55.32642662,1137.923
70,32.41765527,55.32649912,1138.063
71,32.41782291,55.32656977,1137.987
72,32.4179911,55.32664107,1138.041
73,32.41816254,55.32671354,1138.099
74,32.41833023,55.32678453,1138.181
75,32.41849948,55.32685594,1138.124
76,32.41866812,55.32692707,1138.097
77,32.41883722,55.32699816,1138.079
78,32.41894449,55.32701175,1138.135
79,32.41907327,55.32686136,1137.6
80,32.41914885,55.32672413,1137.494
81,32.41897739,55.32663614,1137.561
82,32.4188043,55.32656147,1137.437
83,32.41863464,55.32648985,1137.73
84,32.41846481,55.32641862,1137.968
85,32.41829371,55.32634629,1138.217
86,32.41812408,55.326275,1138.477
87,32.41795569,55.32620417,1138.611
88,32.41778514,55.32613263,1138.635
89,32.41761611,55.32606127,1138.631
90,32.41745102,55.32599142,1138.78
91,32.41738043,55.32593275,1139.01
92,32.41748886,55.32575628,1138.522
93,32.41760112,55.32564599,1138.835
94,32.41777231,55.32570435,1138.648
95,32.4179513,55.3257774,1138.106
96,32.418123,55.32584881,1138.175
97,32.41829131,55.32592024,1138.192
98,32.41846249,55.32599213,1138.131
99,32.4186318,55.32606428,1138.262
100,32.41880014,55.32613578,1138.397
101,32.41896785,55.32620599,1138.255
102,32.41913726,55.32627758,1137.979
103,32.4193077,55.32634933,1137.905
104,32.41943148,55.32636935,1137.955
105,32.41955933,55.32622005,1137.43
106,32.41963554,55.32608168,1137.483
107,32.41946416,55.32599422,1137.642
108,32.41929035,55.32591869,1137.557
109,32.41912125,55.32584705,1137.866
110,32.41895289,55.32577635,1137.886
111,32.41878136,55.32570441,1138.062
112,32.41860863,55.32563115,1138.29
113,32.41843944,55.32556008,1138.553
