from_id,to_id,travel_time
1,1,0
1,3,78
1,4,75
1,5,57
1,6,71
1,7,68
1,8,66
1,9,55
1,10,56
1,11,61
1,12,57
1,13,59
1,14,52
1,15,62
1,16,59
1,17,58
1,18,63
1,19,48
1,20,49
1,21,50
1,22,58
1,23,54
1,24,46
1,25,40
1,26,43
1,27,43
1,28,35
1,29,47
1,30,32
1,31,30
1,32,34
1,33,35
1,34,45
1,35,57
1,36,70
1,37,44
1,38,50
1,39,53
1,40,54
1,41,50
1,42,41
1,43,47
1,44,42
1,45,55
1,46,33
1,47,30
1,48,41
1,49,94
1,50,63
1,51,59
1,52,53
1,53,43
1,54,39
1,55,24
1,56,34
1,57,20
1,58,22
1,59,17
1,60,23
1,61,28
1,62,33
3,1,67
3,3,0
3,4,21
3,5,29
3,6,58
3,7,16
3,8,27
3,9,30
3,10,35
3,11,28
3,12,34
3,13,40
3,14,37
3,15,27
3,16,28
3,17,36
3,18,43
3,19,37
3,20,45
3,21,71
3,22,40
3,23,47
3,24,42
3,25,49
3,26,51
3,27,56
3,28,52
3,29,56
3,30,57
3,31,59
3,32,59
3,33,55
3,34,63
3,35,63
3,36,59
3,37,52
3,38,49
3,39,46
3,40,54
3,41,52
3,42,52
3,43,59
3,44,57
3,45,62
3,46,61
3,47,66
3,48,69
3,49,98
3,50,76
3,51,70
3,52,82
3,53,73
3,54,64
3,55,67
3,56,81
3,57,72
3,58,75
3,59,72
3,60,71
3,61,76
3,62,80
4,1,60
4,3,22
4,4,0
4,5,27
4,6,51
4,7,23
4,8,36
4,9,23
4,10,28
4,11,23
4,12,27
4,13,34
4,14,30
4,15,25
4,16,31
4,17,41
4,18,46
4,19,32
4,20,43
4,21,64
4,22,33
4,23,40
4,24,35
4,25,45
4,26,44
4,27,50
4,28,52
4,29,57
4,30,60
4,31,52
4,32,58
4,33,48
4,34,56
4,35,56
4,36,52
4,37,45
4,38,42
4,39,39
4,40,47
4,41,45
4,42,45
4,43,52
4,44,50
4,45,55
4,46,54
4,47,67
4,48,62
4,49,91
4,50,69
4,51,63
4,52,75
4,53,66
4,54,57
4,55,64
4,56,74
4,57,69
4,58,68
4,59,65
4,60,67
4,61,72
4,62,79
5,1,52
5,3,29
5,4,28
5,5,0
5,6,38
5,7,21
5,8,35
5,9,8
5,10,15
5,11,15
5,12,26
5,13,22
5,14,20
5,15,19
5,16,25
5,17,35
5,18,40
5,19,31
5,20,41
5,21,50
5,22,33
5,23,39
5,24,34
5,25,42
5,26,42
5,27,49
5,28,45
5,29,50
5,30,44
5,31,40
5,32,45
5,33,39
5,34,42
5,35,42
5,36,43
5,37,31
5,38,31
5,39,31
5,40,37
5,41,40
5,42,36
5,43,38
5,44,36
5,45,41
5,46,40
5,47,58
5,48,48
5,49,77
5,50,55
5,51,49
5,52,61
5,53,52
5,54,43
5,55,54
5,56,60
5,57,61
5,58,54
5,59,54
5,60,59
5,61,64
5,62,71
6,1,64
6,3,58
6,4,56
6,5,38
6,6,0
6,7,53
6,8,65
6,9,37
6,10,40
6,11,46
6,12,48
6,13,42
6,14,32
6,15,51
6,16,57
6,17,65
6,18,69
6,19,57
6,20,60
6,21,64
6,22,46
6,23,54
6,24,56
6,25,55
6,26,59
6,27,64
6,28,59
6,29,62
6,30,58
6,31,53
6,32,59
6,33,53
6,34,56
6,35,56
6,36,25
6,37,44
6,38,41
