id,jobs_grav,jobs_cumul30
1,6872.097334433408,25740
3,7125.093647127167,42080
4,8802.25420215112,54810
5,16502.59513110187,68450
6,4776.255815347524,8060
7,17879.27851596678,101430
8,14474.12723120717,75900
9,23700.44311854561,105770
10,22141.875124468974,97990
11,26784.82285145823,116940
12,35191.92806121489,167450
13,29851.630826553337,144360
14,23671.490983587886,127120
15,25932.51821303608,130480
16,23428.96875004679,109980
17,15710.659578361801,74130
18,7945.481755662637,46700
19,27999.446887034155,133870
20,19065.578486140275,97310
21,7715.3724983660495,21500
22,32860.965861391975,172720
23,34672.568736749614,168330
24,29547.446902357507,161190
25,21738.629885821072,135620
26,27773.270296258066,153300
27,19474.304656010343,102500
28,15077.379563258048,94030
29,7560.243741655336,25230
30,12352.362236579003,70700
31,18300.60713690566,73610
32,17522.052008884737,88590
33,22135.06781655415,131370
34,14727.877042014336,75100
35,6891.488644573918,19980
36,6728.421614689503,8060
37,20126.161764730612,143520
38,17801.516660133664,93810
39,23724.8782690291,107240
40,24431.72400608861,98120
41,30405.86788803518,157510
42,26497.84344196394,188210
43,19015.91188283283,120840
44,22390.708210442706,120840
45,13750.896108776931,60180
46,16816.10645671984,73270
47,7486.092920032055,30680
48,7783.693172431956,35090
49,2918.430606265746,2690
50,5642.564323554248,18670
51,7643.156511613101,38620
52,3722.4824197190364,14640
53,5399.258225809467,20230
54,9898.622369992549,48490
55,7638.163586937178,40020
56,4221.65915688621,12310
57,6605.905560867957,27140
58,4682.111137060492,16770
59,5998.903361071899,10190
60,4197.507284882739,15760
61,4943.420078822503,8970
62,5301.3342875169765,9820
