id,name,Mantagheh,jobs,pop,jobs_grav,jobs_cumul30
1,کابل البرز,کوثر (هشت),3110,15195,6872.097334433408,25740
3,اصفهان,شیشه چی (یک),2620,9234,7125.093647127167,42080
4,راه آهن,بلاغی (دو),2900,5998,8802.25420215112,54810
5,راه ري,بلاغی (دو),3960,11433,16502.59513110187,68450
6,وليعصر,بلاغی (دو),2900,5090,4776.255815347524,8060
7,امامزاده حسين,شیشه چی (یک),4810,4351,17879.27851596678,101430
8,مغلاواک,شیشه چی (یک),4310,3469,14474.12723120717,75900
9,راه چمان,بلاغی (دو),5590,1043,23700.44311854561,105770
10,امامزاده علي,بلاغی (دو),5590,4886,22141.875124468974,97990
11,تنورسازان,بلاغی (دو),5590,4533,26784.82285145823,116940
12,بلاغي,بلاغی (دو),10600,2130,35191.92806121489,167450
13,ملک آباد,بلاغی (دو),7490,4149,29851.630826553337,144360
14,باغ دبير,بلاغی (دو),7000,2431,23671.490983587886,127120
15,خيابان,شیشه چی (یک),6150,938,25932.51821303608,130480
16,دباغان,شیشه چی (یک),6150,5509,23428.96875004679,109980
17,آخوند,شیشه چی (یک),4240,6789,15710.659578361801,74130
18,شيشه چي,شیشه چی (یک),2090,1114,7945.481755662637,46700
19,سرکوچه ريحان,شیشه چی (یک),8060,1377,27999.446887034155,133870
20,ديمج,شیشه چی (یک),5090,5653,19065.578486140275,97310
21,جانبازان,ملاصدرای شمالی (هفت),2760,13065,7715.3724983660495,21500
22,خيام,یخچال (پنج),10600,5244,32860.965861391975,172720
23,عدل,یخچال (پنج),10600,3731,34672.568736749614,168330
24,عبيد زاکان,نواب جنوبی (سه),10680,4347,29547.446902357507,161190
25,سعدي,نواب جنوبی (سه),6360,4519,21738.629885821072,135620
26,نادري,نواب جنوبی (سه),8770,6935,27773.270296258066,153300
27,شيخ آباد,نواب جنوبی (سه),6650,9966,19474.304656010343,102500
28,نواب جنوبي,نواب جنوبی (سه),4450,2688,15077.379563258048,94030
29,دادگستري,نواب جنوبی (سه),3110,2768,7560.243741655336,25230
30,نواب شمالي,نواب شمالی (چهار),3530,5099,12352.362236579003,70700
31,غياث آباد غربي,نواب شمالی (چهار),6220,5407,18300.60713690566,73610
32,هادي آباد,نواب شمالی (چهار),5160,12735,17522.052008884737,88590
33,حيدري,نواب شمالی (چهار),6790,2766,22135.06781655415,131370
34,دانشگاه ش,ملاصدرای جنوبی (شش),5130,14981,14727.877042014336,75100
35,ولايت,ملاصدرای جنوبی (شش),2690,4508,6891.488644573918,19980
36,گلستان,یخچال (پنج),5160,1033,6728.421614689503,8060
37,پادگان,یخچال (پنج),5300,7927,20126.161764730612,143520
38,توحيد,یخچال (پنج),5160,6067,17801.516660133664,93810
39,بلوار,یخچال (پنج),8200,7620,23724.8782690291,107240
40,خيابان عارف,یخچال (پنج),6930,6296,24431.72400608861,98120
41,فلسطين,یخچال (پنج),9540,4338,30405.86788803518,157510
42,يخچال,یخچال (پنج),7850,6526,26497.84344196394,188210
43,سرتک,ملاصدرای جنوبی (شش),5340,4840,19015.91188283283,120840
44,دانشگاه ج,ملاصدرای جنوبی (شش),6650,3548,22390.708210442706,120840
45,بلوار خاکي,ملاصدرای جنوبی (شش),4030,7291,13750.896108776931,60180
46,غياث آباد شرقي,نواب شمالی (چهار),6010,14035,16816.10645671984,73270
47,شهرک عارف,نواب شمالی (چهار),2550,3044,7486.092920032055,30680
48,معلم,ملاصدرای جنوبی (شش),2830,2283,7783.693172431956,35090
49,ملاصدرا ج,ملاصدرای جنوبی (شش),2690,7236,2918.430606265746,2690
50,ملاصدرا ش,ملاصدرای شمالی (هفت),2260,1966,5642.564323554248,18670
51,نخبگان,ملاصدرای شمالی (هفت),3040,3672,7643.156511613101,38620
52,پونک شرقي,ملاصدرای شمالی (هفت),1270,4086,3722.4824197190364,14640
53,پونک غربي,ملاصدرای شمالی (هفت),1700,3110,5399.258225809467,20230
54,نوروزيان,ملاصدرای شمالی (هفت),3610,9471,9898.622369992549,48490
55,لوازم خانگي,نواب شمالی (چهار),2760,4047,7638.163586937178,40020
56,الهيه,کوثر (هشت),2120,6356,4221.65915688621,12310
57,مينودر,کوثر (هشت),2470,10154,6605.905560867957,27140
58,کوثر شمالي,کوثر (هشت),1560,6607,4682.111137060492,16770
59,کوثر جنوبي,کوثر (هشت),2760,4982,5998.903361071899,10190
60,پامچال,کوثر (هشت),1910,7510,4197.507284882739,15760
61,فرهنگيان,کوثر (هشت),2400,2812,4943.420078822503,8970
62,مالکانه,کوثر (هشت),2190,15879,5301.3342875169765,9820
